t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.096634,1,0,1,1,0,0,0,0,0
0.096859,1,0,0,1,0,0,0,0,0
0.186376,1,0,0,0,0,0,0,0,0
0.186609,1,0,1,0,0,0,0,0,0
0.208842,1,0,0,0,0,0,0,0,0
0.209076,1,0,1,0,0,0,0,0,0
0.254104,1,0,0,1,0,0,0,0,0
0.358804,1,0,0,1,0,0,0,0,0
0.485681,1,0,1,1,0,0,0,0,0
0.485916,1,0,0,1,0,0,0,0,0
0.680328,1,0,1,1,0,0,0,0,0
0.680568,1,0,0,1,0,0,0,0,0
0.725207,1,0,1,1,0,0,0,0,0
0.725438,1,0,0,1,0,0,0,0,0
0.979231,1,0,1,1,0,0,0,0,0
1.16592,1,0,0,0,0,0,0,0,0
1.21854,1,0,1,0,0,0,0,0,0
1.255614,1,0,0,0,0,0,0,0,0
1.255842,1,0,1,0,0,0,0,0,0
1.449751,1,0,1,1,0,0,0,0,0
1.449981,1,0,0,1,0,0,0,0,0
1.576824,1,0,0,0,0,0,0,0,0
1.629143,1,0,1,1,0,0,0,0,0
1.629373,1,0,0,1,0,0,0,0,0
1.681536,1,0,0,0,0,0,0,0,0
1.681767,1,0,1,0,0,0,0,0,0
1.733963,1,0,0,0,0,0,0,0,0
1.741661,1,0,0,1,0,0,0,0,0
1.756563,1,0,0,1,0,0,0,0,0
1.763775,1,0,0,0,0,0,0,0,0
1.764005,1,0,1,0,0,0,0,0,0
1.816046,1,0,1,1,0,0,0,0,0
1.905549,1,0,1,1,0,0,0,0,0
1.905783,1,0,0,1,0,0,0,0,0
2.09284,1,0,1,0,0,0,0,0,0
2.279614,1,0,1,1,0,0,0,0,0
2.279848,1,0,0,1,0,0,0,0,0
2.36202,1,0,1,0,0,0,0,0,0
2.399144,1,0,1,1,0,0,0,0,0
2.39937,1,0,0,1,0,0,0,0,0
2.503597,1,0,1,1,0,0,0,0,0
2.578395,1,0,1,1,0,0,0,0,0
2.585848,1,0,0,0,0,0,0,0,0
2.586081,1,0,1,0,0,0,0,0,0
2.645675,1,0,0,0,0,0,0,0,0
2.653161,1,0,1,1,0,0,0,0,0
2.653387,1,0,0,1,0,0,0,0,0
2.668086,1,0,1,1,0,0,0,0,0
2.668318,1,0,0,1,0,0,0,0,0
2.937255,1,0,0,1,0,0,0,0,0
3.004299,1,0,0,0,0,0,0,0,0
3.004527,1,0,1,0,0,0,0,0,0
3.026973,1,0,0,1,0,0,0,0,0
3.109103,1,0,1,0,0,0,0,0,0
3.146221,1,0,1,1,0,0,0,0,0
3.22113,1,0,1,1,0,0,0,0,0
3.221358,1,0,0,1,0,0,0,0,0
3.325653,1,0,1,1,0,0,0,0,0
3.325878,1,0,0,1,0,0,0,0,0
3.333389,1,0,1,0,0,0,0,0,0
3.385679,1,0,0,1,0,0,0,0,0
3.579886,1,0,1,1,0,0,0,0,0
3.580109,1,0,0,1,0,0,0,0,0
3.587319,1,0,0,0,0,0,0,0,0
3.587549,1,0,1,0,0,0,0,0,0
3.789303,1,0,1,1,0,0,0,0,0
3.789533,1,0,0,1,0,0,0,0,0
3.834444,1,0,0,1,0,0,0,0,0
3.88651,1,0,0,0,0,0,0,0,0
3.901487,1,0,0,0,0,0,0,0,0
3.901716,1,0,1,0,0,0,0,0,0
3.909161,1,0,0,1,0,0,0,0,0
3.931386,1,0,0,0,0,0,0,0,0
3.991331,1,0,0,0,0,0,0,0,0
4.036183,1,0,0,0,0,0,0,0,0
4.036408,1,0,1,0,0,0,0,0,0
4.073833,1,0,0,1,0,0,0,0,0
4.193351,1,0,1,1,0,0,0,0,0
4.268197,1,0,0,1,0,0,0,0,0
4.290423,1,0,0,0,0,0,0,0,0
4.305336,1,0,0,0,0,0,0,0,0
4.305569,1,0,1,0,0,0,0,0,0
4.417465,1,0,1,1,0,0,0,0,0
4.41769,1,0,0,1,0,0,0,0,0
4.469935,1,0,1,0,0,0,0,0,0
4.507367,1,0,0,1,0,0,0,0,0
4.649186,1,0,0,0,0,0,0,0,0
4.64941,1,0,1,0,0,0,0,0,0
4.679068,1,0,0,0,0,0,0,0,0
4.731353,1,0,1,1,0,0,0,0,0
4.761309,1,0,1,1,0,0,0,0,0
4.761541,1,0,0,1,0,0,0,0,0
4.836065,1,0,1,1,0,0,0,0,0
5.030699,1,0,1,1,0,0,0,0,0
5.030925,1,0,0,1,0,0,0,0,0
5.098005,1,0,0,0,0,0,0,0,0
5.098234,1,0,1,0,0,0,0,0,0
5.11322,1,0,1,0,0,0,0,0,0
5.135491,1,0,1,1,0,0,0,0,0
5.172845,1,0,0,0,0,0,0,0,0
5.17307,1,0,1,0,0,0,0,0,0
5.187793,1,0,0,0,0,0,0,0,0
5.18802,1,0,1,0,0,0,0,0,0
5.284984,1,0,1,1,0,0,0,0,0
5.621551,1,0,0,0,0,0,0,0,0
5.621783,1,0,1,0,0,0,0,0,0
5.711242,1,0,0,0,0,0,0,0,0
5.741175,1,0,0,0,0,0,0,0,0
5.741405,1,0,1,0,0,0,0,0,0
5.763548,1,0,1,1,0,0,0,0,0
5.763778,1,0,0,1,0,0,0,0,0
5.853305,1,0,1,1,0,0,0,0,0
5.853538,1,0,0,1,0,0,0,0,0
5.868229,1,0,1,1,0,0,0,0,0
5.868457,1,0,0,1,0,0,0,0,0
5.875888,1,0,1,0,0,0,0,0,0
5.890619,1,0,0,0,0,0,0,0,0
5.965303,1,0,0,0,0,0,0,0,0
