t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.159529,1,0,0,0,0,0,0,0,0
0.15976,1,0,1,0,0,0,0,0,0
0.204575,1,0,0,0,0,0,0,0,0
0.2048,1,0,1,0,0,0,0,0,0
0.294725,1,0,0,0,0,0,0,0,0
0.29495,1,0,1,0,0,0,0,0,0
0.459763,1,0,0,0,0,0,0,0,0
0.459996,1,0,1,0,0,0,0,0,0
0.662684,1,0,1,1,0,0,0,0,0
0.662913,1,0,0,1,0,0,0,0,0
0.820467,1,0,0,0,0,0,0,0,0
0.820696,1,0,1,0,0,0,0,0,0
0.828014,1,0,1,1,0,0,0,0,0
0.828243,1,0,0,1,0,0,0,0,0
0.850619,1,0,0,0,0,0,0,0,0
0.850856,1,0,1,0,0,0,0,0,0
0.993286,1,0,1,1,0,0,0,0,0
0.993517,1,0,0,1,0,0,0,0,0
1.038214,1,0,1,1,0,0,0,0,0
1.038443,1,0,0,1,0,0,0,0,0
1.075734,1,0,0,0,0,0,0,0,0
1.075969,1,0,1,0,0,0,0,0,0
1.218424,1,0,1,1,0,0,0,0,0
1.218651,1,0,0,1,0,0,0,0,0
1.27863,1,0,0,1,0,0,0,0,0
1.323721,1,0,0,1,0,0,0,0,0
1.361019,1,0,0,0,0,0,0,0,0
1.361245,1,0,1,0,0,0,0,0,0
1.521889,1,0,1,1,0,0,0,0,0
1.522126,1,0,0,1,0,0,0,0,0
1.807144,1,0,1,1,0,0,0,0,0
1.807372,1,0,0,1,0,0,0,0,0
1.852276,1,0,1,1,0,0,0,0,0
1.852508,1,0,0,1,0,0,0,0,0
1.949995,1,0,0,0,0,0,0,0,0
1.950226,1,0,1,0,0,0,0,0,0
2.332797,1,0,1,1,0,0,0,0,0
2.333027,1,0,0,1,0,0,0,0,0
2.385442,1,0,0,0,0,0,0,0,0
2.385678,1,0,1,0,0,0,0,0,0
2.460446,1,0,0,0,0,0,0,0,0
2.460677,1,0,1,0,0,0,0,0,0
2.497985,1,0,1,1,0,0,0,0,0
2.498218,1,0,0,1,0,0,0,0,0
2.573024,1,0,1,1,0,0,0,0,0
2.573252,1,0,0,1,0,0,0,0,0
2.715573,1,0,0,0,0,0,0,0,0
2.7158,1,0,1,0,0,0,0,0,0
2.730604,1,0,0,0,0,0,0,0,0
2.730833,1,0,1,0,0,0,0,0,0
2.783197,1,0,1,1,0,0,0,0,0
2.783428,1,0,0,1,0,0,0,0,0
2.790708,1,0,0,0,0,0,0,0,0
2.790935,1,0,1,0,0,0,0,0,0
2.828187,1,0,1,1,0,0,0,0,0
2.828414,1,0,0,1,0,0,0,0,0
2.85075,1,0,0,0,0,0,0,0,0
2.850981,1,0,1,0,0,0,0,0,0
3.121177,1,0,0,0,0,0,0,0,0
3.12141,1,0,1,0,0,0,0,0,0
3.181194,1,0,0,0,0,0,0,0,0
3.181425,1,0,1,0,0,0,0,0,0
3.211163,1,0,0,0,0,0,0,0,0
3.211391,1,0,1,0,0,0,0,0,0
3.218719,1,0,1,1,0,0,0,0,0
3.21895,1,0,0,1,0,0,0,0,0
3.308848,1,0,1,1,0,0,0,0,0
3.309074,1,0,0,1,0,0,0,0,0
3.421328,1,0,0,0,0,0,0,0,0
3.421558,1,0,1,0,0,0,0,0,0
3.481354,1,0,0,0,0,0,0,0,0
3.481581,1,0,1,0,0,0,0,0,0
3.511335,1,0,0,0,0,0,0,0,0
3.511564,1,0,1,0,0,0,0,0,0
3.533925,1,0,1,1,0,0,0,0,0
3.534149,1,0,0,1,0,0,0,0,0
3.586781,1,0,1,0,0,0,0,0,0
3.684046,1,0,1,1,0,0,0,0,0
3.684273,1,0,0,1,0,0,0,0,0
3.7593,1,0,0,1,0,0,0,0,0
3.864313,1,0,1,1,0,0,0,0,0
3.864538,1,0,0,1,0,0,0,0,0
3.969698,1,0,0,1,0,0,0,0,0
3.991958,1,0,0,0,0,0,0,0,0
3.992187,1,0,1,0,0,0,0,0,0
4.014525,1,0,1,1,0,0,0,0,0
4.01476,1,0,0,1,0,0,0,0,0
4.052026,1,0,0,0,0,0,0,0,0
4.052254,1,0,1,0,0,0,0,0,0
4.059548,1,0,1,1,0,0,0,0,0
4.059778,1,0,0,1,0,0,0,0,0
4.089583,1,0,1,1,0,0,0,0,0
4.112089,1,0,0,0,0,0,0,0,0
4.112319,0,1,1,0,0,0,0,0,9
4.194553,1,0,1,1,0,0,0,0,0
4.194783,1,0,0,1,0,0,0,0,0
4.232051,1,0,0,0,0,0,0,0,0
4.232281,1,0,1,0,0,0,0,0,0
4.277093,1,0,0,0,0,0,0,0,0
4.27732,1,0,1,0,0,0,0,0,0
4.43476,1,0,1,1,0,0,0,0,0
4.434984,1,0,0,1,0,0,0,0,0
4.479774,1,0,1,1,0,0,0,0,0
4.480004,1,0,0,1,0,0,0,0,0
4.569786,1,0,1,1,1,0,0,0,0
4.607537,1,0,1,0,0,0,0,0,0
4.667355,1,0,0,0,0,0,0,0,0
4.667592,1,0,1,0,0,0,0,0,0
4.682346,1,0,0,0,0,0,0,0,0
4.682575,1,0,1,0,0,0,0,0,0
4.720147,1,0,0,1,0,0,0,0,0
4.952932,1,0,0,0,0,0,0,0,0
4.953165,1,0,1,0,0,0,0,0,0
4.998247,1,0,1,0,0,0,0,0,0
5.005497,1,0,1,1,0,0,0,0,0
5.005726,1,0,0,1,0,0,0,0,0
5.080583,1,0,1,1,0,0,0,0,0
5.080809,1,0,0,1,0,0,0,0,0
5.118024,1,0,0,0,0,0,0,0,0
5.118252,0,1,1,0,0,0,0,0,9
5.20065,1,0,1,1,0,0,0,0,0
5.200883,1,0,0,1,0,0,0,0,0
5.253113,1,0,0,0,0,0,0,0,0
5.253341,1,0,1,0,0,0,0,0,0
5.313225,1,0,0,0,0,0,0,0,0
5.313456,1,0,1,0,0,0,0,0,0
5.433252,1,0,0,0,0,0,0,0,0
5.433476,1,0,1,0,0,0,0,0,0
5.575743,1,0,1,1,0,0,0,0,0
5.575977,1,0,0,1,0,0,0,0,0
5.725749,1,0,1,1,0,0,0,0,0
5.725978,1,0,0,1,0,0,0,0,0
5.823383,1,0,0,0,0,0,0,0,0
5.823612,1,0,1,0,0,0,0,0,0
5.943704,1,0,1,0,0,0,0,0,0
6.153897,1,0,0,0,0,0,0,0,0
6.154127,1,0,1,0,0,0,0,0,0
6.206422,1,0,1,1,0,0,0,0,0
6.213961,1,0,0,0,0,0,0,0,0
6.214191,1,0,1,0,0,0,0,0,0
6.409081,1,0,0,0,0,0,0,0,0
6.409312,1,0,1,0,0,0,0,0,0
6.611726,1,0,1,1,0,0,0,0,0
6.611949,1,0,0,1,0,0,0,0,0
6.679304,1,0,0,0,0,0,0,0,0
6.679537,1,0,1,0,0,0,0,0,0
6.709598,1,0,1,0,0,0,0,0,0
6.874624,1,0,0,0,0,0,0,0,0
6.874854,1,0,1,0,0,0,0,0,0
6.987216,1,0,1,1,0,0,0,0,0
6.98745,1,0,0,1,0,0,0,0,0
7.084923,1,0,0,0,0,0,0,0,0
7.085151,1,0,1,0,0,0,0,0,0
7.092633,1,0,0,1,0,0,0,0,0
7.189769,1,0,0,0,0,0,0,0,0
7.190005,1,0,1,0,0,0,0,0,0
7.219788,1,0,0,0,0,0,0,0,0
7.220022,1,0,1,0,0,0,0,0,0
7.29493,1,0,0,0,0,0,0,0,0
7.295157,1,0,1,0,0,0,0,0,0
7.309957,1,0,0,0,0,0,0,0,0
7.310194,1,0,1,0,0,0,0,0,0
7.482623,1,0,1,1,0,0,0,0,0
7.482856,1,0,0,1,0,0,0,0,0
7.535352,1,0,1,0,0,0,0,0,0
7.918027,1,0,1,1,0,0,0,0,0
