t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.109315,1,0,0,1,0,0,0,0,0
0.131553,1,0,0,0,0,0,0,0,0
0.15423,1,0,0,1,0,0,0,0,0
0.169296,1,0,0,1,0,0,0,0,0
0.386776,1,0,0,0,0,0,0,0,0
0.387005,1,0,1,0,0,0,0,0,0
0.409516,1,0,0,1,0,0,0,0,0
0.431777,1,0,1,1,0,0,0,0,0
0.432008,1,0,0,1,0,0,0,0,0
0.446772,1,0,1,1,0,0,0,0,0
0.446999,1,0,0,1,0,0,0,0,0
0.664686,1,0,0,0,0,0,0,0,0
0.687232,1,0,0,0,0,0,0,0,0
0.709834,1,0,1,1,0,0,0,0,0
0.724865,1,0,0,0,0,0,0,0,0
0.725095,1,0,1,0,0,0,0,0,0
0.942658,1,0,0,0,0,0,0,0,0
0.942887,1,0,1,0,0,0,0,0,0
0.965173,1,0,0,0,0,0,0,0,0
0.988011,1,0,0,1,0,0,0,0,0
1.002805,1,0,1,1,0,0,0,0,0
1.003032,1,0,0,1,0,0,0,0,0
1.220416,1,0,1,1,0,0,0,0,0
1.22065,1,0,0,1,0,0,0,0,0
1.242894,1,0,0,0,0,0,0,0,0
1.243126,1,0,1,0,0,0,0,0,0
1.280421,1,0,1,1,0,0,0,0,0
1.524149,1,0,1,0,0,0,0,0,0
1.546366,1,0,0,0,0,0,0,0,0
1.546597,1,0,1,0,0,0,0,0,0
1.561321,1,0,0,0,0,0,0,0,0
1.561562,1,0,1,0,0,0,0,0,0
1.839212,1,0,1,1,0,0,0,0,0
1.839439,1,0,0,1,0,0,0,0,0
2.057159,1,0,1,1,0,0,0,0,0
2.057389,1,0,0,1,0,0,0,0,0
2.079678,1,0,1,1,0,0,0,0,0
2.079908,1,0,0,1,0,0,0,0,0
2.3348,1,0,1,1,0,0,0,0,0
2.357409,1,0,0,0,0,0,0,0,0
2.357639,1,0,1,0,0,0,0,0,0
2.379937,1,0,0,0,0,0,0,0,0
2.380169,1,0,1,0,0,0,0,0,0
2.394983,1,0,0,0,0,0,0,0,0
2.395214,1,0,1,0,0,0,0,0,0
2.612666,1,0,0,0,0,0,0,0,0
2.612894,1,0,1,0,0,0,0,0,0
2.635194,1,0,1,1,0,0,0,0,0
2.635426,1,0,0,1,0,0,0,0,0
2.657622,1,0,0,0,0,0,0,0,0
2.657851,1,0,1,0,0,0,0,0,0
2.672603,1,0,1,1,0,0,0,0,0
2.890535,1,0,0,1,0,0,0,0,0
2.912782,1,0,1,1,0,0,0,0,0
2.913009,1,0,0,1,0,0,0,0,0
2.935277,1,0,0,0,0,0,0,0,0
2.935504,1,0,1,0,0,0,0,0,0
2.950359,1,0,0,0,0,0,0,0,0
3.16819,1,0,1,1,0,0,0,0,0
3.168421,1,0,0,1,0,0,0,0,0
3.21317,1,0,1,1,0,0,0,0,0
3.213402,1,0,0,1,0,0,0,0,0
3.228191,1,0,0,0,0,0,0,0,0
3.228417,1,0,1,0,0,0,0,0,0
3.445813,1,0,0,0,0,0,0,0,0
3.446045,1,0,1,0,0,0,0,0,0
3.468353,1,0,1,1,0,0,0,0,0
3.468584,1,0,0,1,0,0,0,0,0
3.490841,1,0,0,0,0,0,0,0,0
3.491074,1,0,1,0,0,0,0,0,0
