t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.033604,1,0,0,0,0,0,0,0,0
0.033832,1,0,1,0,0,0,0,0,0
0.176233,1,0,1,1,0,0,0,0,0
0.176455,1,0,0,1,0,0,0,0,0
0.334041,1,0,1,1,0,0,0,0,0
0.334269,1,0,0,1,0,0,0,0,0
0.349018,1,0,1,1,0,0,0,0,0
0.34925,1,0,0,1,0,0,0,0,0
0.506579,1,0,0,1,1,0,0,0,0
0.506809,1,0,0,1,0,0,0,0,0
0.529154,1,0,0,0,0,0,0,0,0
0.529386,1,0,1,0,0,0,0,0,0
0.551671,1,0,1,1,0,0,0,0,0
0.551899,1,0,0,1,0,0,0,0,0
0.634312,1,0,1,1,0,0,0,0,0
0.634541,1,0,0,1,0,0,0,0,0
0.762127,1,0,1,1,0,0,0,0,0
0.762359,1,0,0,1,0,0,0,0,0
0.874896,1,0,1,1,0,0,0,0,0
0.875126,1,0,0,1,0,0,0,0,0
0.897434,1,0,0,0,0,0,0,0,0
0.897663,1,0,1,0,0,0,0,0,0
1.024903,1,0,1,1,0,0,0,0,0
1.025127,1,0,0,1,0,0,0,0,0
1.137528,1,0,0,0,0,0,0,0,0
1.137759,1,0,1,0,0,0,0,0,0
1.145041,1,0,1,1,0,0,0,0,0
1.145273,1,0,0,1,0,0,0,0,0
1.152547,1,0,0,0,0,0,0,0,0
1.152769,1,0,1,0,0,0,0,0,0
1.265079,1,0,0,0,0,0,0,0,0
1.317713,1,0,0,0,0,0,0,0,0
1.317942,1,0,1,0,0,0,0,0,0
1.385204,1,0,1,1,0,0,0,0,0
1.385432,1,0,0,1,0,0,0,0,0
1.400216,1,0,1,1,0,0,0,0,0
1.400446,1,0,0,1,0,0,0,0,0
1.4411,1,0,0,0,0,0,0,0,0
1.441337,1,0,1,0,0,0,0,0,0
1.501111,1,0,0,0,0,0,0,0,0
1.501339,1,0,1,0,0,0,0,0,0
1.576002,1,0,1,1,0,0,0,0,0
1.576228,1,0,0,1,0,0,0,0,0
1.60603,1,0,0,0,0,0,0,0,0
1.60626,1,0,1,0,0,0,0,0,0
1.733683,1,0,1,1,0,0,0,0,0
1.733914,1,0,0,1,0,0,0,0,0
1.77892,1,0,0,0,0,0,0,0,0
1.779153,1,0,1,0,0,0,0,0,0
1.793873,1,0,1,1,0,0,0,0,0
1.794102,1,0,0,1,0,0,0,0,0
1.801377,1,0,0,0,0,0,0,0,0
1.801598,1,0,1,0,0,0,0,0,0
1.824043,1,0,0,1,0,0,0,0,0
1.884006,1,0,1,1,0,0,0,0,0
1.884237,1,0,0,1,0,0,0,0,0
2.011679,1,0,1,1,0,0,0,0,0
2.011911,1,0,0,1,0,0,0,0,0
2.034326,1,0,1,1,0,0,0,0,0
2.034551,1,0,0,1,0,0,0,0,0
2.101899,1,0,1,1,0,0,0,0,0
2.102127,1,0,0,1,0,0,0,0,0
2.1169,1,0,0,0,0,0,0,0,0
2.117126,1,0,1,0,0,0,0,0,0
2.252015,1,0,0,0,0,0,0,0,0
2.252251,1,0,1,0,0,0,0,0,0
2.297023,1,0,0,0,0,0,0,0,0
2.59728,1,0,0,0,0,0,0,0,0
2.59751,1,0,1,0,0,0,0,0,0
2.604803,1,0,1,1,0,0,0,0,0
2.605036,1,0,0,1,0,0,0,0,0
2.694786,1,0,0,0,0,0,0,0,0
2.695014,1,0,1,0,0,0,0,0,0
2.822377,1,0,1,1,0,0,0,0,0
2.852453,1,0,1,1,0,0,0,0,0
2.852682,1,0,0,1,0,0,0,0,0
2.965074,1,0,0,0,0,0,0,0,0
2.965296,1,0,1,0,0,0,0,0,0
3.092837,1,0,0,0,0,0,0,0,0
3.093065,1,0,1,0,0,0,0,0,0
3.190362,1,0,1,1,0,0,0,0,0
3.190595,1,0,0,1,0,0,0,1,212
3.191048,1,0,1,1,0,0,0,0,0
3.220437,1,0,1,1,0,0,0,0,0
3.220669,1,0,0,1,0,0,0,0,0
3.220895,1,0,1,1,0,0,0,0,0
3.280504,1,0,1,1,0,0,0,0,0
3.28074,1,0,0,1,0,0,0,0,0
3.325573,1,0,0,0,0,0,0,0,0
3.325799,1,0,1,0,0,0,0,0,0
3.348093,1,0,1,1,0,0,0,0,0
3.348318,1,0,0,1,0,0,0,0,0
3.363081,1,0,1,1,0,0,0,0,0
3.363311,1,0,0,1,0,0,0,0,0
3.438039,1,0,1,1,0,0,0,0,0
3.438271,1,0,0,1,0,0,0,0,0
3.528116,1,0,0,0,0,0,0,0,0
3.528345,1,0,1,0,0,0,0,0,0
3.565716,1,0,1,1,0,0,0,0,0
3.565949,1,0,0,1,0,0,0,0,0
3.700779,1,0,1,1,0,0,0,0,0
3.701007,1,0,0,1,0,0,0,0,0
3.745795,1,0,1,1,0,0,0,0,0
3.746026,1,0,0,1,0,0,0,0,8
3.783303,1,0,1,1,0,0,0,0,0
3.783533,1,0,0,1,0,0,0,0,64
3.783987,1,0,1,1,0,0,0,0,0
3.858491,1,0,0,0,0,0,0,0,0
3.858723,1,0,1,0,0,0,0,0,0
3.971172,1,0,0,0,0,0,0,0,0
3.971404,1,0,1,0,0,0,0,0,0
3.993657,1,0,1,1,0,0,0,0,0
3.993889,1,0,0,1,0,0,0,0,0
4.016227,1,0,0,0,0,0,0,0,0
4.016454,1,0,1,0,0,0,0,0,0
4.038679,1,0,1,1,0,0,0,0,0
4.038908,1,0,0,1,0,0,0,0,0
4.083778,1,0,1,1,0,0,0,0,0
4.084009,1,0,0,1,0,0,0,0,0
4.19626,1,0,0,0,0,0,0,0,0
4.19649,1,0,1,0,0,0,0,0,0
4.263738,1,0,0,0,0,0,0,0,0
4.263968,1,0,1,0,0,0,0,0,0
4.308769,1,0,0,0,0,0,0,0,0
4.308994,1,0,1,0,0,0,0,0,0
4.331276,1,0,1,1,0,0,0,0,0
4.331504,1,0,0,1,0,0,0,0,0
4.361319,1,0,0,0,0,0,0,0,0
4.361549,1,0,1,0,0,0,0,0,0
4.368883,1,0,1,1,0,0,0,0,0
4.369116,1,0,0,1,0,0,0,0,0
4.541444,1,0,0,0,0,0,0,0,0
4.556473,1,0,0,0,0,0,0,0,0
4.691545,1,0,1,1,0,0,0,0,0
4.691775,1,0,0,1,0,0,0,0,0
4.80438,1,0,1,1,0,0,0,0,0
4.804609,1,0,0,1,0,0,0,0,0
4.811869,1,0,0,0,0,0,0,0,0
4.812102,1,0,1,0,0,0,0,0,0
4.886977,1,0,0,0,0,0,0,0,0
4.887201,1,0,1,0,0,0,0,0,0
4.90203,1,0,1,1,0,0,0,0,0
4.902267,1,0,0,1,0,0,0,0,0
4.947093,1,0,0,0,0,0,0,0,0
4.947321,1,0,1,0,0,0,0,0,0
5.082284,1,0,0,0,0,0,0,0,0
5.08251,1,0,1,0,0,0,0,0,0
5.104744,1,0,0,0,0,0,0,0,0
