t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.068082,1,0,0,0,0,0,0,0,0
0.068312,1,0,1,0,0,0,0,0,0
0.243229,1,0,0,0,0,0,0,1,192
0.243459,1,0,1,0,0,0,0,0,0
0.25574,1,0,1,1,0,0,0,0,0
0.255968,1,0,0,1,0,0,0,0,0
0.293411,1,0,0,0,0,0,0,0,0
0.293638,1,0,1,0,0,0,0,0,0
0.305901,1,0,1,1,0,0,0,0,0
0.368413,1,0,0,0,0,0,0,0,0
0.368641,1,0,1,0,0,0,0,0,0
0.430915,1,0,1,1,0,0,0,0,0
0.443371,1,0,0,0,0,0,0,0,0
0.480847,1,0,1,1,0,0,0,0,0
0.481073,1,0,0,1,0,0,0,0,0
0.55598,1,0,1,1,0,0,0,0,0
0.580978,1,0,1,1,0,0,0,0,0
0.581208,1,0,0,1,0,0,0,0,0
1.194099,1,0,0,0,0,0,0,0,0
1.194329,1,0,1,0,0,0,0,0,0
1.269198,1,0,0,0,0,0,0,0,0
1.344417,1,0,0,0,0,0,0,0,0
1.619572,1,0,0,0,0,0,0,0,0
1.619805,1,0,1,0,0,0,0,0,0
1.632082,1,0,1,1,0,0,0,0,0
1.632315,1,0,0,1,0,0,0,0,0
1.644628,1,0,0,0,0,0,0,0,0
1.644857,1,0,1,0,0,0,0,0,0
1.844966,1,0,0,0,0,0,0,0,0
1.845195,1,0,1,0,0,0,0,0,0
2.107601,1,0,1,1,0,0,0,0,0
2.332849,1,0,1,1,0,0,0,0,0
2.333078,1,0,0,1,0,0,0,0,0
2.433046,1,0,1,1,0,0,0,0,0
2.433276,1,0,0,1,0,0,0,0,0
2.507994,1,0,1,1,0,0,0,0,0
2.645462,1,0,0,0,0,0,0,0,0
3.058465,1,0,1,1,0,0,0,0,0
3.096075,1,0,0,0,0,0,0,0,0
3.108585,1,0,1,1,0,0,0,0,0
3.10881,1,0,0,1,0,0,0,0,0
3.333985,1,0,1,1,0,0,0,0,0
3.334216,1,0,0,1,0,0,0,0,0
3.371435,1,0,0,0,0,0,0,0,0
3.37166,1,0,1,0,0,0,0,0,0
3.446578,1,0,0,0,0,0,0,0,0
3.44681,1,0,1,0,0,0,0,0,0
3.734348,1,0,1,1,0,0,0,0,0
3.78447,1,0,1,1,0,0,0,0,0
3.784694,1,0,0,1,0,0,0,0,0
3.984619,1,0,1,1,0,0,0,0,0
3.984849,1,0,0,1,0,0,0,0,0
3.997118,1,0,0,0,0,0,0,0,0
3.997346,1,0,1,0,0,0,0,0,8
4.08458,1,0,1,1,0,0,0,0,0
4.197153,1,0,0,0,0,0,0,0,0
4.409659,1,0,1,1,0,0,0,0,0
4.409885,1,0,0,1,0,0,0,0,0
4.547441,1,0,0,0,0,0,0,0,0
4.572485,1,0,0,0,0,0,0,0,0
4.572719,1,0,1,0,0,0,0,0,0
4.760341,1,0,1,1,0,0,0,0,0
4.760571,1,0,0,1,0,0,0,0,0
4.772801,1,0,0,0,0,0,0,0,0
4.773034,1,0,1,0,0,0,0,0,0
4.985608,1,0,1,1,0,0,0,0,0
4.985836,1,0,0,1,0,0,0,0,0
5.073199,1,0,0,0,0,0,0,0,0
5.073427,1,0,1,0,0,0,0,0,0
5.098202,1,0,0,0,0,0,0,0,0
5.098436,1,0,1,0,0,0,0,0,0
5.586396,1,0,1,1,0,0,0,0,0
5.661525,1,0,1,1,0,0,0,0,0
5.736708,1,0,1,1,0,0,0,0,0
5.836839,1,0,1,1,0,0,0,0,0
5.849364,1,0,0,0,0,0,0,0,0
5.84959,1,0,1,0,0,0,0,0,0
6.212303,1,0,1,1,0,0,0,0,0
6.225026,1,0,1,0,0,0,0,0,0
6.312386,1,0,1,1,0,0,0,0,0
6.31262,1,0,0,1,0,0,0,0,0
6.324833,1,0,0,0,0,0,0,0,0
6.462458,1,0,1,1,0,0,0,0,0
6.462685,1,0,0,1,0,0,0,0,0
6.574963,1,0,0,0,0,0,0,0,0
6.575196,1,0,1,0,0,0,0,0,0
6.612547,1,0,1,1,0,0,0,0,0
6.612777,1,0,0,1,0,0,0,0,0
6.800503,1,0,0,0,0,0,0,0,0
6.850633,1,0,0,0,0,0,0,0,0
6.850866,1,0,1,0,0,0,0,0,0
6.913199,1,0,1,1,0,0,0,0,0
6.913425,1,0,0,1,0,0,0,0,0
6.92568,1,0,0,0,0,0,0,0,0
6.988197,1,0,1,1,0,0,0,0,0
6.988426,1,0,0,1,0,0,0,0,0
7.138168,1,0,1,1,0,0,0,0,0
7.138393,1,0,0,1,0,0,0,0,0
7.663829,1,0,1,1,0,0,0,0,0
7.664059,1,0,0,1,0,0,0,0,0
7.676351,1,0,0,0,0,0,0,0,0
7.676586,1,0,1,0,0,0,0,0,0
7.814114,1,0,1,1,0,0,0,0,0
7.889047,1,0,1,1,0,0,0,0,0
7.939027,1,0,1,1,0,0,0,0,0
8.264447,1,0,1,1,0,0,0,0,0
8.264671,1,0,0,1,0,0,0,0,0
8.376887,1,0,0,0,0,0,0,0,0
8.614588,1,0,1,1,0,0,0,0,0
8.614823,1,0,0,1,0,0,0,0,0
8.739656,1,0,1,1,0,0,0,0,0
8.939789,1,0,1,1,0,0,0,0,0
9.039992,1,0,1,1,0,0,0,0,0
9.04022,1,0,0,1,0,0,0,0,0
9.052445,1,0,0,0,0,0,0,0,0
9.052673,1,0,1,0,0,0,0,0,0
9.127597,1,0,0,0,0,0,0,0,0
9.127823,1,0,1,0,0,0,0,0,0
9.290409,1,0,1,1,0,0,0,0,0
9.290642,1,0,0,1,0,0,0,0,0
9.477936,1,0,0,0,0,0,0,0,0
9.502961,1,0,0,0,0,0,0,0,0
9.503189,1,0,1,0,0,0,0,0,0
9.603235,1,0,0,0,0,0,0,0,0
9.790991,1,0,1,1,0,0,0,0,0
10.09129,1,0,1,1,0,0,0,0,0
10.35415,1,0,0,0,0,0,0,0,0
10.354381,1,0,1,0,0,0,0,0,0
10.554389,1,0,0,0,0,0,0,0,0
10.554616,1,0,1,0,0,0,0,0,0
10.704517,1,0,0,0,0,0,0,0,0
10.704751,1,0,1,0,0,0,0,0,0
11.129595,1,0,0,0,0,0,0,0,0
11.367342,1,0,1,1,0,0,0,0,0
11.529912,1,0,0,0,0,0,0,0,0
11.592341,1,0,1,1,0,0,0,0,0
11.604885,1,0,0,0,0,0,0,0,0
