t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.074882,1,0,0,0,0,0,0,0,0
0.075111,1,0,1,0,0,0,0,0,0
0.525161,1,0,0,0,0,0,0,0,0
0.525396,1,0,1,0,0,0,0,0,0
0.848081,1,0,1,1,0,0,0,0,0
0.848312,1,0,0,1,0,0,0,0,0
0.900553,1,0,0,0,0,0,0,0,0
0.900783,1,0,1,0,0,0,0,0,0
0.953285,1,0,1,1,0,0,0,0,0
1.230885,1,0,0,0,0,0,0,0,0
1.231105,1,0,1,0,0,0,0,0,0
1.396247,1,0,0,0,0,0,0,0,0
1.396472,1,0,1,0,0,0,0,0,0
1.433725,1,0,1,1,0,0,0,0,0
1.936738,1,0,0,0,0,0,0,0,0
2.056896,1,0,0,0,0,0,0,0,0
2.447502,1,0,0,1,0,0,0,0,0
2.55969,1,0,0,0,0,0,0,0,0
2.559918,1,0,1,0,0,0,0,0,0
2.649961,1,0,1,0,0,0,0,0,0
2.972646,1,0,1,1,0,0,0,0,0
3.198022,1,0,1,1,0,0,0,0,0
3.198251,1,0,0,1,0,0,0,0,0
3.896431,1,0,1,0,0,0,0,0,0
3.941307,1,0,0,0,0,0,0,0,0
3.941532,1,0,1,0,0,0,0,0,0
4.038925,1,0,1,1,0,0,0,0,0
4.639495,1,0,1,1,0,0,0,0,0
4.909797,1,0,1,1,0,0,0,0,0
4.910022,1,0,0,1,0,0,0,0,0
5.089937,1,0,1,1,0,0,0,0,0
5.127506,1,0,0,0,0,0,0,0,0
5.127741,1,0,1,0,0,0,0,0,0
5.240061,1,0,1,1,0,0,0,0,0
5.240293,1,0,0,1,0,0,0,0,0
5.608447,1,0,1,0,0,0,0,0,0
5.743705,1,0,1,0,0,0,0,0,0
5.878636,1,0,0,0,0,0,0,0,0
6.479178,1,0,0,0,0,0,0,0,0
6.47941,1,0,1,0,0,0,0,0,0
6.682235,1,0,1,0,0,0,0,0,0
6.689514,1,0,1,1,0,0,0,0,0
6.689755,1,0,0,1,0,0,0,0,0
6.764877,1,0,1,0,0,0,0,0,0
7.627999,1,0,0,0,0,0,0,0,0
7.628228,1,0,1,0,0,0,0,0,0
