t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.37608,1,0,0,0,0,0,0,0,0
0.376309,1,0,1,0,0,0,0,0,0
1.070774,1,0,0,1,0,0,0,0,0
1.765229,0,1,1,0,0,0,0,0,15
2.459419,1,0,1,1,0,0,0,0,0
2.459647,1,0,0,1,0,0,0,0,0
3.15411,1,0,1,0,0,0,0,0,0
3.848513,1,0,0,1,0,0,0,0,0
4.542545,1,0,0,0,0,0,0,0,0
4.542782,1,0,1,0,0,0,0,0,0
5.237405,1,0,0,1,0,0,0,0,0
5.932115,1,0,0,0,0,0,0,0,0
5.932344,1,0,1,0,0,0,0,0,0
6.626661,1,0,1,0,0,0,0,0,0
7.321002,1,0,0,1,0,0,0,0,0
8.015682,1,0,1,0,0,0,0,0,0
8.709729,1,0,1,1,0,0,0,0,0
9.404285,1,0,0,0,0,0,0,0,0
9.404515,1,0,1,0,0,0,0,0,0
10.098852,1,0,1,1,0,0,0,0,0
10.09908,1,0,0,1,0,0,0,0,0
10.793678,1,0,1,0,0,0,0,0,0
11.487379,1,0,1,1,0,0,0,0,0
11.487611,1,0,0,1,0,0,0,0,0
12.181962,1,0,0,0,0,0,0,0,0
12.182195,1,0,1,0,0,0,0,0,0
12.876557,1,0,1,1,0,0,0,0,0
12.876787,1,0,0,1,0,0,0,0,0
13.571423,1,0,0,0,0,0,0,0,0
13.571654,1,0,1,0,0,0,0,0,0
14.26598,1,0,0,1,0,0,0,0,0
14.963607,1,0,1,0,0,0,0,0,0
15.657654,1,0,1,1,0,0,0,0,0
15.657885,1,0,0,1,0,0,0,0,0
16.352509,1,0,1,0,0,0,0,0,0
17.046998,1,0,1,1,0,0,0,0,0
17.047231,1,0,0,1,0,0,0,0,0
17.740962,1,0,0,0,0,0,0,0,8
17.741194,1,0,1,0,0,0,0,0,0
18.435745,1,0,0,1,0,0,0,0,0
19.130241,1,0,0,0,0,0,0,0,8
19.130471,1,0,1,0,0,0,0,0,0
19.824921,1,0,1,1,0,0,0,0,0
19.825155,1,0,0,1,0,0,0,0,0
20.519113,1,0,0,0,0,0,0,0,0
21.213878,1,0,1,1,0,0,0,0,0
21.214109,1,0,0,1,0,0,0,0,0
21.908343,1,0,0,0,0,0,0,0,8
21.908574,1,0,1,0,0,0,0,0,0
22.602312,1,0,1,1,0,0,0,0,0
22.602538,1,0,0,1,0,0,0,0,0
23.296809,1,0,0,0,0,0,0,0,0
23.29704,1,0,1,0,0,0,0,0,0
23.991191,1,0,0,0,0,0,0,0,0
23.991423,1,0,1,0,0,0,0,0,0
24.685578,1,0,1,1,0,0,0,0,0
24.685811,1,0,0,1,0,0,0,0,0
25.379997,1,0,0,0,0,0,0,0,0
26.074257,1,0,1,1,0,0,0,0,0
26.07449,1,0,0,1,0,0,0,0,0
26.769255,1,0,1,0,0,0,0,0,0
27.463755,1,0,0,1,0,0,0,0,0
28.157771,1,0,0,0,0,0,0,0,0
28.158004,1,0,1,0,0,0,0,0,0
28.852244,1,0,1,1,0,0,0,0,0
28.852476,1,0,0,1,0,0,0,0,0
29.546982,1,0,0,0,0,0,0,0,0
29.547211,1,0,1,0,0,0,0,0,0
30.241502,1,0,1,1,0,0,0,0,0
30.241733,1,0,0,1,0,0,0,0,0
30.936051,1,0,0,0,0,0,0,0,0
30.936282,1,0,1,0,0,0,0,0,0
31.630667,1,0,1,1,0,0,0,0,0
31.630894,1,0,0,1,0,0,0,0,0
32.325043,1,0,0,0,0,0,0,0,0
32.325279,1,0,1,0,0,0,0,0,0
33.019189,1,0,1,1,0,0,0,0,0
33.019419,1,0,0,1,0,0,0,0,0
33.713721,1,0,0,0,0,0,0,0,0
33.713953,1,0,1,0,0,0,0,0,0
34.407999,1,0,1,1,0,0,0,0,0
35.102662,1,0,1,0,0,0,0,0,0
35.797027,1,0,1,1,0,0,0,0,0
35.797259,0,1,0,1,0,0,0,0,18
36.491285,1,0,0,0,0,0,0,0,0
36.491516,1,0,1,0,0,0,0,0,0
37.1858,1,0,1,1,0,0,0,0,0
37.880089,1,0,0,0,0,0,0,0,0
37.880318,1,0,1,0,0,0,0,0,0
38.575005,1,0,1,1,0,0,0,0,0
39.268947,1,0,0,0,0,0,0,0,0
39.269176,1,0,1,0,0,0,0,0,0
39.962789,1,0,1,1,0,0,0,0,0
39.963018,1,0,0,1,0,0,0,0,0
40.657076,1,0,1,0,0,0,0,0,0
41.351139,1,0,1,1,0,0,0,0,0
41.351366,1,0,0,1,0,0,0,0,0
42.045784,1,0,0,0,0,0,0,0,0
42.739731,1,0,1,1,0,0,0,0,0
42.73996,1,0,0,1,0,0,0,0,0
43.434153,1,0,0,0,0,0,0,0,0
43.434385,1,0,1,0,0,0,0,0,0
44.82293,1,0,1,1,0,0,0,0,0
44.823159,1,0,0,1,0,0,0,0,0
45.517388,1,0,0,0,0,0,0,0,0
45.51762,1,0,1,0,0,0,0,0,0
46.211388,1,0,1,1,0,0,0,0,0
46.211616,1,0,0,1,0,0,0,0,0
46.905745,1,0,0,0,0,0,0,0,0
46.905972,1,0,1,0,0,0,0,0,0
47.600069,1,0,1,1,0,0,0,0,0
47.6003,1,0,0,1,0,0,0,0,0
48.297502,1,0,0,0,0,0,0,0,0
48.297732,1,0,1,0,0,0,0,0,0
48.992154,1,0,1,1,0,0,0,0,0
48.992388,1,0,0,1,0,0,0,0,0
49.687032,1,0,1,0,0,0,0,0,0
50.381635,1,0,1,1,0,0,0,0,0
50.381863,1,0,0,1,0,0,0,0,0
51.075995,1,0,0,0,0,0,0,0,0
51.076228,1,0,1,0,0,0,0,0,0
51.770551,1,0,1,1,0,0,0,0,0
52.465043,1,0,0,0,0,0,0,0,0
52.465274,1,0,1,0,0,0,0,0,0
53.159919,1,0,0,1,0,0,0,0,0
53.854138,1,0,0,0,0,0,0,0,0
53.85437,1,0,1,0,0,0,0,0,0
54.549185,1,0,0,1,0,0,0,0,0
