t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.127226,1,0,0,0,0,0,0,0,0
0.127457,1,0,1,0,0,0,0,0,0
0.433203,1,0,1,1,0,0,0,0,0
0.433428,1,0,0,1,0,0,0,0,0
0.477915,1,0,1,1,0,0,0,0,0
0.478147,1,0,0,1,0,0,0,0,0
0.619913,1,0,0,0,0,0,0,0,0
0.62014,1,0,1,0,0,0,0,0,0
1.187287,1,0,0,0,0,0,0,0,0
1.18752,1,0,1,0,0,0,0,0,0
1.306981,1,0,0,0,0,0,0,0,0
1.538529,1,0,1,1,0,0,0,0,0
1.538766,1,0,0,1,0,0,0,0,0
1.635529,1,0,0,0,0,0,0,0,0
1.635761,1,0,1,0,0,0,0,0,0
1.844288,1,0,0,0,0,0,0,0,0
1.844521,1,0,1,0,0,0,0,0,0
1.851764,1,0,1,1,0,0,0,0,0
1.851999,1,0,0,1,0,0,0,0,0
2.001078,1,0,1,1,0,0,0,0,0
2.001313,1,0,0,1,0,0,0,0,0
2.008593,1,0,0,0,0,0,0,0,0
2.008818,1,0,1,0,0,0,0,0,0
2.284681,1,0,1,1,0,0,0,0,0
2.284903,1,0,0,1,0,0,0,0,0
2.911882,1,0,0,0,0,0,0,0,0
2.912112,1,0,1,0,0,0,0,0,0
3.576469,1,0,0,0,0,0,0,0,0
3.576694,1,0,1,0,0,0,0,0,0
4.069421,1,0,0,0,0,0,0,0,0
4.069654,1,0,1,0,0,0,0,0,0
4.204003,1,0,1,1,0,0,0,0,0
4.204232,1,0,0,1,0,0,0,0,0
4.233936,1,0,1,1,0,0,0,0,0
4.23416,1,0,0,1,0,0,0,0,0
4.465242,1,0,0,0,0,0,0,0,0
4.465465,1,0,1,0,0,0,0,0,0
4.562371,1,0,0,0,0,0,0,0,0
4.562598,1,0,1,0,0,0,0,0,0
4.577305,1,0,0,0,0,0,0,0,0
4.577533,1,0,1,0,0,0,0,0,0
4.875791,1,0,1,1,0,0,0,0,0
4.876017,1,0,0,1,0,0,0,0,0
5.234093,1,0,1,1,0,0,0,0,0
5.234316,1,0,0,1,0,0,0,0,0
5.510528,1,0,1,1,0,0,0,0,0
5.510764,1,0,0,1,0,0,0,0,0
5.652436,1,0,0,0,0,0,0,0,0
5.652665,1,0,1,0,0,0,0,0,0
5.831794,1,0,0,0,0,0,0,0,0
5.832023,1,0,1,0,0,0,0,0,0
5.906586,1,0,0,0,0,0,0,0,0
5.906818,1,0,1,0,0,0,0,0,0
5.958824,1,0,1,1,0,0,0,0,0
5.959053,1,0,0,1,0,0,0,0,0
6.018577,1,0,1,1,0,0,0,0,0
6.018803,1,0,0,1,0,0,0,0,0
6.138141,1,0,1,1,0,0,0,0,0
6.138382,1,0,0,1,0,0,0,0,0
6.810624,1,0,0,0,0,0,0,0,0
6.810852,1,0,1,0,0,0,0,0,0
6.974801,1,0,0,0,0,0,0,0,0
6.975029,1,0,1,0,0,0,0,0,0
7.064404,1,0,0,0,0,0,0,0,0
7.064642,1,0,1,0,0,0,0,0,0
7.355584,1,0,1,1,0,0,0,0,0
7.355811,1,0,0,1,0,0,0,0,0
7.73626,1,0,0,0,0,0,0,0,0
7.736488,1,0,1,0,0,0,0,0,0
7.758643,1,0,1,1,0,0,0,0,0
7.758875,1,0,0,1,0,0,0,0,0
8.042598,1,0,1,1,0,0,0,0,0
8.042827,1,0,0,1,0,0,0,0,0
8.139834,1,0,0,0,0,0,0,0,0
8.162205,1,0,0,0,0,0,0,0,0
8.162431,1,0,1,0,0,0,0,0,0
8.333963,1,0,0,0,0,0,0,0,0
8.334193,1,0,1,0,0,0,0,0,0
8.348874,1,0,0,0,0,0,0,0,0
8.349105,1,0,1,0,0,0,0,0,0
8.610372,1,0,1,1,0,0,0,0,0
8.610606,1,0,0,1,0,0,0,0,0
8.647763,1,0,0,0,0,0,0,0,0
8.64799,1,0,1,0,0,0,0,0,0
8.871908,1,0,0,0,0,0,0,0,0
8.872134,1,0,1,0,0,0,0,0,0
9.192765,1,0,0,0,0,0,0,0,0
9.192993,1,0,1,0,0,0,0,0,0
9.33469,1,0,1,1,0,0,0,0,0
9.334919,1,0,0,1,0,0,0,0,0
9.349648,1,0,1,1,0,0,0,0,0
9.349877,1,0,0,1,0,0,0,0,0
9.357147,1,0,0,0,0,0,0,0,0
9.357377,1,0,1,0,0,0,0,0,0
10.006497,1,0,1,1,0,0,0,0,0
10.006722,1,0,0,1,0,0,0,0,0
10.962076,1,0,1,1,0,0,0,0,0
10.962302,1,0,0,1,0,0,0,0,0
10.977074,1,0,1,1,0,0,0,0,0
10.977301,1,0,0,1,0,0,0,0,0
11.148957,1,0,0,0,0,0,0,0,0
11.149187,1,0,1,0,0,0,0,0,0
11.552544,1,0,1,1,0,0,0,0,0
11.55277,1,0,0,1,0,0,0,0,0
11.85124,1,0,1,1,0,0,0,0,0
11.85147,1,0,0,1,0,0,0,0,0
11.963354,1,0,0,0,0,0,0,0,0
11.963586,1,0,1,0,0,0,0,0,0
11.970831,1,0,1,1,0,0,0,0,0
11.971056,1,0,0,1,0,0,0,0,0
12.366863,1,0,0,0,0,0,0,0,0
12.367094,1,0,1,0,0,0,0,0,0
12.426517,1,0,0,0,0,0,0,0,0
12.426742,1,0,1,0,0,0,0,0,0
12.523587,1,0,1,1,0,0,0,0,0
12.52382,1,0,0,1,0,0,0,0,0
12.56088,1,0,0,0,0,0,0,0,0
12.561108,1,0,1,0,0,0,0,0,0
12.822417,1,0,1,1,0,0,0,0,0
12.822643,1,0,0,1,0,0,0,0,0
13.113419,1,0,0,0,0,0,0,0,0
13.11365,1,0,1,0,0,0,0,0,0
13.315207,1,0,1,1,0,0,0,0,0
13.315438,1,0,0,1,0,0,0,0,0
13.748136,1,0,1,1,0,0,0,0,0
13.748367,1,0,0,1,0,0,0,0,0
14.009772,1,0,0,0,0,0,0,0,0
14.010001,1,0,1,0,0,0,0,0,0
14.151712,1,0,1,1,0,0,0,0,0
14.151943,1,0,0,1,0,0,0,0,0
14.256265,1,0,1,1,0,0,0,0,0
14.256499,0,1,0,1,0,0,0,0,9
14.570176,1,0,0,0,0,0,0,0,0
14.570404,1,0,1,0,0,0,0,0,0
14.786977,1,0,1,1,0,0,0,0,0
14.787204,1,0,0,1,0,0,0,0,0
14.884024,1,0,0,0,0,0,0,0,0
14.884253,1,0,1,0,0,0,0,0,0
