t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.391205,1,0,1,1,0,0,0,0,0
0.391433,1,0,0,1,0,0,0,0,0
1.08189,1,0,0,0,0,0,0,0,0
1.082117,1,0,1,0,0,0,0,0,0
1.772578,1,0,1,1,0,0,0,0,0
1.772809,1,0,0,1,0,0,0,0,0
2.462903,1,0,0,0,0,0,0,0,0
2.463133,1,0,1,0,0,0,0,0,0
3.153642,1,0,1,1,0,0,0,0,0
3.153875,1,0,0,1,0,0,0,0,0
3.844348,1,0,0,0,0,0,0,0,0
3.844574,1,0,1,0,0,0,0,0,0
4.535283,1,0,1,1,0,0,0,0,0
4.535512,1,0,0,1,0,0,0,0,0
5.225632,1,0,0,0,0,0,0,0,0
5.225859,1,0,1,0,0,0,0,0,0
5.91679,1,0,1,1,0,0,0,0,0
5.917012,0,1,0,1,0,0,0,0,9
6.607974,1,0,0,0,0,0,0,0,0
6.608206,1,0,1,0,0,0,0,0,0
7.298549,1,0,1,1,0,0,0,0,0
7.298774,1,0,0,1,0,0,0,0,0
7.989299,1,0,0,0,0,0,0,0,0
7.989531,1,0,1,0,0,0,0,0,0
8.680663,1,0,0,1,0,0,0,0,0
9.371073,1,0,0,0,0,0,0,0,0
9.371306,1,0,1,0,0,0,0,0,0
10.061479,1,0,1,1,0,0,0,0,0
10.061705,1,0,0,1,0,0,0,0,0
10.752002,1,0,0,0,0,0,0,0,0
10.752234,1,0,1,0,0,0,0,0,0
11.443083,1,0,1,1,0,0,0,0,0
11.44331,1,0,0,1,0,0,0,0,0
12.134326,1,0,0,0,0,0,0,0,0
12.134555,1,0,1,0,0,0,0,0,0
12.825069,1,0,1,1,0,0,0,0,0
12.825298,1,0,0,1,0,0,0,0,0
13.515547,1,0,0,0,0,0,0,0,0
14.20659,1,0,1,1,0,0,0,0,0
14.206828,1,0,0,1,0,0,0,0,0
14.897857,1,0,0,0,0,0,0,0,0
14.898087,1,0,1,0,0,0,0,0,0
15.589057,1,0,1,1,0,0,0,0,0
15.589293,1,0,0,1,0,0,0,0,0
16.280549,1,0,0,0,0,0,0,0,0
16.280782,1,0,1,0,0,0,0,0,0
16.971384,1,0,1,1,0,0,0,0,0
16.971612,1,0,0,1,0,0,0,0,0
17.662489,1,0,1,0,0,0,0,0,0
18.35297,1,0,1,1,0,0,0,0,0
18.353193,1,0,0,1,0,0,0,0,0
19.043759,1,0,0,0,0,0,0,0,0
19.043992,1,0,1,0,0,0,0,0,0
19.73508,1,0,1,1,0,0,0,0,0
19.735309,1,0,0,1,0,0,0,0,0
20.426362,1,0,0,0,0,0,0,0,0
20.426587,1,0,1,0,0,0,0,0,0
21.117451,1,0,1,1,0,0,0,0,0
21.117678,1,0,0,1,0,0,0,0,0
21.80815,1,0,0,0,0,0,0,0,0
21.808378,1,0,1,0,0,0,0,0,0
22.499977,1,0,1,1,0,0,0,0,0
22.500201,1,0,0,1,0,0,0,0,0
23.19089,1,0,0,0,0,0,0,0,0
23.19112,1,0,1,0,0,0,0,0,0
23.882587,1,0,1,1,0,0,0,0,0
23.882817,1,0,0,1,0,0,0,0,0
24.573235,1,0,0,0,0,0,0,0,0
24.573462,1,0,1,0,0,0,0,0,0
25.264419,1,0,1,1,0,0,0,0,0
25.264648,1,0,0,1,0,0,0,0,0
25.955551,1,0,0,0,0,0,0,0,0
25.955779,1,0,1,0,0,0,0,0,0
26.646653,1,0,1,1,0,0,0,0,0
26.646885,1,0,0,1,0,0,0,0,0
27.337818,1,0,0,0,0,0,0,0,0
27.338042,1,0,1,0,0,0,0,0,0
28.030006,1,0,1,1,0,0,0,0,0
28.030236,1,0,0,1,0,0,0,0,0
28.720216,1,0,0,0,0,0,0,0,0
28.720442,1,0,1,0,0,0,0,0,0
29.41075,1,0,1,1,0,0,0,0,0
29.410981,1,0,0,1,0,0,0,0,0
30.10119,1,0,0,0,0,0,0,0,0
30.101419,1,0,1,0,0,0,0,0,0
30.791553,1,0,1,1,0,0,0,0,0
30.791787,1,0,0,1,0,0,0,0,0
31.481978,1,0,0,0,0,0,0,0,0
31.482212,1,0,1,0,0,0,0,0,0
32.172237,1,0,1,1,0,0,0,0,0
32.172468,1,0,0,1,0,0,0,0,0
32.863157,1,0,0,0,0,0,0,0,0
32.863386,1,0,1,0,0,0,0,0,0
33.5536,1,0,1,1,0,0,0,0,0
33.553833,1,0,0,1,0,0,0,0,0
34.243968,1,0,0,0,0,0,0,0,0
34.244195,1,0,1,0,0,0,0,0,0
34.934248,1,0,1,1,0,0,0,0,0
34.934475,1,0,0,1,0,0,0,0,0
35.624547,1,0,0,0,0,0,0,0,0
35.624778,1,0,1,0,0,0,0,0,0
36.315439,1,0,1,1,0,0,0,0,0
36.315676,1,0,0,1,0,0,0,0,0
37.00637,1,0,0,0,0,0,0,0,0
37.006601,1,0,1,0,0,0,0,0,0
37.697074,1,0,1,1,0,0,0,0,0
37.697302,1,0,0,1,0,0,0,0,0
38.388239,1,0,0,0,0,0,0,0,0
38.388465,1,0,1,0,0,0,0,0,0
39.079565,1,0,1,1,0,0,0,0,0
39.079794,1,0,0,1,0,0,0,0,0
39.769993,1,0,0,0,0,0,0,0,0
39.770222,0,1,1,0,0,0,0,0,15
40.460583,1,0,1,1,0,0,0,0,0
40.460817,1,0,0,1,0,0,0,0,0
41.151483,1,0,0,0,0,0,0,0,0
41.151712,1,0,1,0,0,0,0,0,0
41.842067,1,0,1,1,0,0,0,0,0
41.842296,1,0,0,1,0,0,0,0,0
42.532299,1,0,0,0,0,0,0,0,0
42.532531,1,0,1,0,0,0,0,0,0
43.223215,1,0,1,1,0,0,0,0,0
43.223441,1,0,0,1,0,0,0,0,0
43.913846,1,0,0,0,0,0,0,0,0
43.914073,1,0,1,0,0,0,0,0,0
44.604051,1,0,1,1,0,0,0,0,0
44.604278,1,0,0,1,0,0,0,0,0
45.294937,1,0,0,0,0,0,0,0,0
45.295171,1,0,1,0,0,0,0,0,0
45.98614,1,0,1,1,0,0,0,0,0
45.986368,1,0,0,1,0,0,0,0,0
46.677002,1,0,0,0,0,0,0,0,0
46.677232,1,0,1,0,0,0,0,0,0
47.367987,1,0,1,1,0,0,0,0,0
47.368215,1,0,0,1,0,0,0,0,0
48.058823,1,0,0,0,0,0,0,0,0
48.05905,1,0,1,0,0,0,0,0,0
48.749354,1,0,1,1,0,0,0,0,0
48.749583,1,0,0,1,0,0,0,0,0
49.440479,1,0,0,0,0,0,0,0,0
49.440704,1,0,1,0,0,0,0,0,0
50.130959,1,0,1,1,0,0,0,0,0
50.131187,1,0,0,1,0,0,0,0,0
50.821338,1,0,0,0,0,0,0,0,0
50.821566,1,0,1,0,0,0,0,0,0
51.512114,1,0,1,1,0,0,0,0,0
51.512346,1,0,0,1,0,0,0,0,0
52.20285,1,0,0,0,0,0,0,0,0
52.203068,1,0,1,0,0,0,0,0,0
52.893252,1,0,1,1,0,0,0,0,0
52.893475,1,0,0,1,0,0,0,0,0
53.583872,1,0,0,0,0,0,0,0,0
53.584102,1,0,1,0,0,0,0,0,0
54.274063,1,0,1,1,0,0,0,0,0
54.274294,1,0,0,1,0,0,0,0,0
54.964205,1,0,0,0,0,0,0,0,0
54.964437,1,0,1,0,0,0,0,0,0
55.654654,1,0,1,1,0,0,0,0,0
55.654883,1,0,0,1,0,0,0,0,0
56.34531,1,0,0,0,0,0,0,0,0
56.345538,1,0,1,0,0,0,0,0,0
57.035594,1,0,1,1,0,0,0,0,0
57.035824,1,0,0,1,0,0,0,0,0
57.725942,1,0,0,0,0,0,0,0,0
57.726174,1,0,1,0,0,0,0,0,0
58.417339,1,0,1,1,0,0,0,0,0
58.41757,1,0,0,1,0,0,0,0,0
59.107939,1,0,0,0,0,0,0,0,0
59.108165,1,0,1,0,0,0,0,0,0
59.798496,1,0,1,1,0,0,0,0,0
59.79872,1,0,0,1,0,0,0,0,0
60.48914,1,0,0,0,0,0,0,0,0
60.489368,1,0,1,0,0,0,0,0,0
61.179155,1,0,1,1,0,0,0,0,0
61.179385,1,0,0,1,0,0,0,0,0
61.869899,1,0,0,0,0,0,0,0,0
61.870133,1,0,1,0,0,0,0,0,0
62.560656,1,0,1,1,0,0,0,0,0
62.560889,1,0,0,1,0,0,0,0,0
63.251156,1,0,0,0,0,0,0,0,0
63.251386,1,0,1,0,0,0,0,0,0
