t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.044017,1,0,1,1,0,0,0,0,0
0.044251,0,1,0,1,0,0,0,0,75
0.066357,1,0,1,1,0,0,0,0,0
0.066589,1,0,0,1,0,0,0,0,0
0.08884,1,0,1,1,0,0,0,0,0
0.089069,1,0,0,1,0,0,0,0,0
0.104064,1,0,0,1,0,0,0,0,0
0.321149,1,0,0,1,0,0,0,0,0
0.343345,1,0,0,0,0,0,0,0,0
0.343568,1,0,1,0,0,0,0,0,0
0.36569,1,0,1,1,0,0,0,0,0
0.365922,1,0,0,1,0,0,0,0,0
0.380628,1,0,1,1,0,0,0,0,0
0.380855,1,0,0,1,0,0,0,0,0
0.597592,1,0,1,1,0,0,0,0,0
0.597821,1,0,0,1,0,0,0,0,0
0.620127,1,0,1,1,0,0,0,0,0
0.620361,1,0,0,1,0,0,0,0,0
0.642606,1,0,0,0,0,0,0,0,0
0.642835,1,0,1,0,0,0,0,0,0
0.657809,1,0,1,0,0,0,0,0,0
0.874533,1,0,0,1,0,0,0,0,0
0.896707,1,0,0,0,0,0,0,0,0
0.896939,1,0,1,0,0,0,0,0,0
0.919182,1,0,0,0,0,0,0,0,0
0.919414,1,0,1,0,0,0,0,0,0
0.934117,1,0,0,0,0,0,0,0,0
0.934343,1,0,1,0,0,0,0,0,0
1.150917,1,0,1,0,0,0,0,0,0
1.173077,1,0,0,0,0,0,0,0,0
1.173307,1,0,1,0,0,0,0,0,0
1.195519,1,0,0,0,0,0,0,0,0
1.195748,1,0,1,0,0,0,0,0,0
1.210476,1,0,0,0,0,0,0,0,0
1.210708,1,0,1,0,0,0,0,0,0
1.427053,1,0,1,1,0,0,0,0,0
1.427285,1,0,0,1,0,0,0,0,0
1.449448,1,0,1,1,0,0,0,0,0
1.449678,1,0,0,1,0,0,0,0,0
1.471895,1,0,1,1,0,0,0,0,0
1.472122,1,0,0,1,0,0,0,0,0
1.487063,1,0,0,1,0,0,0,0,0
1.703888,1,0,1,0,0,0,0,0,0
1.726135,1,0,1,1,0,0,0,0,0
1.726368,1,0,0,1,0,0,0,0,0
1.748609,1,0,0,0,0,0,0,0,0
1.748837,1,0,1,0,0,0,0,0,0
1.763472,1,0,0,0,0,0,0,0,0
1.763699,1,0,1,0,0,0,0,0,0
1.979959,1,0,0,0,0,0,0,0,0
1.980191,1,0,1,0,0,0,0,0,0
2.002439,1,0,1,1,0,0,0,0,0
2.002666,1,0,0,1,0,0,0,0,0
2.024885,1,0,0,0,0,0,0,0,0
2.025116,1,0,1,0,0,0,0,0,0
2.039844,1,0,1,1,0,0,0,0,0
2.040071,1,0,0,1,1,0,0,0,0
2.040295,1,0,0,0,0,0,0,0,0
2.040523,0,1,1,0,0,0,0,0,17
2.256952,1,0,0,0,0,0,0,0,0
2.257178,1,0,1,0,0,0,0,0,0
2.279306,1,0,1,1,0,0,0,0,0
2.279533,1,0,0,1,0,0,0,0,0
2.301708,1,0,1,1,0,0,0,0,0
2.301934,1,0,0,1,0,0,0,0,0
2.316848,1,0,0,1,0,0,0,0,0
2.533245,1,0,0,0,0,0,0,0,0
2.533476,1,0,1,0,0,0,0,0,0
2.555679,1,0,0,0,0,0,0,0,0
2.555908,1,0,1,0,0,0,0,0,0
2.578078,1,0,1,1,0,0,0,0,0
2.57831,1,0,0,1,0,0,0,0,0
2.592994,1,0,0,0,0,0,0,0,0
2.593226,1,0,1,0,0,0,0,0,0
2.809583,1,0,1,1,0,0,0,0,0
2.809812,1,0,0,1,0,0,0,0,0
2.831985,1,0,0,0,0,0,0,0,0
2.832212,1,0,1,0,0,0,0,0,0
2.85446,1,0,1,1,0,0,0,0,0
2.854691,1,0,0,1,0,0,0,0,0
2.869645,1,0,0,1,0,0,0,0,0
3.086406,1,0,1,0,0,0,0,0,0
3.108788,1,0,0,1,0,0,0,0,0
3.130965,1,0,0,0,0,0,0,0,0
3.131194,1,0,1,0,0,0,0,0,0
3.145897,1,0,0,0,0,0,0,0,0
3.146129,1,0,1,0,0,0,0,0,0
3.362754,1,0,0,0,0,0,0,0,0
3.362981,1,0,1,0,0,0,0,0,0
3.385134,1,0,1,1,0,0,0,0,0
3.38536,1,0,0,1,0,0,0,0,0
3.407588,1,0,1,1,0,0,0,0,0
3.407819,1,0,0,1,0,0,0,0,0
3.422536,1,0,1,1,0,0,0,0,0
3.422764,1,0,0,1,0,0,0,0,0
3.639556,1,0,0,1,0,0,0,0,0
3.662034,1,0,1,0,0,0,0,0,0
3.684281,1,0,1,1,0,0,0,0,0
3.684514,1,0,0,1,0,0,0,0,0
3.699475,1,0,1,1,0,0,0,0,0
3.699701,1,0,0,1,0,0,0,0,0
3.916086,1,0,0,0,0,0,0,0,0
3.916314,1,0,1,0,0,0,0,0,0
3.938564,1,0,1,1,0,0,0,0,0
3.938796,1,0,0,1,0,0,0,0,0
3.961266,1,0,1,0,0,0,0,0,0
3.976062,1,0,0,0,0,0,0,0,0
3.976294,1,0,1,0,0,0,0,0,0
4.193022,1,0,1,1,0,0,0,0,0
4.193252,1,0,0,1,0,0,0,0,0
4.215649,1,0,1,0,0,0,0,0,0
4.237998,1,0,0,1,0,0,0,0,0
4.252689,1,0,1,1,0,0,0,0,0
4.252918,1,0,0,1,0,0,0,0,0
4.469374,1,0,0,0,0,0,0,0,0
4.469601,1,0,1,0,0,0,0,0,0
4.492055,1,0,0,1,0,0,0,0,0
4.514274,1,0,0,0,0,0,0,0,0
4.514506,1,0,1,0,0,0,0,0,0
4.529199,1,0,0,0,0,0,0,0,0
4.529424,1,0,1,0,0,0,0,0,0
4.745943,1,0,1,1,0,0,0,0,0
4.746169,1,0,0,1,0,0,0,0,0
4.768704,1,0,1,0,0,0,0,0,0
4.79093,1,0,1,1,0,0,0,0,0
4.791156,1,0,0,1,0,0,0,0,0
4.805869,1,0,1,1,0,0,0,0,0
4.8061,1,0,0,1,0,0,0,0,0
5.022818,1,0,0,0,0,0,0,0,0
5.023043,1,0,1,0,0,0,0,0,0
5.045294,1,0,1,1,0,0,0,0,0
5.045523,1,0,0,1,0,0,0,0,0
5.067724,1,0,0,0,0,0,0,0,0
5.067951,1,0,1,0,0,0,0,0,0
5.082702,1,0,0,0,0,0,0,0,0
5.082937,1,0,1,0,0,0,0,0,0
5.299656,1,0,1,1,0,0,0,0,0
5.299889,1,0,0,1,0,0,0,0,0
5.322043,1,0,0,0,0,0,0,0,0
5.322269,1,0,1,0,0,0,0,0,0
5.344515,1,0,1,1,0,0,0,0,0
5.344745,1,0,0,1,0,0,0,0,0
5.359406,1,0,1,1,0,0,0,0,0
5.359637,1,0,0,1,0,0,0,0,0
5.576268,1,0,0,0,0,0,0,0,0
5.576503,1,0,1,0,0,0,0,0,0
5.598944,1,0,0,1,0,0,0,0,0
5.621205,1,0,0,0,0,0,0,0,0
5.621439,1,0,1,0,0,0,0,0,0
5.636181,1,0,0,0,0,0,0,0,0
5.636409,1,0,1,0,0,0,0,0,0
5.852956,1,0,1,1,0,0,0,0,0
5.85319,1,0,0,1,0,0,0,0,0
5.875542,1,0,1,0,0,0,0,0,0
5.897738,1,0,1,1,0,0,0,0,0
5.897968,1,0,0,1,0,0,0,0,0
5.91271,1,0,1,1,0,0,0,0,0
5.912938,1,0,0,1,0,0,0,0,0
6.129445,1,0,0,0,0,0,0,0,0
6.129673,1,0,1,0,0,0,0,0,0
6.151857,1,0,1,1,0,0,0,0,0
6.152087,1,0,0,1,0,0,0,0,0
6.174572,1,0,1,0,0,0,0,0,0
6.189304,1,0,0,0,0,0,0,0,0
6.189529,1,0,1,0,0,0,0,0,0
6.406126,1,0,1,1,0,0,0,0,0
6.406354,1,0,0,1,0,0,0,0,0
6.42884,1,0,1,0,0,0,0,0,0
6.451342,1,0,0,1,0,0,0,0,0
6.466002,1,0,1,1,0,0,0,0,0
6.466231,1,0,0,1,0,0,0,0,0
6.682809,1,0,0,0,0,0,0,0,0
6.683041,1,0,1,0,0,0,0,0,0
6.705202,1,0,1,1,0,0,0,0,0
6.705426,1,0,0,1,0,0,0,0,0
6.727599,1,0,0,0,0,0,0,0,0
6.727825,1,0,1,0,0,0,0,0,0
6.742527,1,0,0,0,0,0,0,0,0
6.742758,1,0,1,0,0,0,0,0,0
6.959413,1,0,1,1,0,0,0,0,0
6.959639,1,0,0,1,0,0,0,0,0
6.981892,1,0,0,0,0,0,0,0,0
6.982127,1,0,1,0,0,0,0,0,0
7.004669,1,0,0,1,0,0,0,0,0
7.019322,1,0,1,1,0,0,0,0,0
7.019553,1,0,0,1,0,0,0,0,0
7.235977,1,0,0,0,0,0,0,0,0
7.236206,1,0,1,0,0,0,0,0,0
7.258615,1,0,0,1,0,0,0,0,0
7.280865,1,0,0,0,0,0,0,0,0
7.281098,1,0,1,0,0,0,0,0,0
7.295819,1,0,0,0,0,0,0,0,0
7.296044,1,0,1,0,0,0,0,0,0
7.512575,1,0,1,1,0,0,0,0,0
7.512799,1,0,0,1,0,0,0,0,0
7.53496,1,0,0,0,0,0,0,0,0
7.535187,1,0,1,0,0,0,0,0,0
7.557346,1,0,1,1,0,0,0,0,0
7.557576,1,0,0,1,0,0,0,0,0
7.572508,1,0,0,1,0,0,0,0,0
7.788906,1,0,0,0,0,0,0,0,0
7.789136,1,0,1,0,0,0,0,0,0
7.811307,1,0,1,1,0,0,0,0,0
7.811532,1,0,0,1,0,0,0,0,0
7.833748,1,0,0,0,0,0,0,0,0
7.833975,1,0,1,0,0,0,0,0,0
7.848715,1,0,0,0,0,0,0,0,0
7.848945,1,0,1,0,0,0,0,0,0
8.065126,1,0,1,1,0,0,0,0,0
8.065351,1,0,0,1,0,0,0,0,0
8.087551,1,0,0,0,0,0,0,0,0
8.087774,1,0,1,0,0,0,0,0,0
8.109939,1,0,1,1,0,0,0,0,0
8.110168,1,0,0,1,0,0,0,0,0
8.124865,1,0,1,1,0,0,0,0,0
8.125094,1,0,0,1,0,0,0,0,0
8.342244,1,0,1,0,0,0,0,0,0
8.364587,1,0,0,1,0,0,0,0,0
8.386801,1,0,0,0,0,0,0,0,0
8.387032,1,0,1,0,0,0,0,0,0
8.401723,1,0,0,0,0,0,0,0,0
8.401955,1,0,1,0,0,0,0,0,0
8.618692,1,0,0,1,0,0,0,0,0
8.640886,1,0,0,0,0,0,0,0,0
8.641113,1,0,1,0,0,0,0,0,0
8.663278,1,0,1,1,0,0,0,0,0
8.663509,1,0,0,1,0,0,0,0,0
8.678215,1,0,1,1,0,0,0,0,0
8.678442,1,0,0,1,0,0,0,0,0
8.894859,1,0,0,0,0,0,0,0,0
8.89509,1,0,1,0,0,0,0,0,0
8.917242,1,0,1,1,0,0,0,0,0
8.91747,1,0,0,1,0,0,0,0,0
8.939861,1,0,1,0,0,0,0,0,0
8.954575,1,0,0,0,0,0,0,0,0
8.954807,1,0,1,0,0,0,0,0,0
9.171324,1,0,1,1,0,0,0,0,0
9.171555,1,0,0,1,0,0,0,0,0
9.193756,1,0,0,0,0,0,0,0,0
9.193981,1,0,1,0,0,0,0,0,0
9.216254,1,0,1,1,0,0,0,0,0
9.21648,1,0,0,1,0,0,0,0,0
9.231202,1,0,1,1,0,0,0,0,0
9.231432,1,0,0,1,0,0,0,0,0
9.448128,1,0,0,1,0,0,0,0,0
9.470521,1,0,1,0,0,0,0,0,0
9.492827,1,0,1,1,0,0,0,0,0
9.49306,1,0,0,1,0,0,0,0,0
9.507791,1,0,1,1,0,0,0,0,0
9.508014,1,0,0,1,0,0,0,0,0
9.724454,1,0,0,0,0,0,0,0,0
9.724685,1,0,1,0,0,0,0,0,0
9.747069,1,0,0,1,0,0,0,0,0
9.769333,1,0,0,0,0,0,0,0,0
9.769565,1,0,1,0,0,0,0,0,0
9.784285,1,0,0,0,0,0,0,0,0
9.78451,1,0,1,0,0,0,0,0,0
10.001427,1,0,0,1,0,0,0,0,0
10.023597,1,0,0,0,0,0,0,0,0
10.023827,1,0,1,0,0,0,0,0,0
10.046061,1,0,1,1,0,0,0,0,0
10.046285,1,0,0,1,0,0,0,0,0
10.060995,1,0,1,1,0,0,0,0,0
10.061224,1,0,0,1,0,0,0,0,0
10.278147,1,0,0,0,0,0,0,0,0
10.278379,1,0,1,0,0,0,0,0,0
10.30053,1,0,1,1,0,0,0,0,0
10.300759,1,0,0,1,0,0,0,0,0
10.323112,1,0,1,0,0,0,0,0,0
10.337904,1,0,0,0,0,0,0,0,0
10.338131,1,0,1,0,0,0,0,0,0
10.5546,1,0,1,1,0,0,0,0,0
10.55483,1,0,0,1,0,0,0,0,0
10.576935,1,0,0,0,0,0,0,0,0
10.577164,1,0,1,0,0,0,0,0,0
10.599375,1,0,1,1,0,0,0,0,0
10.599599,1,0,0,1,0,0,0,0,0
10.614312,1,0,1,1,0,0,0,0,0
10.614544,1,0,0,1,0,0,0,0,0
10.831179,1,0,0,0,0,0,0,0,0
10.831407,1,0,1,0,0,0,0,0,0
10.853666,1,0,1,1,0,0,0,0,0
10.853898,1,0,0,1,0,0,0,0,0
10.876246,1,0,1,0,0,0,0,0,0
10.891,1,0,0,0,0,0,0,0,0
10.891231,1,0,1,0,0,0,0,0,0
11.107686,1,0,0,0,0,0,0,0,0
11.107916,1,0,1,0,0,0,0,0,0
11.130385,1,0,0,1,0,0,0,0,0
11.152524,1,0,0,0,0,0,0,0,0
11.152753,1,0,1,0,0,0,0,0,0
11.167469,1,0,0,0,0,0,0,0,0
11.167701,1,0,1,0,0,0,0,0,0
11.38448,1,0,1,1,0,0,0,0,0
11.384706,1,0,0,1,0,0,0,0,0
11.406875,1,0,0,0,0,0,0,0,0
11.407106,1,0,1,0,0,0,0,0,0
11.429484,1,0,0,1,0,0,0,0,0
11.444177,1,0,1,1,0,0,0,0,0
11.444408,1,0,0,1,0,0,0,0,0
11.661212,1,0,1,0,0,0,0,0,0
11.683521,1,0,1,1,0,0,0,0,0
11.683753,1,0,0,1,0,0,0,0,0
11.706124,1,0,1,0,0,0,0,0,0
11.720822,1,0,0,0,0,0,0,0,0
11.721049,1,0,1,0,0,0,0,0,0
11.937592,1,0,1,1,0,0,0,0,0
11.937822,1,0,0,1,0,0,0,0,0
11.959962,1,0,0,0,0,0,0,0,0
11.960189,1,0,1,0,0,0,0,0,0
11.982461,1,0,1,1,0,0,0,0,0
11.982692,1,0,0,1,0,0,0,0,0
11.997406,1,0,1,1,0,0,0,0,0
11.997632,1,0,0,1,0,0,0,0,0
12.214451,1,0,1,0,0,0,0,0,0
12.236925,1,0,0,1,0,0,0,0,0
12.259352,1,0,1,0,0,0,0,0,0
12.274094,1,0,0,0,0,0,0,0,0
12.274322,1,0,1,0,0,0,0,0,0
12.490729,1,0,1,1,0,0,0,0,0
12.490955,1,0,0,1,0,0,0,0,0
12.513358,1,0,1,0,0,0,0,0,0
12.535607,1,0,1,1,0,0,0,0,0
12.535837,1,0,0,1,0,0,0,0,0
12.550766,1,0,0,1,0,0,0,0,0
12.767275,1,0,0,0,0,0,0,0,0
12.767506,1,0,1,0,0,0,0,0,0
12.789839,1,0,1,1,0,0,0,0,0
12.790069,1,0,0,1,0,0,0,0,0
12.812289,1,0,0,0,0,0,0,0,0
12.812522,1,0,1,0,0,0,0,0,0
12.827213,1,0,0,0,0,0,0,0,0
12.827445,1,0,1,0,0,0,0,0,0
13.04431,1,0,0,1,0,0,0,0,0
13.066465,1,0,0,0,0,0,0,0,0
13.066691,1,0,1,0,0,0,0,0,0
