t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.196175,1,0,1,1,0,0,0,0,0
0.196402,1,0,0,1,0,0,0,0,0
0.218601,1,0,0,0,0,0,0,0,0
0.218829,1,0,1,0,0,0,0,0,0
0.301013,1,0,1,1,0,0,0,0,0
0.301245,1,0,0,1,0,0,0,0,0
0.308505,1,0,0,0,0,0,0,0,0
0.308738,1,0,1,0,0,0,0,0,0
0.368241,1,0,0,0,0,0,0,0,0
0.368475,1,0,1,0,0,0,0,0,0
0.442996,1,0,0,0,0,0,0,0,0
0.443225,1,0,1,0,0,0,0,0,0
0.630169,1,0,1,1,0,0,0,0,0
0.630401,1,0,0,1,0,0,0,0,0
0.645158,1,0,1,1,0,0,0,0,0
0.645386,1,0,0,1,0,0,0,0,0
0.76483,1,0,1,1,0,0,0,0,0
0.765057,1,0,0,1,0,0,0,0,0
0.772292,1,0,0,0,0,0,0,0,0
0.772516,1,0,1,0,0,0,0,0,0
0.831972,1,0,0,0,0,0,0,0,0
0.832201,1,0,1,0,0,0,0,0,0
0.91423,1,0,1,1,0,0,0,0,0
0.914456,1,0,0,1,0,0,0,0,0
0.936651,1,0,0,0,0,0,0,0,0
0.936882,1,0,1,0,0,0,0,0,0
1.130835,1,0,0,0,0,0,0,0,0
1.131063,1,0,1,0,0,0,0,0,0
1.257837,1,0,1,1,0,0,0,0,0
1.258065,1,0,0,1,0,0,0,0,0
1.325205,1,0,0,0,0,0,0,0,0
1.325434,1,0,1,0,0,0,0,0,0
1.437017,1,0,1,1,0,0,0,0,0
1.43724,1,0,0,1,0,0,0,0,0
1.466964,1,0,1,1,0,0,0,0,0
1.467191,1,0,0,1,0,0,0,0,0
1.51928,1,0,0,0,0,0,0,0,0
1.519512,1,0,1,0,0,0,0,0,0
1.571615,1,0,1,1,0,0,0,0,0
1.571845,1,0,0,1,0,0,0,0,0
1.594012,1,0,0,0,0,0,0,0,0
1.594245,1,0,1,0,0,0,0,0,0
1.661368,1,0,1,1,0,0,0,0,0
1.661593,1,0,0,1,0,0,0,0,0
1.721237,1,0,1,1,0,0,0,0,0
1.721468,1,0,0,1,0,0,0,0,0
1.892921,1,0,0,0,0,0,0,0,0
1.893146,1,0,1,0,0,0,0,0,0
1.937713,1,0,0,0,0,0,0,0,0
1.937947,1,0,1,0,0,0,0,0,0
1.945198,1,0,1,1,0,0,0,0,0
1.94543,1,0,0,1,0,0,0,0,0
1.960068,1,0,1,1,0,0,0,0,0
1.960288,1,0,0,1,0,0,0,0,0
1.997497,1,0,0,0,0,0,0,0,0
1.997722,1,0,1,0,0,0,0,0,0
2.012499,1,0,0,0,0,0,0,0,0
2.012733,1,0,1,0,0,0,0,0,0
2.057369,1,0,0,0,0,0,0,0,0
2.0576,1,0,1,0,0,0,0,0,0
2.087339,1,0,0,0,0,0,0,0,0
2.087568,1,0,1,0,0,0,0,0,0
2.222208,1,0,0,0,0,0,0,0,0
2.22243,1,0,1,0,0,0,0,0,0
2.296777,1,0,0,0,0,0,0,0,0
2.297008,1,0,1,0,0,0,0,0,0
2.311702,1,0,0,0,0,0,0,0,0
2.311933,1,0,1,0,0,0,0,0,0
2.431262,1,0,0,0,0,0,0,0,0
2.431491,1,0,1,0,0,0,0,0,0
2.535807,1,0,0,0,0,0,0,0,0
2.536034,1,0,1,0,0,0,0,0,0
2.558231,1,0,1,1,0,0,0,0,0
2.558468,1,0,0,1,0,0,0,0,0
2.595541,1,0,0,0,0,0,0,0,0
2.595768,1,0,1,0,0,0,0,0,0
2.602995,1,0,1,1,0,0,0,0,0
2.603226,1,0,0,1,0,0,0,0,0
2.625423,1,0,0,0,0,0,0,0,0
2.62565,1,0,1,0,0,0,0,0,0
2.759969,1,0,0,0,0,0,0,0,0
2.760196,1,0,1,0,0,0,0,0,0
2.857016,1,0,1,1,0,0,0,0,0
2.857247,1,0,0,1,0,0,0,0,0
2.924343,1,0,0,0,0,0,0,0,0
2.924568,1,0,1,0,0,0,0,0,0
2.976645,1,0,1,1,0,0,0,0,0
2.976881,1,0,0,1,0,0,0,0,0
3.141022,1,0,1,1,0,0,0,0,0
3.141251,1,0,0,1,0,0,0,0,0
3.170965,1,0,1,1,0,0,0,0,0
3.171192,1,0,0,1,0,0,0,0,0
3.387716,1,0,0,0,0,0,0,0,0
3.387951,1,0,1,0,0,0,0,0,0
3.417632,1,0,0,0,0,0,0,0,0
3.417861,1,0,1,0,0,0,0,0,0
3.537278,1,0,0,0,0,0,0,0,0
3.537509,1,0,1,0,0,0,0,0,0
3.552198,1,0,0,0,0,0,0,0,0
3.552429,1,0,1,0,0,0,0,0,0
3.582104,1,0,0,0,0,0,0,0,0
3.582332,1,0,1,0,0,0,0,0,0
3.634426,1,0,1,1,0,0,0,0,0
3.634654,1,0,0,1,0,0,0,0,0
3.858851,1,0,1,1,0,0,0,0,0
3.859082,1,0,0,1,0,0,0,0,0
3.881268,1,0,0,0,0,0,0,0,0
3.8815,1,0,1,0,0,0,0,0,0
3.888749,1,0,1,1,0,0,0,0,0
3.888982,1,0,0,1,0,0,0,0,0
3.948606,1,0,1,1,0,0,0,0,0
3.948839,1,0,0,1,0,0,0,0,0
4.068369,1,0,1,1,0,0,0,0,0
4.068602,1,0,0,1,0,0,0,0,0
4.098228,1,0,1,1,0,0,0,0,0
4.098461,1,0,0,1,0,0,0,0,0
4.135636,1,0,0,0,0,0,0,0,0
4.13587,1,0,1,0,0,0,0,0,0
4.173132,1,0,1,1,0,0,0,0,0
4.173361,1,0,0,1,0,0,0,0,0
4.285194,1,0,0,0,0,0,0,0,0
4.28543,1,0,1,0,0,0,0,0,0
4.509372,1,0,0,0,0,0,0,0,0
4.5096,1,0,1,0,0,0,0,0,0
4.561688,1,0,1,1,0,0,0,0,0
4.561916,1,0,0,1,0,0,0,0,0
4.651453,1,0,1,1,0,0,0,0,0
4.651679,1,0,0,1,0,0,0,0,0
4.808427,1,0,0,0,0,0,0,0,0
4.80866,1,0,1,0,0,0,0,0,0
4.883333,1,0,0,0,0,0,0,0,0
4.920689,1,0,1,1,0,0,0,0,0
4.920922,1,0,0,1,0,0,0,0,0
5.025441,1,0,1,1,0,0,0,0,0
5.02567,1,0,0,1,0,0,0,0,0
5.085293,1,0,1,1,0,0,0,0,0
5.085523,1,0,0,1,0,0,0,0,0
5.220011,1,0,1,1,0,0,0,0,0
5.22024,1,0,0,1,0,0,0,0,0
5.249869,1,0,1,1,0,0,0,0,0
5.250099,1,0,0,1,0,0,0,0,0
5.302246,1,0,0,0,0,0,0,0,0
5.302478,1,0,1,0,0,0,0,0,0
5.324631,1,0,1,1,0,0,0,0,0
5.324859,1,0,0,1,0,0,0,0,0
