t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.198557,1,0,0,0,0,0,0,0,0
0.198781,1,0,1,0,0,0,0,0,0
0.475191,1,0,1,1,0,0,0,0,0
0.475423,1,0,0,1,0,0,0,0,0
0.751429,1,0,0,0,0,0,0,0,0
0.751656,1,0,1,0,0,0,0,0,0
1.028122,1,0,1,1,0,0,0,0,0
1.028354,1,0,0,1,0,0,0,0,0
1.304543,1,0,1,0,0,0,0,0,0
1.580873,1,0,0,0,0,0,0,0,0
1.581101,1,0,1,0,0,0,0,0,0
1.857187,1,0,1,1,0,0,0,0,0
1.857414,1,0,0,1,0,0,0,0,0
2.133642,1,0,1,0,0,0,0,0,0
2.409798,1,0,0,0,0,0,0,0,0
2.410028,1,0,1,0,0,0,0,0,0
2.686138,1,0,0,0,0,0,0,0,0
2.686369,1,0,1,0,0,0,0,0,0
2.962168,1,0,1,1,0,0,0,0,0
2.9624,1,0,0,1,0,0,0,0,0
3.238768,1,0,1,0,0,0,0,0,0
3.514991,1,0,1,1,0,0,0,0,0
3.515225,1,0,0,1,0,0,0,0,0
3.791479,1,0,0,0,0,0,0,0,0
3.791702,0,1,1,0,0,0,0,0,10
4.067717,1,0,1,1,0,0,0,0,0
4.067943,1,0,0,1,0,0,0,0,0
4.34408,1,0,0,0,0,0,0,0,0
4.344308,1,0,1,0,0,0,0,0,0
4.62058,1,0,1,1,0,0,0,0,0
4.620811,1,0,0,1,0,0,0,0,0
4.897054,1,0,0,0,0,0,0,0,0
4.897283,1,0,1,0,0,0,0,0,0
5.173622,1,0,0,1,0,0,0,0,0
5.449549,1,0,0,0,0,0,0,0,0
5.449779,1,0,1,0,0,0,0,0,0
5.726401,1,0,0,1,0,0,0,0,0
6.001995,1,0,0,0,0,0,0,0,0
6.00222,1,0,1,0,0,0,0,0,0
6.27851,1,0,1,0,0,0,0,0,0
6.554836,1,0,1,0,0,0,0,0,0
6.830677,1,0,1,1,0,0,0,0,0
6.830907,1,0,0,1,0,0,0,0,0
7.107027,1,0,1,1,0,0,0,0,0
7.107257,1,0,0,1,0,0,0,0,0
7.383218,1,0,1,0,0,0,0,0,0
7.658998,1,0,0,0,0,0,0,0,0
7.659229,1,0,1,0,0,0,0,0,0
7.935512,1,0,1,0,0,0,0,0,0
8.211432,1,0,1,1,0,0,0,0,0
8.211666,1,0,0,1,0,0,0,0,0
8.487656,1,0,1,1,0,0,0,0,0
8.487887,1,0,0,1,0,0,0,0,0
8.763789,1,0,0,1,0,0,0,0,0
9.039833,1,0,0,0,0,0,0,0,0
9.040061,1,0,1,0,0,0,0,0,0
9.316175,1,0,1,0,0,0,0,0,0
9.592133,1,0,0,0,0,0,0,0,0
9.592359,1,0,1,0,0,0,0,0,0
9.868129,1,0,1,1,0,0,0,0,0
9.868359,1,0,0,1,0,0,0,0,0
10.144619,1,0,0,1,0,0,0,0,0
10.42018,1,0,0,0,0,0,0,0,0
10.420407,1,0,1,0,0,0,0,0,0
10.696539,1,0,1,1,0,0,0,0,0
10.696774,1,0,0,1,0,0,0,0,0
10.9733,1,0,0,0,0,0,0,0,0
10.973525,1,0,1,0,0,0,0,0,0
11.249654,1,0,1,1,0,0,0,0,0
11.249882,1,0,0,1,0,0,0,0,0
11.525966,1,0,0,0,0,0,0,0,0
11.526196,1,0,1,0,0,0,0,0,0
11.802336,1,0,1,1,0,0,0,0,0
11.802566,1,0,0,1,0,0,0,0,0
12.078808,1,0,0,1,0,0,0,0,0
12.355004,1,0,0,0,0,0,0,0,0
12.355229,1,0,1,0,0,0,0,0,0
12.63115,1,0,1,1,0,0,0,0,0
12.63138,1,0,0,1,0,0,0,0,0
12.907615,1,0,0,0,0,0,0,0,0
12.907841,1,0,1,0,0,0,0,0,0
13.184101,1,0,0,0,0,0,0,0,0
13.184325,1,0,1,0,0,0,0,0,0
13.460103,1,0,0,0,0,0,0,0,0
13.460336,1,0,1,0,0,0,0,0,0
13.736353,1,0,1,1,0,0,0,0,0
13.736577,1,0,0,1,0,0,0,0,0
14.012432,1,0,0,0,0,0,0,0,0
14.012661,1,0,1,0,0,0,0,0,0
14.288605,1,0,0,0,0,0,0,0,0
14.288837,1,0,1,0,0,0,0,0,0
14.565647,1,0,0,1,0,0,0,0,0
14.841983,1,0,1,0,0,0,0,0,0
15.118212,1,0,0,1,0,0,0,0,0
15.394493,1,0,1,0,0,0,0,0,0
15.670645,1,0,1,0,0,0,0,0,0
15.946699,1,0,1,1,0,0,0,0,0
15.946932,1,0,0,1,0,0,0,0,0
16.223673,1,0,0,1,0,0,0,0,0
16.49994,1,0,0,0,0,0,0,0,0
16.500171,1,0,1,0,0,0,0,0,0
16.776587,1,0,0,1,0,0,0,0,0
17.05257,1,0,0,0,0,0,0,0,0
17.052796,1,0,1,0,0,0,0,0,0
17.32883,1,0,1,1,0,0,0,0,0
17.329065,1,0,0,1,0,0,0,0,0
17.605298,1,0,1,0,0,0,0,0,0
17.881144,1,0,1,1,0,0,0,0,0
17.881368,1,0,0,1,0,0,0,0,0
18.157203,1,0,1,1,0,0,0,0,0
18.157434,1,0,0,1,0,0,0,0,0
18.433231,1,0,0,0,0,0,0,0,0
18.433464,1,0,1,0,0,0,0,0,0
18.709735,1,0,1,0,0,0,0,0,0
18.98576,1,0,1,1,0,0,0,0,0
19.262197,1,0,1,0,0,0,0,0,0
19.53834,1,0,1,1,0,0,0,0,0
19.538569,1,0,0,1,0,0,0,0,0
19.814591,1,0,0,0,0,0,0,0,0
19.814824,1,0,1,0,0,0,0,0,0
20.091126,1,0,1,0,0,0,0,0,0
20.367096,1,0,1,1,0,0,0,0,0
20.367319,1,0,0,1,0,0,0,0,0
20.643096,1,0,0,0,0,0,0,0,0
20.643322,1,0,1,0,0,0,0,0,0
20.919331,1,0,1,1,0,0,0,0,0
20.919564,1,0,0,1,0,0,0,0,0
21.195749,1,0,1,0,0,0,0,0,0
21.472262,1,0,0,1,0,0,0,0,0
21.748108,1,0,0,0,0,0,0,0,0
21.74834,1,0,1,0,0,0,0,0,0
22.024169,1,0,1,1,0,0,0,0,0
22.024397,1,0,0,1,0,0,0,0,0
22.300472,1,0,1,1,0,0,0,0,0
22.300704,1,0,0,1,0,0,0,0,0
22.576853,1,0,1,0,0,0,0,0,0
22.852988,1,0,1,1,0,0,0,0,0
22.853213,1,0,0,1,0,0,0,0,0
23.129657,1,0,1,0,0,0,0,0,0
23.405756,1,0,1,1,0,0,0,0,0
23.405989,1,0,0,1,0,0,0,0,0
23.681817,1,0,0,1,0,0,0,0,0
23.958158,1,0,0,1,0,0,0,0,0
24.233867,1,0,0,0,0,0,0,0,0
24.234095,1,0,1,0,0,0,0,0,0
24.510141,1,0,0,0,0,0,0,0,0
24.510373,1,0,1,0,0,0,0,0,0
24.786075,1,0,1,1,0,0,0,0,0
24.786307,1,0,0,1,0,0,0,0,0
25.062456,1,0,0,0,0,0,0,0,0
25.062686,1,0,1,0,0,0,0,0,0
25.338701,1,0,0,0,0,0,0,0,0
25.33893,1,0,1,0,0,0,0,0,0
25.614936,1,0,0,1,0,0,0,0,0
25.89074,1,0,0,0,0,0,0,0,0
25.890967,1,0,1,0,0,0,0,0,0
26.167459,1,0,1,0,0,0,0,0,0
26.443564,1,0,0,1,0,0,0,0,0
26.719246,1,0,0,0,0,0,0,0,0
26.719476,1,0,1,0,0,0,0,0,0
26.995898,1,0,0,1,0,0,0,0,0
27.27179,1,0,1,0,0,0,0,0,0
27.54782,1,0,1,1,0,0,0,0,0
27.548054,1,0,0,1,0,0,0,0,0
27.823985,1,0,0,0,0,0,0,0,0
27.824216,1,0,1,0,0,0,0,0,0
28.100112,1,0,0,0,0,0,0,0,0
28.100337,1,0,1,0,0,0,0,0,0
28.376504,1,0,0,1,0,0,0,0,0
28.652189,1,0,0,0,0,0,0,0,0
28.652418,1,0,1,0,0,0,0,0,0
28.928409,1,0,1,1,0,0,0,0,0
28.92864,1,0,0,1,0,0,0,0,0
29.204598,1,0,0,0,0,0,0,0,0
29.204828,1,0,1,0,0,0,0,0,0
29.481323,1,0,0,1,0,0,0,0,0
29.757673,1,0,0,0,0,0,0,0,0
29.757908,1,0,1,0,0,0,0,0,0
30.034399,1,0,0,1,0,0,0,0,0
30.310851,1,0,1,0,0,0,0,0,0
30.587022,1,0,1,1,0,0,0,0,0
30.587254,1,0,0,1,0,0,0,0,0
30.863395,1,0,0,0,0,0,0,0,0
30.863629,1,0,1,0,0,0,0,0,0
31.140041,1,0,0,1,0,0,0,0,0
31.416492,1,0,1,0,0,0,0,0,0
31.692976,1,0,1,0,0,0,0,0,0
31.969531,1,0,0,1,0,0,0,0,0
32.245705,1,0,0,0,0,0,0,0,0
32.245934,1,0,1,0,0,0,0,0,0
32.522534,1,0,0,1,0,0,0,0,0
32.798816,1,0,0,0,0,0,0,0,0
32.799048,1,0,1,0,0,0,0,0,0
33.075241,1,0,0,0,0,0,0,0,0
33.075475,1,0,1,0,0,0,0,0,0
33.352011,1,0,0,0,0,0,0,0,0
33.352236,1,0,1,0,0,0,0,0,0
33.628496,1,0,0,0,0,0,0,0,0
33.628722,1,0,1,0,0,0,0,0,0
33.904654,1,0,1,1,0,0,0,0,0
33.904883,1,0,0,1,0,0,0,0,0
34.180863,1,0,0,0,0,0,0,0,0
34.181094,1,0,1,0,0,0,0,0,0
34.457552,1,0,0,1,0,0,0,0,0
34.733921,1,0,0,0,0,0,0,0,0
34.73415,1,0,1,0,0,0,0,0,0
35.010506,1,0,1,1,0,0,0,0,0
35.010736,1,0,0,1,0,0,0,0,0
35.286773,1,0,0,0,0,0,0,0,0
35.287004,1,0,1,0,0,0,0,0,0
35.5636,1,0,0,1,0,0,0,0,0
35.839888,1,0,0,0,0,0,0,0,0
35.840116,1,0,1,0,0,0,0,0,0
36.116455,1,0,0,0,0,0,0,0,0
36.116683,1,0,1,0,0,0,0,0,0
36.392939,1,0,1,1,0,0,0,0,0
36.393167,1,0,0,1,0,0,0,0,0
36.669496,1,0,1,1,0,0,0,0,0
36.669729,1,0,0,1,0,0,0,0,0
36.945744,1,0,1,1,0,0,0,0,0
36.945969,1,0,0,1,0,0,0,0,0
37.22233,1,0,0,1,0,0,0,0,0
37.498389,1,0,0,0,0,0,0,0,0
37.498617,1,0,1,0,0,0,0,0,0
37.774958,1,0,0,0,0,0,0,0,0
37.775188,1,0,1,0,0,0,0,0,0
38.051656,1,0,1,0,0,0,0,0,0
38.327543,1,0,1,1,0,0,0,0,0
38.327772,1,0,0,1,0,0,0,0,0
38.603779,1,0,0,0,0,0,0,0,0
38.604005,1,0,1,0,0,0,0,0,0
38.88014,1,0,1,1,0,0,0,0,0
38.880365,1,0,0,1,0,0,0,0,0
39.156825,1,0,0,0,0,0,0,0,0
39.157055,1,0,1,0,0,0,0,0,0
39.43352,1,0,1,1,0,0,0,0,0
39.433747,1,0,0,1,0,0,0,0,0
39.70993,1,0,0,0,0,0,0,0,0
39.710166,1,0,1,0,0,0,0,0,0
39.986223,1,0,1,1,0,0,0,0,0
39.986451,1,0,0,1,0,0,0,0,0
40.262559,1,0,1,0,0,0,0,0,0
40.53885,1,0,0,0,0,0,0,0,0
40.539082,1,0,1,0,0,0,0,0,0
40.815239,1,0,0,0,0,0,0,0,0
40.815473,1,0,1,0,0,0,0,0,0
41.091967,1,0,0,1,0,0,0,0,0
41.368369,1,0,0,0,0,0,0,0,0
41.368599,1,0,1,0,0,0,0,0,0
41.645017,1,0,0,1,0,0,0,0,0
41.921244,1,0,0,0,0,0,0,0,0
41.921475,1,0,1,0,0,0,0,0,0
42.197591,1,0,1,1,0,0,0,0,0
42.197817,1,0,0,1,0,0,0,0,0
42.47395,1,0,0,0,0,0,0,0,0
42.474178,1,0,1,0,0,1,0,0,0
42.750598,1,0,0,0,0,0,0,0,0
42.750831,1,0,1,0,0,0,0,0,0
43.027251,1,0,0,1,0,0,0,0,0
43.30349,1,0,1,0,0,0,0,0,0
43.579723,1,0,0,1,0,0,0,0,0
43.855755,1,0,0,0,0,0,0,0,0
43.855982,1,0,1,0,0,0,0,0,0
44.132587,1,0,1,0,0,0,0,0,0
44.408785,1,0,1,1,0,0,0,0,0
44.409012,1,0,0,1,0,0,0,0,0
44.685401,1,0,1,0,0,0,0,0,0
44.961545,1,0,1,1,0,0,0,0,0
44.961775,1,0,0,1,0,0,0,0,0
45.237878,1,0,0,0,0,0,0,0,0
45.238111,1,0,1,0,0,0,0,0,0
45.514206,1,0,0,0,0,0,0,0,0
45.514435,1,0,1,0,0,0,0,0,0
45.790526,1,0,1,1,0,0,0,0,0
45.790757,1,0,0,1,0,0,0,0,0
46.066787,1,0,1,1,0,0,0,0,0
46.067013,1,0,0,1,0,0,0,0,0
46.342851,1,0,0,0,0,0,0,0,0
46.343078,1,0,1,0,0,0,0,0,0
46.619017,1,0,1,1,0,0,0,0,0
46.619247,1,0,0,1,0,0,0,0,0
46.895333,1,0,0,0,0,0,0,0,0
46.895558,1,0,1,0,0,0,0,0,0
47.171889,1,0,0,1,0,0,0,0,0
47.44756,1,0,0,0,0,0,0,0,0
47.447792,1,0,1,0,0,0,0,0,0
47.723687,1,0,1,1,0,0,0,0,0
47.723913,1,0,0,1,0,0,0,0,0
47.999675,1,0,1,1,0,0,0,0,0
47.999903,1,0,0,1,0,0,0,0,0
48.276037,1,0,1,0,0,0,0,0,0
48.552102,1,0,0,0,0,0,0,0,0
48.552333,1,0,1,0,0,0,0,0,0
48.828414,1,0,1,1,0,0,0,0,0
48.828642,1,0,0,1,0,0,0,0,0
49.104538,1,0,1,1,0,0,0,0,0
49.104771,1,0,0,1,0,0,0,0,0
49.380703,1,0,1,1,0,0,0,0,0
49.380936,1,0,0,1,0,0,0,0,0
49.65685,1,0,0,0,0,0,0,0,0
49.657072,1,0,1,0,0,0,0,0,0
49.933076,1,0,1,1,0,0,0,0,0
49.933307,1,0,0,1,0,0,0,0,0
50.209427,1,0,1,0,0,0,0,0,0
50.485574,1,0,0,1,0,0,0,0,0
50.761753,1,0,1,0,0,0,0,0,0
51.037724,1,0,1,1,0,0,0,0,0
51.037955,1,0,0,1,0,0,0,0,0
51.313967,1,0,1,0,0,0,0,0,0
51.58999,1,0,1,0,0,0,0,0,0
51.865941,1,0,0,0,0,0,0,0,0
51.866173,1,0,1,0,0,0,0,0,0
52.142224,1,0,1,1,0,0,0,0,0
52.14245,1,0,0,1,0,0,0,0,0
52.418688,1,0,1,0,0,0,0,0,0
52.694707,1,0,1,1,0,0,0,0,0
52.694931,1,0,0,1,0,0,0,0,0
52.971424,1,0,1,0,0,0,0,0,0
53.247502,1,0,1,1,0,0,0,0,0
53.247729,1,0,0,1,0,0,0,0,0
53.523847,1,0,0,0,0,0,0,0,0
53.524075,1,0,1,0,0,0,0,0,0
53.800131,1,0,0,0,0,0,0,0,0
53.800367,1,0,1,0,0,0,0,0,0
54.076315,1,0,1,1,0,0,0,0,0
54.076538,1,0,0,1,0,0,0,0,0
54.35281,1,0,1,0,0,0,0,0,0
54.62916,1,0,0,0,0,0,0,0,0
54.629391,1,0,1,0,0,0,0,0,0
54.905631,1,0,0,0,0,0,0,0,0
54.905862,1,0,1,0,0,0,0,0,0
55.182342,1,0,1,0,0,0,0,0,0
55.458771,1,0,0,1,0,0,0,0,0
55.735667,1,0,0,1,0,0,0,0,0
56.011979,1,0,1,0,0,0,0,0,0
56.288168,1,0,1,1,0,0,0,0,0
56.288394,1,0,0,1,0,0,0,0,0
