t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.025711,1,0,0,1,0,0,0,0,0
0.187392,1,0,1,0,0,0,0,0,0
0.224614,1,0,0,1,0,0,0,0,0
0.64748,1,0,1,1,0,0,0,0,0
0.647703,1,0,0,1,0,0,0,0,0
0.697371,1,0,0,1,0,0,0,0,0
0.921138,1,0,1,1,0,0,0,0,0
0.921366,1,0,0,1,0,0,0,0,0
0.970987,1,0,1,1,0,0,0,0,0
1.244842,1,0,1,1,0,0,0,0,0
1.245068,1,0,0,1,0,0,0,0,0
1.257314,1,0,0,0,0,0,0,0,0
1.307406,1,0,1,0,0,0,0,0,0
1.97885,1,0,0,0,0,0,0,0,0
2.053772,1,0,1,0,0,0,0,0,0
2.128078,1,0,0,0,0,0,0,0,0
2.128309,1,0,1,0,0,0,0,0,0
2.202743,1,0,0,0,0,0,0,0,0
2.202977,1,0,1,0,0,0,0,0,0
2.264924,1,0,1,1,0,0,0,0,0
2.376907,1,0,0,0,0,0,0,0,0
2.377134,1,0,1,0,0,0,0,0,0
2.476537,1,0,0,0,0,0,0,0,0
2.476772,1,0,1,0,0,0,0,0,0
2.986716,1,0,1,1,0,0,0,0,0
2.98695,1,0,0,1,0,0,0,0,0
3.07397,1,0,0,0,0,0,0,0,0
3.074194,1,0,1,0,0,0,0,0,0
3.185921,1,0,1,1,0,0,0,0,0
3.186149,1,0,0,1,0,0,0,0,0
3.28545,1,0,1,1,0,0,0,0,0
3.546822,1,0,0,0,0,0,0,0,0
3.547054,0,1,1,0,0,0,0,0,9
3.633816,1,0,1,1,0,0,0,0,0
3.783211,1,0,1,1,0,0,0,0,0
3.783433,1,0,0,1,0,0,0,0,0
3.94513,1,0,0,0,0,0,0,0,0
3.945363,1,0,1,0,0,0,0,0,0
4.293896,1,0,0,0,0,0,0,0,0
4.294121,1,0,1,0,0,0,0,0,0
4.393352,1,0,0,0,0,0,0,0,0
4.418187,1,0,0,0,0,0,0,0,0
4.443065,1,0,0,0,0,0,0,0,0
4.443295,1,0,1,0,0,0,0,0,0
4.617374,1,0,0,0,0,0,0,0,0
4.667172,1,0,0,0,0,0,0,0,0
4.890903,1,0,0,0,0,0,0,0,0
4.891129,1,0,1,0,0,0,0,0,0
5.040214,1,0,0,0,0,0,0,0,0
5.201916,1,0,1,1,0,0,0,0,0
5.202143,1,0,0,1,0,0,0,0,0
5.488301,1,0,0,0,0,0,0,0,0
5.488528,1,0,1,0,0,0,0,0,0
5.52561,1,0,1,1,0,0,0,0,0
5.525846,1,0,0,1,0,0,0,0,0
5.53831,0,1,1,0,0,0,0,0,9
5.687665,1,0,1,0,0,0,0,0,0
5.749676,1,0,1,1,0,0,0,0,0
5.749904,1,0,0,1,0,0,0,0,0
5.774612,1,0,1,1,0,0,0,0,0
5.774838,1,0,0,1,0,0,0,0,0
5.787045,1,0,0,0,0,0,0,0,0
5.78728,1,0,1,0,0,0,0,0,0
5.924218,1,0,1,1,0,0,0,0,0
5.936886,1,0,1,0,0,0,0,0,0
6.073729,1,0,1,1,0,0,0,0,0
6.08639,1,0,1,0,0,0,0,0,0
6.646443,1,0,1,1,0,0,0,0,0
6.646674,1,0,0,1,0,0,0,0,0
6.833274,1,0,0,0,0,0,0,0,0
6.870521,1,0,1,1,0,0,0,0,0
6.882963,1,0,0,0,0,0,0,0,0
6.883192,1,0,1,0,0,0,0,0,0
7.082023,1,0,0,0,0,0,0,0,0
7.082256,1,0,1,0,0,0,0,0,0
7.405694,1,0,0,0,0,0,0,0,0
7.704352,1,0,1,0,0,0,0,0,0
7.741432,1,0,1,1,0,0,0,0,0
7.741659,1,0,0,1,0,0,0,0,0
7.865904,1,0,1,1,0,0,0,0,0
7.866133,1,0,0,1,0,0,0,0,0
8.11505,1,0,1,1,0,0,0,0,0
8.115275,1,0,0,1,0,0,0,0,0
8.239492,1,0,1,1,0,0,0,0,0
8.239716,1,0,0,1,0,0,0,0,0
8.276883,1,0,0,0,0,0,0,0,0
8.277112,1,0,1,0,0,0,0,0,0
8.289575,1,0,0,1,0,0,0,0,0
8.30176,1,0,0,0,0,0,0,0,0
8.301994,1,0,1,0,0,0,0,0,0
8.401379,1,0,0,0,0,0,0,0,0
8.401603,1,0,1,0,0,0,0,0,0
8.413808,1,0,1,1,0,0,0,0,0
8.414041,1,0,0,1,0,0,0,0,0
8.588061,1,0,1,1,0,0,0,0,0
8.588294,1,0,0,1,0,0,0,0,0
8.675663,1,0,1,0,0,0,0,0,0
8.700415,1,0,0,0,0,0,0,0,0
8.70064,1,0,1,0,0,0,0,0,0
8.713041,1,0,0,1,0,0,0,0,0
8.72527,1,0,0,0,0,0,0,0,0
8.725494,1,0,1,0,0,0,0,0,0
8.862148,1,0,1,1,0,0,0,0,0
8.862378,1,0,0,1,0,0,0,0,0
8.874583,1,0,0,0,0,0,0,0,0
8.899465,1,0,0,0,0,0,0,0,0
8.986826,1,0,0,1,0,0,0,0,0
8.999072,1,0,0,0,0,0,0,0,0
8.9993,1,0,1,0,0,0,0,0,0
9.073689,1,0,0,0,0,0,0,0,0
9.073919,1,0,1,0,0,0,0,0,0
9.210419,1,0,1,1,0,0,0,0,0
9.471956,1,0,1,0,0,0,0,0,0
9.832578,1,0,1,1,0,0,0,0,0
9.832804,1,0,0,1,0,0,0,0,0
9.882308,1,0,1,1,0,0,0,0,0
9.882535,1,0,0,1,0,0,0,0,0
10.193481,1,0,0,0,0,0,0,0,0
10.193715,1,0,1,0,0,0,0,0,0
10.243229,1,0,0,0,0,0,0,0,0
10.392518,1,0,0,0,0,0,0,0,0
10.566793,1,0,0,0,0,0,0,0,0
10.567023,1,0,1,0,0,0,0,0,0
10.678992,1,0,0,1,0,0,0,0,0
10.691123,1,0,0,0,0,0,0,0,0
10.691349,1,0,1,0,0,0,0,0,0
10.715944,1,0,0,0,0,0,0,0,0
10.77809,1,0,1,1,0,0,0,0,0
10.84027,1,0,0,0,0,0,0,0,0
10.840498,1,0,1,0,0,0,0,0,0
11.101831,1,0,1,1,0,0,0,0,0
11.10206,1,0,0,1,0,0,0,0,0
11.587613,1,0,0,0,0,0,0,0,0
11.587846,1,0,1,0,0,0,0,0,0
11.749512,1,0,1,1,0,0,0,0,0
11.749734,1,0,0,1,0,0,0,0,0
11.923722,1,0,1,1,0,0,0,0,0
11.923953,1,0,0,1,0,0,0,0,0
12.023422,1,0,1,1,0,0,0,0,0
12.458989,1,0,0,0,0,0,0,0,0
12.45922,1,0,1,0,0,0,0,0,0
12.633654,1,0,1,0,0,0,0,0,0
12.70803,1,0,0,0,0,0,0,0,0
12.708265,1,0,1,0,0,0,0,0,0
12.820142,1,0,1,1,0,0,0,0,0
12.820368,1,0,0,1,0,0,0,0,0
13.019043,1,0,1,1,0,0,0,0,0
13.01927,1,0,0,1,0,0,0,0,0
13.193229,1,0,1,1,0,0,0,0,0
13.19346,1,0,0,1,0,0,0,0,0
13.34268,1,0,1,1,0,0,0,0,0
13.342908,1,0,0,1,0,0,0,0,0
13.517068,1,0,0,1,0,0,0,0,0
13.716161,1,0,0,1,0,0,0,0,0
13.765802,1,0,1,1,0,0,0,0,0
13.766028,1,0,0,1,0,0,0,0,0
13.865664,1,0,0,1,0,0,0,0,0
13.877922,1,0,0,0,0,0,0,0,0
13.878158,1,0,1,0,0,0,0,0,0
13.903084,1,0,1,0,0,0,0,0,0
13.915309,1,0,1,1,0,0,0,0,0
14.027439,1,0,0,0,0,0,0,0,0
14.027665,1,0,1,0,0,0,0,0,0
14.189253,1,0,1,1,0,0,0,0,0
14.239016,1,0,1,1,0,0,0,0,0
14.239246,1,0,0,1,0,0,0,0,0
14.550483,1,0,0,0,0,0,0,0,0
14.550712,1,0,1,0,0,0,0,0,0
14.56292,1,0,1,1,0,0,0,0,0
14.924104,1,0,0,0,0,0,0,0,0
14.92434,1,0,1,0,0,0,0,0,0
14.936815,1,0,0,1,0,0,0,0,0
14.98634,1,0,1,1,0,0,0,0,0
14.986569,1,0,0,1,0,0,0,0,0
15.123233,1,0,0,0,0,0,0,0,0
15.123456,1,0,1,0,0,0,0,0,0
15.335069,1,0,1,1,0,0,0,0,0
15.335298,1,0,0,1,0,0,0,0,0
15.497024,1,0,0,0,0,0,0,0,0
15.497257,0,1,1,0,0,0,0,0,9
15.584157,1,0,1,1,0,0,0,0,0
15.584386,1,0,0,1,0,0,0,0,0
15.596612,1,0,0,0,0,0,0,0,0
15.683699,1,0,1,1,0,0,0,0,0
15.683927,1,0,0,1,0,0,0,0,0
15.945119,1,0,0,0,0,0,0,0,0
15.945351,1,0,1,0,0,0,0,0,0
16.65525,1,0,1,1,0,0,0,0,0
16.692601,1,0,0,0,0,0,0,0,0
16.842003,1,0,0,0,0,0,0,0,0
16.842234,1,0,1,0,0,0,0,0,0
16.916629,1,0,0,0,0,0,0,0,0
16.953958,1,0,1,1,0,0,0,0,0
17.153208,1,0,1,1,0,0,0,0,0
17.153433,1,0,0,1,0,0,0,0,0
17.165826,1,0,1,0,0,0,0,0,0
17.190574,1,0,0,0,0,0,0,0,0
17.190805,1,0,1,0,0,0,0,0,0
17.265307,1,0,0,0,0,0,0,0,0
17.265539,1,0,1,0,0,0,0,0,0
17.364775,1,0,0,0,0,0,0,0,0
17.427045,1,0,1,1,0,0,0,0,0
17.42728,1,0,0,1,0,0,0,0,0
17.551439,1,0,1,1,0,0,0,0,0
17.551668,1,0,0,1,0,0,0,0,0
17.999873,1,0,1,1,0,0,0,0,0
18.086854,1,0,0,0,0,0,0,0,0
18.087084,1,0,1,0,0,0,0,0,0
18.236068,1,0,0,0,0,0,0,0,0
18.236294,1,0,1,0,0,0,0,0,0
18.273399,1,0,1,1,0,0,0,0,0
18.285862,1,0,0,0,0,0,0,0,0
18.435155,1,0,0,0,0,0,0,0,0
18.435388,1,0,1,0,0,0,0,0,0
18.572025,1,0,1,1,0,0,0,0,0
18.634212,1,0,0,0,0,0,0,0,0
18.634446,1,0,1,0,0,0,0,0,0
18.708822,1,0,0,0,0,0,0,0,0
18.733788,1,0,0,0,0,0,0,0,0
18.734018,1,0,1,0,0,0,0,0,0
18.958043,1,0,1,0,0,0,0,0,0
19.032627,1,0,0,0,0,0,0,0,0
19.331657,1,0,0,0,0,0,0,0,0
19.33189,1,0,1,0,0,0,0,0,0
19.480996,1,0,0,0,0,0,0,0,0
19.48123,0,1,1,0,0,0,0,0,9
19.70546,1,0,1,0,0,0,0,0,0
19.85478,1,0,0,0,0,0,0,0,0
19.855016,1,0,1,0,0,0,0,0,0
19.941976,1,0,1,1,0,0,0,0,0
20.041744,1,0,1,1,0,0,0,0,0
20.041969,1,0,0,1,0,0,0,0,0
20.116489,1,0,1,1,0,0,0,0,0
20.128931,1,0,0,0,0,0,0,0,0
20.303227,1,0,0,0,0,0,0,0,0
20.303456,1,0,1,0,0,0,0,0,0
20.352987,1,0,0,0,0,0,0,0,0
20.464977,1,0,1,1,0,0,0,0,0
20.465208,1,0,0,1,0,0,0,0,0
20.502335,1,0,0,0,0,0,0,0,0
20.502565,1,0,1,0,0,0,0,0,0
20.52734,1,0,0,0,0,0,0,0,0
20.527573,1,0,1,0,0,0,0,0,0
20.577152,1,0,0,0,0,0,0,0,0
20.614552,1,0,1,1,0,0,0,0,0
20.614782,1,0,0,1,0,0,0,0,0
20.676953,1,0,1,0,0,0,0,0,0
20.80139,1,0,0,0,0,0,0,0,0
20.80162,1,0,1,0,0,0,0,0,0
20.876188,1,0,0,0,0,0,0,0,0
20.876411,1,0,1,0,0,0,0,0,0
21.224786,1,0,1,0,0,0,0,0,0
21.374114,1,0,0,0,0,0,0,0,0
21.448649,1,0,0,0,0,0,0,0,0
21.448878,1,0,1,0,0,0,0,0,0
21.485988,1,0,1,1,0,0,0,0,0
21.486216,1,0,0,1,0,0,0,0,0
21.710067,1,0,1,1,0,0,0,0,0
21.735186,1,0,0,1,0,0,0,0,0
21.772256,1,0,0,0,0,0,0,0,0
21.872008,1,0,1,0,0,0,0,0,0
22.071332,1,0,0,0,0,0,0,0,0
22.071559,1,0,1,0,0,0,0,0,0
22.083883,1,0,1,1,0,0,0,0,0
22.084111,1,0,0,1,0,0,0,0,0
22.171158,1,0,0,0,0,0,0,0,0
22.171382,1,0,1,0,0,0,0,0,0
22.20856,1,0,1,1,0,0,0,0,0
22.208782,1,0,0,1,0,0,0,0,0
22.295648,1,0,0,0,0,0,0,0,0
22.520018,1,0,0,0,0,0,0,0,0
22.520246,1,0,1,0,0,0,0,0,0
22.619662,1,0,0,0,0,0,0,0,0
22.856528,1,0,0,1,0,0,0,0,0
23.080118,1,0,1,1,0,0,0,0,0
