t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.323895,1,0,1,1,0,0,0,0,0
0.324126,1,0,0,1,0,0,0,0,0
0.454679,1,0,0,0,0,0,0,0,0
1.033755,1,0,1,1,0,0,0,0,0
1.145801,1,0,1,1,0,0,0,0,0
1.239296,1,0,1,0,0,0,0,0,0
1.612788,1,0,0,0,0,0,0,0,0
1.613019,1,0,1,0,0,0,0,0,0
1.63169,1,0,0,1,0,0,0,0,0
1.650147,1,0,0,0,0,0,0,0,0
1.650375,1,0,1,0,0,0,0,0,0
1.948669,1,0,0,0,0,0,0,0,0
1.948893,1,0,1,0,0,0,0,0,0
2.060981,1,0,1,0,0,0,0,0,0
2.490201,1,0,1,1,0,0,0,0,0
2.490428,1,0,0,1,0,0,0,0,0
2.546285,1,0,0,0,0,0,0,0,0
2.583605,1,0,0,0,0,0,0,0,0
2.583831,1,0,1,0,0,0,0,0,0
2.826378,1,0,0,1,0,0,0,0,0
2.975257,1,0,1,1,0,0,0,0,0
3.162182,1,0,1,1,0,0,0,0,0
3.162408,1,0,0,1,0,0,0,0,0
3.311685,1,0,0,1,0,0,0,0,0
3.647781,1,0,1,1,0,0,0,0,0
3.759849,1,0,1,1,0,0,0,0,0
3.760082,1,0,0,1,0,0,0,0,0
3.909106,1,0,1,1,0,0,0,0,0
3.909337,1,0,0,1,0,0,0,0,0
3.927772,1,0,0,0,0,0,0,0,0
4.133251,1,0,1,1,0,0,0,0,0
4.133476,1,0,0,1,0,0,0,0,0
4.226757,1,0,1,0,0,0,0,0,0
4.319846,1,0,1,1,0,0,0,0,0
4.32007,1,0,0,1,0,0,0,0,0
4.674879,1,0,0,0,0,0,0,0,0
4.675107,1,0,1,0,0,0,0,0,0
4.824408,1,0,1,0,0,0,0,0,0
4.917644,1,0,1,1,0,0,0,0,0
4.917874,1,0,0,1,0,0,0,0,0
5.029789,1,0,0,1,0,0,0,0,0
5.272214,1,0,0,0,0,0,0,0,0
5.272444,1,0,1,0,0,0,0,0,0
5.291087,1,0,0,1,0,0,0,0,0
5.496377,1,0,0,0,0,0,0,0,0
5.496606,1,0,1,0,0,0,0,0,0
5.533695,1,0,0,0,0,0,0,0,0
5.907201,1,0,1,0,0,0,0,0,0
6.056536,1,0,1,0,0,0,0,0,0
6.243255,1,0,1,0,0,0,0,0,0
6.523205,1,0,0,1,0,0,0,0,0
6.597719,1,0,1,1,0,0,0,0,0
6.59795,1,0,0,1,0,0,0,0,0
6.672334,1,0,1,1,0,0,0,0,0
7.008117,1,0,1,1,0,0,0,0,0
7.250581,1,0,0,0,0,0,0,0,0
7.381195,1,0,1,1,0,0,0,0,0
7.381428,1,0,0,1,0,0,0,0,0
7.474409,1,0,0,0,0,0,0,0,0
8.052825,1,0,1,1,0,0,0,0,0
8.053055,1,0,0,1,0,0,0,0,0
8.37045,1,0,1,0,0,0,0,0,0
8.855153,1,0,0,0,0,0,0,0,0
8.855385,1,0,1,0,0,0,0,0,0
8.930213,1,0,1,0,0,0,0,0,0
9.004848,1,0,1,0,0,0,0,0,0
9.023205,1,0,1,1,0,0,0,0,0
9.023436,1,0,0,1,0,0,0,0,0
9.079138,1,0,0,0,0,0,0,0,0
9.097709,1,0,1,1,0,0,0,0,0
9.097939,1,0,0,1,0,0,0,0,0
9.209663,1,0,1,1,0,0,0,0,0
9.209899,1,0,0,1,0,0,0,0,0
9.470991,1,0,0,1,0,0,0,0,0
9.489686,1,0,1,0,0,0,0,0,0
9.862664,1,0,0,0,0,0,0,0,0
9.862897,1,0,1,0,0,0,0,0,0
10.011926,1,0,0,0,0,0,0,0,0
10.124017,1,0,0,0,0,0,0,0,0
10.179961,1,0,1,1,0,0,0,0,0
10.180187,1,0,0,1,0,0,0,0,0
10.347616,1,0,0,0,0,0,0,0,0
10.347844,1,0,1,0,0,0,0,0,0
10.590248,1,0,1,1,0,0,0,0,0
10.59048,1,0,0,1,0,0,0,0,0
10.851973,1,0,1,1,0,0,0,0,0
10.852198,1,0,0,1,0,0,0,0,0
10.945396,1,0,0,0,0,0,0,0,0
10.945629,1,0,1,0,0,0,0,0,0
11.244178,1,0,0,0,0,0,0,0,0
11.244411,1,0,1,0,0,0,0,0,0
11.505573,1,0,0,0,0,0,0,0,0
11.766897,1,0,0,0,0,0,0,0,0
12.140317,1,0,0,0,0,0,0,0,0
12.140546,1,0,1,0,0,0,0,0,0
12.196349,1,0,1,1,0,0,0,0,0
12.196579,1,0,0,1,0,0,0,0,0
12.270982,1,0,1,1,0,0,0,0,0
12.457702,1,0,1,1,0,0,0,0,0
12.457934,1,0,0,1,0,0,0,0,0
12.495092,1,0,1,1,0,0,0,0,0
12.887225,1,0,0,0,0,0,0,0,0
12.999195,1,0,0,0,0,0,0,0,0
12.999426,1,0,1,0,0,0,0,0,0
13.167414,1,0,1,1,0,0,0,0,0
13.167648,1,0,0,1,0,0,0,0,0
13.37263,1,0,0,0,0,0,0,0,0
13.37286,1,0,1,0,0,0,0,0,0
13.671477,1,0,1,0,0,0,0,0,0
13.95113,1,0,0,1,0,0,0,0,0
14.007241,1,0,1,0,0,0,0,0,0
14.137647,1,0,1,1,0,0,0,0,0
14.30554,1,0,0,0,0,0,0,0,0
14.436465,1,0,1,1,0,0,0,0,0
14.43669,1,0,0,1,0,0,0,0,0
14.51132,1,0,1,1,0,0,0,0,0
14.642149,1,0,0,0,0,0,0,0,0
14.642376,1,0,1,0,0,0,0,0,0
14.735577,1,0,1,1,0,0,0,0,0
14.735808,1,0,0,1,0,0,0,0,0
14.978404,1,0,1,0,0,0,0,0,0
15.05301,1,0,1,0,0,0,0,0,0
15.426211,1,0,0,0,0,0,0,0,0
15.761929,1,0,0,0,0,0,0,0,0
15.762158,1,0,1,0,0,0,0,0,0
15.930011,1,0,1,1,0,0,0,0,0
15.930239,1,0,0,1,0,0,0,0,0
16.023589,1,0,0,0,0,0,0,0,0
16.098358,1,0,0,0,0,0,0,0,0
16.09859,1,0,1,0,0,0,0,0,0
16.322632,1,0,0,0,0,0,0,0,0
16.322862,1,0,1,0,0,0,0,0,0
16.71493,1,0,0,0,0,0,0,0,0
16.71516,1,0,1,0,0,0,0,0,0
16.827187,1,0,1,0,0,0,0,0,0
17.106836,1,0,1,1,0,0,0,0,0
17.107069,1,0,0,1,0,0,0,0,0
17.293647,1,0,0,1,0,0,0,0,0
17.405444,1,0,1,1,0,0,0,0,0
17.405676,1,0,0,1,0,0,0,0,0
17.424349,1,0,1,0,0,0,0,0,0
17.46165,1,0,1,0,0,0,0,0,0
17.610854,1,0,0,0,0,0,0,0,0
17.611086,1,0,1,0,0,0,0,0,0
17.629414,1,0,1,1,0,0,0,0,0
17.629647,1,0,0,1,0,0,0,0,0
17.648027,1,0,0,0,0,0,0,0,0
17.648249,1,0,1,0,0,0,0,0,0
17.778792,1,0,1,1,0,0,0,0,0
17.779019,1,0,0,1,0,0,0,0,0
17.87199,1,0,0,0,0,0,0,0,0
17.872218,1,0,1,0,0,0,0,0,0
18.394145,1,0,0,0,0,0,0,0,0
18.394374,1,0,1,0,0,0,0,0,0
18.879665,1,0,0,0,0,0,0,0,0
19.06629,1,0,0,0,0,0,0,0,0
19.066524,1,0,1,0,0,0,0,0,0
19.290207,1,0,0,0,0,0,0,0,0
19.290438,1,0,1,0,0,0,0,0,0
19.327537,1,0,0,0,0,0,0,0,0
19.32777,1,0,1,0,0,0,0,0,0
19.364962,1,0,0,0,0,0,0,0,0
19.365191,1,0,1,0,0,0,0,0,0
20.055677,1,0,1,1,0,0,0,0,0
20.298363,1,0,0,0,0,0,0,0,0
20.298591,1,0,1,0,0,0,0,0,0
21.847258,1,0,1,1,0,0,0,0,0
21.847487,1,0,0,1,0,0,0,0,0
21.996491,1,0,1,1,0,0,0,0,0
21.996715,1,0,0,1,0,0,0,0,0
22.015047,1,0,0,0,0,0,0,0,0
22.220403,1,0,1,1,0,0,0,0,0
22.220625,1,0,0,1,0,0,0,0,0
22.257794,1,0,1,1,0,0,0,0,0
22.258025,1,0,0,1,0,0,0,0,0
22.649716,1,0,0,0,0,0,0,0,0
22.705741,1,0,1,1,0,0,0,0,0
22.705967,1,0,0,1,0,0,0,0,0
22.761744,1,0,0,0,0,0,0,0,0
22.761971,1,0,1,0,0,0,0,0,0
22.94877,1,0,1,0,0,0,0,0,0
23.060656,1,0,1,0,0,0,0,0,0
23.116601,1,0,1,1,0,0,0,0,0
23.116826,0,1,0,1,0,0,0,0,9
23.32194,1,0,0,0,0,0,0,0,0
23.54574,1,0,0,0,0,0,0,0,0
23.545971,1,0,1,0,0,0,0,0,0
23.564326,1,0,1,1,0,0,0,0,0
23.564553,1,0,0,1,0,0,0,0,0
23.750949,1,0,1,1,0,0,0,0,0
23.751182,1,0,0,1,0,0,0,0,0
24.012226,1,0,1,1,0,0,0,0,0
24.012451,1,0,0,1,0,0,0,0,0
24.124185,1,0,0,1,0,0,0,0,0
24.180178,1,0,1,0,0,0,0,0,0
