t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.015877,1,0,0,1,0,0,0,0,0
0.441842,0,1,0,1,0,0,0,0,9
0.546378,1,0,0,1,0,0,0,0,0
0.658116,1,0,0,0,0,0,0,0,0
0.658343,1,0,1,0,0,0,0,0,0
0.747701,1,0,1,1,0,0,0,0,0
0.747935,1,0,0,1,0,0,0,0,0
0.852453,1,0,1,1,0,0,0,0,0
0.852681,1,0,0,1,0,0,0,0,0
1.069238,1,0,0,0,0,0,0,0,0
1.494959,1,0,0,0,0,0,0,0,0
1.539726,1,0,0,0,0,0,0,0,0
1.913237,1,0,1,1,0,0,0,0,0
1.913462,1,0,0,1,0,0,0,0,0
1.920669,1,0,0,0,0,0,0,0,0
1.920906,1,0,1,0,0,0,0,0,0
2.13744,1,0,1,0,0,0,0,0,0
3.01076,1,0,1,1,0,0,0,0,0
3.197787,1,0,1,0,0,0,0,0,0
3.212488,1,0,0,0,0,0,0,0,0
4.497192,1,0,0,0,0,0,0,0,0
4.497418,1,0,1,0,0,0,0,0,0
4.579611,1,0,1,1,0,0,0,0,0
4.579837,1,0,0,1,0,0,0,0,0
4.587038,1,0,0,0,0,0,0,0,0
4.587268,1,0,1,0,0,0,0,0,0
4.699358,1,0,0,1,0,0,0,0,0
4.855957,1,0,0,0,0,0,0,0,0
4.856187,1,0,1,0,0,0,0,0,0
5.117305,1,0,0,0,0,0,0,0,0
5.117538,1,0,1,0,0,0,0,0,0
5.640516,1,0,0,1,0,0,0,0,0
5.670165,1,0,1,1,0,0,0,0,0
5.670395,1,0,0,1,0,0,0,0,0
5.990905,1,0,0,0,0,0,0,0,0
5.991132,1,0,1,0,0,0,0,0,0
6.095517,1,0,1,1,0,0,0,0,0
6.192562,1,0,0,0,0,0,0,0,0
6.19279,1,0,1,0,0,0,0,0,0
6.334322,1,0,0,0,0,0,0,0,0
6.33455,1,0,1,0,0,0,0,0,0
6.976308,1,0,0,0,0,0,0,0,0
7.088637,1,0,0,1,0,0,0,0,0
7.461565,1,0,0,1,0,0,0,0,0
7.632987,1,0,0,0,0,0,0,0,0
7.633218,1,0,1,0,0,0,0,0,0
7.730217,1,0,0,1,0,0,0,0,0
7.969085,1,0,0,1,0,0,0,0,0
8.18537,1,0,1,1,0,0,0,0,0
8.290038,1,0,1,1,0,0,0,0,0
8.290265,1,0,0,1,0,0,0,0,0
8.737578,1,0,1,1,0,0,0,0,0
8.737808,1,0,0,1,0,0,0,0,0
