t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.034206,1,0,0,0,0,0,0,0,189
0.034435,1,0,1,0,0,0,0,0,189
0.084213,1,0,0,0,0,0,0,0,189
0.084443,1,0,1,0,0,0,0,0,189
0.284174,1,0,0,0,0,0,0,0,189
0.284405,1,0,1,0,0,0,0,0,189
0.634137,1,0,0,0,0,0,0,0,189
0.634367,1,0,1,0,0,0,0,0,189
0.746596,1,0,1,1,0,0,0,0,189
0.871553,1,0,1,1,0,0,0,0,189
0.871782,1,0,0,1,0,0,0,0,189
0.89678,1,0,0,1,0,0,0,0,189
0.909043,1,0,0,0,0,0,0,0,189
0.909271,1,0,1,0,0,0,0,0,189
0.959025,1,0,0,0,0,0,0,0,189
0.959254,1,0,1,0,0,0,0,0,189
1.059026,1,0,0,0,0,0,0,0,189
1.059257,1,0,1,0,0,0,0,0,189
1.171522,1,0,1,1,0,0,0,0,189
1.171751,1,0,0,1,0,0,0,0,189
1.209017,1,0,0,0,0,0,0,0,189
1.209247,1,0,1,0,0,0,0,0,189
1.658899,1,0,0,0,0,0,0,0,189
1.659129,1,0,1,0,0,0,0,0,189
1.708889,1,0,0,0,0,0,0,0,189
1.709119,1,0,1,0,0,0,0,0,189
1.733899,1,0,0,0,0,0,0,0,189
1.734129,1,0,1,0,0,0,0,0,189
1.871408,1,0,1,1,0,0,0,0,189
1.871638,1,0,0,1,0,0,0,0,189
1.908906,1,0,0,0,0,0,0,0,189
1.909136,1,0,1,0,0,0,0,0,189
2.171351,1,0,1,1,0,0,0,0,189
2.17158,1,0,0,1,0,0,0,0,189
2.183845,1,0,0,0,0,0,0,0,189
2.184074,1,0,1,0,0,0,0,0,189
2.321328,1,0,1,1,0,0,0,0,189
2.321558,1,0,0,1,0,0,0,0,189
2.408812,1,0,0,0,0,0,0,0,189
2.409042,1,0,1,0,0,0,0,0,189
2.433812,1,0,0,0,0,0,0,0,189
2.434042,1,0,1,0,0,0,0,0,189
2.708732,1,0,0,0,0,0,0,0,189
2.708961,1,0,1,0,0,0,0,0,189
2.896221,1,0,1,1,0,0,0,0,189
2.89645,1,0,0,1,0,0,0,0,189
3.221136,1,0,1,1,0,0,0,0,189
3.221367,1,0,0,1,0,0,0,0,189
3.258629,1,0,0,0,0,0,0,0,189
3.258859,1,0,1,0,0,0,0,0,189
3.471052,1,0,1,1,0,0,0,0,189
3.471282,1,0,0,1,0,0,0,0,189
3.621009,1,0,1,1,0,0,0,0,189
3.62124,1,0,0,1,0,0,0,0,189
3.658503,1,0,0,0,0,0,0,0,189
3.658733,1,0,1,0,0,0,0,0,189
3.783498,1,0,0,0,0,0,0,0,189
3.783728,1,0,1,0,0,0,0,0,189
3.820986,1,0,1,1,0,0,0,0,189
3.821216,1,0,0,1,0,0,0,0,189
3.90846,1,0,0,0,0,0,0,0,189
3.90869,1,0,1,0,0,0,0,0,189
3.995934,1,0,1,1,0,0,0,0,189
3.996163,1,0,0,1,0,0,0,0,189
4.00843,1,0,0,0,0,0,0,0,189
4.008659,1,0,1,0,0,0,0,0,189
4.133395,1,0,0,0,0,0,0,0,189
4.133624,1,0,1,0,0,0,0,0,189
4.495819,1,0,1,1,0,0,0,0,189
4.496049,1,0,0,1,0,0,0,0,189
4.545795,1,0,1,1,0,0,0,0,189
4.546025,1,0,0,1,0,0,0,0,189
4.645791,1,0,1,1,0,0,0,0,189
4.646021,1,0,0,1,0,0,0,0,189
4.720768,1,0,1,1,0,0,0,0,189
4.720998,1,0,0,1,0,0,0,0,189
4.870722,1,0,1,1,0,0,0,0,189
4.870952,1,0,0,1,0,0,0,0,189
