t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.20515,1,0,1,1,0,0,0,0,189
0.20538,1,0,0,1,0,0,0,0,189
0.898737,1,0,1,1,0,0,0,0,189
0.898967,1,0,0,1,0,0,0,0,189
1.592346,1,0,0,0,0,0,0,0,189
2.286014,1,0,1,1,0,0,0,0,189
2.286244,1,0,0,1,0,0,0,0,189
2.979625,1,0,1,1,0,0,0,0,189
2.979855,1,0,0,1,0,0,0,0,189
3.673182,1,0,0,0,0,0,0,0,189
4.366792,1,0,1,1,0,0,0,0,189
4.367022,1,0,0,1,0,0,0,0,189
5.060343,1,0,0,0,0,0,0,0,189
5.060573,1,0,1,0,0,0,0,0,189
5.753932,1,0,1,1,0,0,0,0,189
5.754162,1,0,0,1,0,0,0,0,189
6.447585,1,0,1,1,0,0,0,0,189
7.141418,0,1,1,0,0,0,0,0,175
7.834798,1,0,0,0,0,0,0,0,189
7.835029,1,0,1,0,0,0,0,0,189
8.528454,1,0,0,0,0,0,0,0,189
8.528683,1,0,1,0,0,0,0,0,189
9.222103,1,0,1,1,0,0,0,0,189
9.222332,1,0,0,1,0,0,0,0,189
9.915697,1,0,0,0,0,0,0,0,189
9.915927,1,0,1,0,0,0,0,0,189
10.609376,1,0,1,1,0,0,0,0,189
10.609606,1,0,0,1,0,0,0,0,189
11.302962,1,0,1,1,0,0,0,0,189
11.303193,1,0,0,1,0,0,0,0,189
11.996563,1,0,0,0,0,0,0,0,189
11.996793,1,0,1,0,0,0,0,0,189
12.69026,1,0,0,0,0,0,0,0,189
12.69049,1,0,1,0,0,0,0,0,189
13.383823,1,0,1,1,0,0,0,0,189
13.384053,1,0,0,1,0,0,0,0,189
14.077371,1,0,1,1,0,0,0,0,189
14.077601,1,0,0,1,0,0,0,0,189
14.771216,1,0,1,0,0,0,0,0,189
15.464619,1,0,1,1,0,0,0,0,189
15.464849,1,0,0,1,0,0,0,0,189
16.158182,1,0,0,0,0,0,0,0,189
16.158412,1,0,1,0,0,0,0,0,189
16.851796,1,0,0,0,0,0,0,0,189
16.852026,1,0,1,0,0,0,0,0,189
17.545405,1,0,0,0,0,0,0,0,189
17.545635,1,0,1,0,0,0,0,0,189
18.23902,1,0,1,1,0,0,0,0,189
18.23925,1,0,0,1,0,0,0,0,189
18.932626,1,0,1,1,0,0,0,0,189
18.932856,1,0,0,1,0,0,0,0,189
19.626309,1,0,1,1,0,0,0,0,189
19.626538,1,0,0,1,0,0,0,0,189
21.013515,1,0,1,1,0,0,0,0,189
21.013745,1,0,0,1,0,0,0,0,189
21.707344,1,0,1,0,0,0,0,0,189
22.400679,1,0,1,1,0,0,0,0,189
22.400909,1,0,0,1,0,0,0,0,189
23.094275,1,0,1,1,0,0,0,0,189
23.094506,1,0,0,1,0,0,0,0,189
23.787907,1,0,1,1,0,0,0,0,189
24.481535,1,0,1,1,0,0,0,0,189
24.481764,1,0,0,1,0,0,0,0,189
25.175148,1,0,0,0,0,0,0,0,189
25.175378,1,0,1,0,0,0,0,0,189
25.868688,1,0,0,0,0,0,0,0,189
25.868918,1,0,1,0,0,0,0,0,189
26.562263,1,0,1,1,0,0,0,0,189
26.562493,1,0,0,1,0,0,0,0,189
27.255881,1,0,1,1,0,0,0,0,189
27.25611,1,0,0,1,0,0,0,0,189
27.949573,1,0,1,1,0,0,0,0,189
27.949802,1,0,0,1,0,0,0,0,189
28.643233,1,0,0,0,0,0,0,0,189
28.643463,1,0,1,0,0,0,0,0,189
29.336888,1,0,0,0,0,0,0,0,189
29.337118,1,0,1,0,0,0,0,0,189
30.030474,1,0,0,0,0,0,0,0,189
30.724107,1,0,1,1,0,0,0,0,189
30.724338,1,0,0,1,0,0,0,0,189
31.417652,1,0,1,1,0,0,0,0,189
32.111317,1,0,0,0,0,0,0,0,189
32.804959,1,0,0,0,0,0,0,0,189
32.80519,1,0,1,0,0,0,0,0,189
33.498569,1,0,1,1,0,0,0,0,189
33.498799,1,0,0,1,0,0,0,0,189
34.192415,1,0,0,1,0,0,0,0,189
34.885832,1,0,1,1,0,0,0,0,189
34.886062,1,0,0,1,0,0,0,0,189
35.579505,1,0,1,1,0,0,0,0,189
35.579735,1,0,0,1,0,0,0,0,189
36.273091,1,0,1,1,0,0,0,0,189
36.966613,1,0,1,1,0,0,0,0,189
36.966843,1,0,0,1,0,0,0,0,189
37.660214,1,0,0,0,0,0,0,0,189
37.660444,1,0,1,0,0,0,0,0,189
38.353883,1,0,1,1,0,0,0,0,189
38.354113,1,0,0,1,0,0,0,0,189
39.04755,1,0,1,1,0,0,0,0,189
39.741229,1,0,1,1,0,0,0,0,189
39.74146,1,0,0,1,0,0,0,0,189
40.434854,1,0,1,1,0,0,0,0,189
40.435083,1,0,0,1,0,0,0,0,189
41.128466,1,0,1,1,0,0,0,0,189
41.128695,1,0,0,1,0,0,0,0,189
41.822055,1,0,0,0,0,0,0,0,189
42.515669,1,0,1,1,0,0,0,0,189
42.515899,1,0,0,1,0,0,0,0,189
43.209295,1,0,1,1,0,0,0,0,189
43.902947,1,0,0,0,0,0,0,0,189
43.903176,1,0,1,0,0,0,0,0,189
44.596549,1,0,1,1,0,0,0,0,189
44.596779,1,0,0,1,0,0,0,0,189
45.290434,1,0,0,1,0,0,0,0,189
45.983853,1,0,1,1,0,0,0,0,189
45.984084,1,0,0,1,0,0,0,0,189
46.677445,1,0,0,0,0,0,0,0,189
47.371109,1,0,1,1,0,0,0,0,189
47.371339,1,0,0,1,0,0,0,0,189
48.064773,1,0,0,0,0,0,0,0,189
48.065003,1,0,1,0,0,0,0,0,189
48.758392,1,0,0,0,0,0,0,0,189
48.758622,1,0,1,0,0,0,0,0,189
49.451975,1,0,1,1,0,0,0,0,189
49.452205,1,0,0,1,0,0,0,0,189
50.145573,1,0,1,1,0,0,0,0,189
50.145803,0,1,0,1,0,0,0,0,180
50.839182,1,0,0,0,0,0,0,0,189
50.839412,1,0,1,0,0,0,0,0,189
51.532774,1,0,0,0,0,0,0,0,189
52.226513,1,0,1,1,0,0,0,0,189
52.226743,1,0,0,1,0,0,0,0,189
52.920124,1,0,0,0,0,0,0,0,189
52.920354,1,0,1,0,0,0,0,0,189
53.613758,1,0,1,1,0,0,0,0,189
53.613988,1,0,0,1,0,0,0,0,189
54.307378,1,0,0,0,0,0,0,0,189
54.307608,1,0,1,0,0,0,0,0,189
55.000932,1,0,1,1,0,0,0,0,189
55.001162,1,0,0,1,0,0,0,0,189
55.694552,1,0,0,0,0,0,0,0,189
55.694783,1,0,1,0,0,0,0,0,189
56.388111,1,0,0,0,0,0,0,0,189
56.388341,1,0,1,0,0,0,0,0,189
57.081731,1,0,0,0,0,0,0,0,189
57.08196,1,0,1,0,0,0,0,0,189
57.775325,1,0,1,1,0,0,0,0,189
57.775555,1,0,0,1,0,0,0,0,189
58.468947,1,0,0,0,0,0,0,0,189
58.469178,1,0,1,0,0,0,0,0,189
59.162634,1,0,0,0,0,0,0,0,189
59.162863,1,0,1,0,0,0,0,0,189
59.856242,1,0,1,1,0,0,0,0,189
59.856471,1,0,0,1,0,0,0,0,189
60.549865,1,0,0,0,0,0,0,0,189
60.550095,1,0,1,0,0,0,0,0,189
61.243402,1,0,0,0,0,0,0,0,189
61.243633,1,0,1,0,0,0,0,0,189
61.937082,1,0,0,0,0,0,0,0,189
62.630661,1,0,0,0,0,0,0,0,189
62.63089,1,0,1,0,0,0,0,0,189
63.324268,1,0,0,0,0,0,0,0,189
64.017856,1,0,0,0,0,0,0,0,189
64.018086,1,0,1,0,0,0,0,0,189
64.711411,1,0,1,1,0,0,0,0,189
64.711641,1,0,0,1,0,0,0,0,189
65.404956,1,0,1,1,0,0,0,0,189
65.405185,1,0,0,1,0,0,0,0,189
66.098599,1,0,1,1,0,0,0,0,189
66.09883,1,0,0,1,0,0,0,0,189
66.792234,1,0,0,0,0,0,0,0,189
67.485865,1,0,0,0,0,0,0,0,189
67.486096,1,0,1,0,0,0,0,0,189
68.179524,1,0,0,0,0,0,0,0,189
68.179755,1,0,1,0,0,0,0,0,189
68.873148,1,0,1,1,0,0,0,0,189
68.873378,1,0,0,1,0,0,0,0,189
69.566757,1,0,0,0,0,0,0,0,189
69.566986,1,0,1,0,0,0,0,0,189
70.260425,1,0,1,1,0,0,0,0,189
70.954321,1,0,0,1,0,0,0,0,189
71.647726,1,0,0,0,0,0,0,0,189
71.647956,1,0,1,0,0,0,0,0,189
72.341346,1,0,1,1,0,0,0,0,189
72.341577,1,0,0,1,0,0,0,0,189
73.035019,1,0,1,1,0,0,0,0,189
73.03525,1,0,0,1,0,0,0,0,189
73.728653,1,0,1,1,0,0,0,0,189
73.728883,1,0,0,1,0,0,0,0,189
74.422268,1,0,0,0,0,0,0,0,189
74.422497,1,0,1,0,0,0,0,0,189
75.115845,1,0,1,1,0,0,0,0,189
75.116075,1,0,0,1,0,0,0,0,189
75.809767,1,0,1,0,0,0,0,0,189
76.503153,1,0,1,1,0,0,0,0,189
76.503384,1,0,0,1,0,0,0,0,189
77.19673,1,0,0,0,0,0,0,0,189
77.19696,1,0,1,0,0,0,0,0,189
77.890402,1,0,0,0,0,0,0,0,189
78.583986,1,0,0,0,0,0,0,0,189
78.584215,1,0,1,0,0,0,0,0,189
79.277553,1,0,1,1,0,0,0,0,189
79.277783,1,0,0,1,0,0,0,0,189
79.971186,1,0,0,0,0,0,0,0,189
79.971416,1,0,1,0,0,0,0,0,189
80.66482,1,0,0,0,0,0,0,0,189
80.665049,1,0,1,0,0,0,0,0,189
82.052013,1,0,0,0,0,0,0,0,189
82.052243,1,0,1,0,0,0,0,0,189
82.745735,1,0,0,0,0,0,0,0,189
82.745965,1,0,1,0,0,0,0,0,189
83.439406,1,0,0,0,0,0,0,0,189
84.133051,1,0,0,0,0,0,0,0,189
84.133282,0,1,1,0,0,0,0,0,178
84.826723,1,0,1,1,0,0,0,0,189
84.826953,1,0,0,1,0,0,0,0,189
85.520372,1,0,1,1,0,0,0,0,189
85.520602,1,0,0,1,0,0,0,0,189
86.213973,1,0,0,0,0,0,0,0,189
86.214203,1,0,1,0,0,0,0,0,189
86.907594,1,0,0,0,0,0,0,0,189
86.907824,1,0,1,0,0,0,0,0,189
87.601204,1,0,1,1,0,0,0,0,189
87.601434,1,0,0,1,0,0,0,0,189
88.294813,1,0,1,1,0,0,0,0,189
88.295043,1,0,0,1,0,0,0,0,189
88.988413,1,0,1,1,0,0,0,0,189
88.988644,1,0,0,1,0,0,0,0,189
89.682024,1,0,0,0,0,0,0,0,189
89.682254,1,0,1,0,0,0,0,0,189
90.375658,1,0,0,0,0,0,0,0,189
90.375887,1,0,1,0,0,0,0,0,189
91.069246,1,0,1,1,0,0,0,0,189
91.069477,1,0,0,1,0,0,0,0,189
91.762876,1,0,1,1,0,0,0,0,189
93.150192,1,0,1,1,0,0,0,0,189
93.150422,0,1,0,1,0,0,0,0,178
93.84383,1,0,0,0,0,0,0,0,189
93.844061,1,0,1,0,0,0,0,0,189
94.537512,1,0,1,1,0,0,0,0,189
94.537743,1,0,0,1,0,0,0,0,189
95.23108,1,0,1,1,0,0,0,0,189
95.23131,1,0,0,1,0,0,0,0,189
95.924694,1,0,1,1,0,0,0,0,189
95.924924,1,0,0,1,0,0,0,0,189
96.618347,1,0,0,0,0,0,0,0,189
96.618576,1,0,1,0,0,0,0,0,189
97.311997,1,0,0,0,0,0,0,0,189
97.312227,1,0,1,0,0,0,0,0,189
98.005621,1,0,0,0,0,0,0,0,189
98.005851,1,0,1,0,0,0,0,0,189
98.699304,1,0,0,0,0,0,0,0,189
98.699534,1,0,1,0,0,0,0,0,189
99.392954,1,0,1,1,0,0,0,0,189
99.393184,1,0,0,1,0,0,0,0,189
100.0866,1,0,0,0,0,0,0,0,189
100.08683,1,0,1,0,0,0,0,0,189
100.780227,1,0,0,0,0,0,0,0,189
100.780457,1,0,1,0,0,0,0,0,189
101.473836,1,0,1,1,0,0,0,0,189
101.474066,1,0,0,1,0,0,0,0,189
102.167625,1,0,0,1,0,0,0,0,189
102.861277,1,0,1,0,0,0,0,0,189
103.554681,1,0,0,0,0,0,0,0,189
103.55491,1,0,1,0,0,0,0,0,189
104.248321,1,0,1,1,0,0,0,0,189
104.248551,1,0,0,1,0,0,0,0,189
104.941924,1,0,1,1,0,0,0,0,189
104.942154,1,0,0,1,0,0,0,0,189
105.635529,1,0,0,0,0,0,0,0,189
105.635759,1,0,1,0,0,0,0,0,189
106.329155,1,0,0,0,0,0,0,0,189
107.02272,1,0,0,0,0,0,0,0,189
107.02295,1,0,1,0,0,0,0,0,189
107.716381,1,0,0,0,0,0,0,0,189
107.716611,1,0,1,0,0,0,0,0,189
108.409996,1,0,1,1,0,0,0,0,189
108.410226,1,0,0,1,0,0,0,0,189
109.103625,1,0,0,0,0,0,0,0,189
109.103854,1,0,1,0,0,0,0,0,189
109.797216,1,0,1,1,0,0,0,0,189
109.797446,1,0,0,1,0,0,0,0,189
110.491009,1,0,0,1,0,0,0,0,189
111.184483,1,0,1,1,0,0,0,0,189
111.184712,1,0,0,1,0,0,0,0,189
111.878068,1,0,0,0,0,0,0,0,189
111.878298,1,0,1,0,0,0,0,0,189
112.571618,1,0,1,1,0,0,0,0,189
112.571848,1,0,0,1,0,0,0,0,189
113.265208,1,0,0,0,0,0,0,0,189
113.265438,1,0,1,0,0,0,0,0,189
113.958798,1,0,0,0,0,0,0,0,189
113.959028,1,0,1,0,0,0,0,0,189
114.652466,1,0,1,1,0,0,0,0,189
114.652696,1,0,0,1,0,0,0,0,189
115.346279,1,0,1,0,0,0,0,0,189
116.039726,1,0,1,1,0,0,0,0,189
116.039956,1,0,0,1,0,0,0,0,189
116.733333,1,0,1,1,0,0,0,0,189
116.733562,1,0,0,1,0,0,0,0,189
117.426919,1,0,0,0,0,0,0,0,189
117.427149,1,0,1,0,0,0,0,0,189
118.120522,1,0,1,1,0,0,0,0,189
118.120752,0,1,0,1,0,0,0,0,172
118.81418,1,0,1,1,0,0,0,0,189
118.814409,1,0,0,1,0,0,0,0,189
119.507775,1,0,1,1,0,0,0,0,189
120.201337,1,0,0,0,0,0,0,0,189
120.894978,1,0,1,1,0,0,0,0,189
120.895208,1,0,0,1,0,0,0,0,189
121.588558,1,0,1,1,0,0,0,0,189
121.588788,1,0,0,1,0,0,0,0,189
122.282197,1,0,0,0,0,0,0,0,189
122.282427,1,0,1,0,0,0,0,0,189
122.975863,1,0,1,1,0,0,0,0,189
122.976093,1,0,0,1,0,0,0,0,189
123.669385,1,0,1,1,0,0,0,0,189
123.669616,1,0,0,1,0,0,0,0,189
124.36302,1,0,1,1,0,0,0,0,189
124.363251,1,0,0,1,0,0,0,0,189
125.05663,1,0,0,0,0,0,0,0,189
125.05686,1,0,1,0,0,0,0,0,189
125.750237,1,0,1,1,0,0,0,0,189
125.750466,1,0,0,1,0,0,0,0,189
126.443799,1,0,0,0,0,0,0,0,189
126.444029,1,0,1,0,0,0,0,0,189
127.137431,1,0,0,0,0,0,0,0,189
127.137661,1,0,1,0,0,0,0,0,189
127.831003,1,0,1,1,0,0,0,0,189
127.831233,1,0,0,1,0,0,0,0,189
128.524555,1,0,0,0,0,0,0,0,189
129.218176,1,0,0,0,0,0,0,0,189
129.218405,1,0,1,0,0,0,0,0,189
129.91177,1,0,0,0,0,0,0,0,189
129.912,1,0,1,0,0,0,0,0,189
130.605345,1,0,1,1,0,0,0,0,189
131.298979,1,0,0,0,0,0,0,0,189
131.299209,1,0,1,0,0,0,0,0,189
131.992581,1,0,0,0,0,0,0,0,189
131.992811,1,0,1,0,0,0,0,0,189
132.686209,1,0,0,0,0,0,0,0,189
132.686439,1,0,1,0,0,0,0,0,189
133.379818,1,0,0,0,0,0,0,0,189
133.380048,1,0,1,0,0,0,0,0,189
134.073496,1,0,0,0,0,0,0,0,189
134.073726,1,0,1,0,0,0,0,0,189
134.767058,1,0,0,0,0,0,0,0,189
134.767288,1,0,1,0,0,0,0,0,189
135.4607,1,0,0,0,0,0,0,0,189
