t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.086551,1,0,0,1,0,0,0,0,189
0.341292,1,0,1,1,0,0,0,0,189
0.341523,1,0,0,1,0,0,0,0,189
0.543771,1,0,0,0,0,0,0,0,189
0.544001,1,0,1,0,0,0,0,0,189
0.716206,0,0,0,1,0,1,0,0,246
0.963865,1,0,1,0,0,0,0,0,189
1.076133,1,0,1,1,0,1,1,0,224
1.098625,1,0,1,1,0,0,0,0,189
1.098855,1,0,0,1,0,0,0,0,189
1.128628,1,0,0,1,0,0,0,0,182
1.451059,1,0,1,1,0,0,0,0,189
1.451288,1,0,0,1,0,0,0,0,189
1.481284,1,0,0,1,0,0,0,0,189
1.533542,1,0,0,0,0,0,0,0,189
1.533772,1,0,1,0,0,0,0,0,189
1.556254,1,0,0,1,0,0,0,0,189
1.841015,1,0,0,0,0,0,0,0,189
2.365929,1,0,0,0,0,0,0,0,189
2.366159,1,0,1,0,0,0,0,0,189
2.455915,1,0,0,0,0,0,0,0,189
2.456145,1,0,1,0,0,0,0,0,189
2.853328,1,0,1,1,0,0,0,0,189
2.853559,1,0,0,1,0,0,0,0,189
2.868328,1,0,1,1,0,0,0,0,189
2.868557,1,0,0,1,0,0,0,0,189
2.913323,1,0,1,1,0,0,0,0,189
3.055793,1,0,0,0,0,0,0,0,189
3.056023,1,0,1,0,0,0,0,0,189
3.303226,1,0,0,0,0,0,0,0,189
3.303455,1,0,1,0,0,0,0,0,189
3.310716,1,0,1,1,0,0,0,0,189
3.310947,1,0,0,1,0,0,0,0,189
3.565629,1,0,1,1,0,0,0,0,189
3.625611,1,0,1,1,0,0,0,0,189
3.633119,1,0,0,0,0,0,0,0,189
3.633349,1,0,1,0,0,0,0,0,189
4.210469,1,0,0,0,0,0,0,0,189
4.210699,1,0,1,0,0,0,0,0,189
4.442933,1,0,0,0,0,0,0,0,189
4.443163,1,0,1,0,0,0,0,0,189
4.667886,1,0,1,1,0,0,0,0,189
4.668116,1,0,0,1,0,0,0,0,189
4.825323,1,0,0,0,0,0,0,0,189
4.825553,1,0,1,0,0,0,0,0,189
4.877824,1,0,1,1,0,0,0,0,189
4.878055,1,0,0,1,0,0,0,0,189
