t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.047054,1,0,0,0,0,0,0,0,189
0.047285,1,0,1,0,0,0,0,0,189
0.204538,1,0,1,1,0,0,0,0,189
0.204769,1,0,0,1,0,0,0,0,189
0.264537,1,0,1,1,0,0,0,0,189
0.264767,1,0,1,0,1,1,0,0,164
0.309535,1,0,0,0,0,0,0,0,189
0.309765,1,0,1,0,0,0,0,0,189
0.414496,1,0,1,1,0,0,0,0,189
0.414725,1,0,0,1,0,0,0,0,189
0.47447,1,0,1,1,0,0,0,0,189
0.4747,1,0,0,1,0,0,0,0,189
0.55693,1,0,1,1,0,0,0,0,189
0.55716,1,0,0,1,0,0,0,0,189
0.721904,1,0,1,1,0,0,0,0,189
0.722135,1,0,0,1,0,0,0,0,189
0.819369,1,0,0,0,0,0,0,0,189
0.90185,1,0,1,1,0,0,0,0,189
0.90208,1,0,0,1,0,0,0,0,189
0.99187,1,0,1,1,0,0,0,0,189
0.992101,1,0,0,1,0,0,0,0,189
1.156856,1,0,0,0,0,0,0,0,189
1.157086,1,0,1,0,0,0,0,0,189
1.164359,1,0,0,0,0,0,0,0,189
1.164588,1,0,1,0,0,0,0,0,189
1.209327,1,0,0,0,0,0,0,0,189
1.209556,1,0,1,0,0,0,0,0,189
1.216827,1,0,1,1,0,0,0,0,189
1.217057,1,0,0,1,0,0,0,0,189
1.224326,1,0,0,0,0,0,0,0,189
1.224556,1,0,1,0,0,0,0,0,189
1.306813,1,0,1,1,0,0,0,0,189
1.307042,1,0,0,1,0,0,0,0,189
1.359294,1,0,1,1,0,0,0,0,189
1.359523,1,0,0,1,0,0,0,0,189
1.456774,1,0,0,0,0,0,0,0,189
1.457003,1,0,1,0,0,0,0,0,189
1.54676,1,0,0,0,0,0,0,0,189
1.54699,1,0,1,0,0,0,0,0,189
1.606747,1,0,0,0,0,0,0,0,189
1.606978,1,0,1,0,0,0,0,0,189
1.674232,1,0,1,1,0,0,0,0,189
1.786715,1,0,1,1,0,0,0,0,189
1.86173,1,0,1,1,0,0,0,0,189
1.921714,1,0,0,0,0,0,0,0,189
1.921945,1,0,1,0,0,0,0,0,189
1.996698,1,0,0,0,0,0,0,0,189
1.996927,1,0,1,0,0,0,0,0,189
2.004201,1,0,1,1,0,0,0,0,189
2.041685,1,0,1,1,0,0,0,0,189
2.041914,1,0,0,1,0,0,0,0,189
2.154189,1,0,1,1,0,0,0,0,189
2.154419,1,0,0,1,0,0,0,0,189
2.221672,1,0,0,0,0,0,0,0,189
2.221902,1,0,1,0,0,0,0,0,189
2.244169,1,0,0,0,0,0,0,0,189
2.244399,1,0,1,0,0,0,0,0,189
2.356636,1,0,1,1,0,0,0,0,189
2.356866,1,0,0,1,0,0,0,0,189
2.364126,1,0,0,0,0,0,0,0,189
2.364356,1,0,1,0,0,0,0,0,189
2.529081,1,0,1,1,0,0,0,0,189
2.529311,1,0,0,1,0,0,0,0,189
2.634067,1,0,1,1,0,0,0,0,189
2.634296,1,0,0,1,0,0,0,0,189
2.641561,1,0,0,0,0,0,0,0,189
2.656566,1,0,0,0,0,0,0,0,189
2.656797,1,0,1,0,0,0,0,0,189
2.754074,1,0,0,0,0,0,0,0,189
2.754304,1,0,1,0,0,0,0,0,189
2.791553,1,0,0,0,0,0,0,0,189
2.97152,1,0,0,0,0,0,0,0,189
2.979016,1,0,1,1,0,0,0,0,189
2.979245,1,0,0,1,0,0,0,0,189
2.994018,1,0,1,1,0,0,0,0,189
2.994248,1,0,0,1,0,0,0,0,189
3.024022,1,0,0,0,0,0,0,0,189
3.106486,1,0,1,1,0,0,0,0,189
3.106716,1,0,0,1,0,0,0,0,189
3.211476,1,0,0,0,0,0,0,0,189
3.211706,1,0,1,0,0,0,0,0,189
3.218979,1,0,1,1,0,0,0,0,189
3.316465,1,0,1,1,0,0,0,0,189
3.383952,1,0,0,0,0,0,0,0,189
3.384183,1,0,1,0,0,0,0,0,189
3.429162,1,0,0,1,0,0,0,0,189
3.533892,1,0,1,1,0,0,0,0,189
3.534123,1,0,0,1,0,0,0,0,189
3.548889,1,0,1,1,0,0,0,0,189
3.549119,1,0,0,1,0,0,0,0,189
3.938833,1,0,1,1,0,0,0,0,189
3.939064,1,0,0,1,0,0,0,0,189
4.00633,1,0,0,0,0,0,0,0,189
4.00656,1,0,1,0,0,0,0,0,189
4.171292,1,0,0,0,0,0,0,0,189
4.283784,1,0,0,0,0,0,0,0,189
4.284014,1,0,1,0,0,0,0,0,189
4.306514,1,0,0,1,0,0,0,0,189
4.358743,1,0,1,1,0,0,0,0,189
4.358973,1,0,0,1,0,0,0,0,189
4.786189,1,0,0,0,0,0,0,0,189
4.786419,1,0,1,0,0,0,0,0,189
4.861184,1,0,0,0,0,0,0,0,189
4.861415,1,0,1,0,0,0,0,0,189
4.951167,1,0,1,1,0,0,0,0,189
4.951397,1,0,0,1,0,0,0,0,189
4.981156,1,0,1,1,0,0,0,0,189
4.988651,1,0,1,1,0,0,0,0,189
4.98888,1,0,0,1,0,0,0,0,189
5.06362,1,0,0,0,0,0,0,0,189
5.116106,1,0,0,0,0,0,0,0,189
5.116336,1,0,1,0,0,0,0,0,189
5.131105,1,0,0,0,0,0,0,0,189
5.131335,1,0,1,0,0,0,0,0,189
5.243579,1,0,0,0,0,0,0,0,189
5.243809,1,0,1,0,0,0,0,0,189
5.303583,1,0,1,1,0,0,0,0,189
5.303814,1,0,0,1,0,0,0,0,189
5.378588,1,0,0,0,0,0,0,0,189
5.378816,1,0,1,0,0,0,0,0,189
5.566056,1,0,0,0,0,0,0,0,189
5.566285,1,0,1,0,0,0,0,0,189
5.573562,1,0,1,1,0,0,0,0,189
5.573793,1,0,0,1,0,0,0,0,189
5.656033,1,0,1,1,0,0,0,0,189
5.656263,1,0,0,1,0,0,0,0,189
5.693523,1,0,1,1,0,0,0,0,189
5.693753,1,0,0,1,0,0,0,0,189
5.746,1,0,1,1,0,0,0,0,189
5.896022,1,0,0,0,0,0,0,0,189
5.896252,1,0,1,0,0,0,0,0,189
5.956005,1,0,1,1,0,0,0,0,189
5.956235,1,0,0,1,0,0,0,0,189
6.143481,1,0,0,0,0,0,0,0,189
6.143711,1,0,1,0,0,0,0,0,189
6.188465,1,0,0,0,0,0,0,0,189
6.27119,1,0,1,0,0,0,0,0,189
6.308452,1,0,1,1,0,0,0,0,189
6.308683,1,0,0,1,0,0,0,0,189
6.443428,1,0,0,0,0,0,0,0,189
6.578646,1,0,1,0,0,0,0,0,189
6.705897,1,0,0,0,0,0,0,0,189
6.706128,1,0,1,0,0,0,0,0,189
6.735888,1,0,0,0,0,0,0,0,189
6.736119,1,0,1,0,0,0,0,0,189
6.766092,1,0,1,0,0,0,0,0,189
6.9683,1,0,0,0,0,0,0,0,189
6.968529,1,0,1,0,0,0,0,0,189
7.080814,1,0,1,1,0,0,0,0,189
7.081044,1,0,0,1,0,0,0,0,189
7.178283,1,0,0,0,0,0,0,0,189
7.178514,1,0,1,0,0,0,0,0,189
7.230771,1,0,0,0,0,0,0,0,189
7.335777,1,0,0,0,0,0,0,0,189
7.336008,1,0,1,0,0,0,0,0,189
7.425762,1,0,0,0,0,0,0,0,189
7.425992,1,0,1,0,0,0,0,0,189
7.530725,1,0,1,1,0,0,0,0,189
7.530955,1,0,0,1,0,0,0,0,189
