t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.185142,1,0,1,1,0,0,0,0,189
0.185372,1,0,0,1,0,0,0,0,189
0.290135,1,0,1,1,0,0,0,0,189
0.290365,1,0,0,1,0,0,0,0,189
0.350138,1,0,1,1,0,0,0,0,189
0.350367,1,0,0,1,0,0,0,0,189
0.417599,1,0,0,0,0,0,0,0,189
0.417831,1,0,1,0,0,0,0,0,189
0.432597,1,0,0,0,0,0,0,0,189
0.432826,1,0,1,0,0,0,0,0,189
0.515279,1,0,0,1,0,0,0,0,189
0.560034,1,0,1,1,0,0,0,0,189
0.560264,1,0,0,1,0,0,0,0,189
0.64275,1,0,1,0,0,0,0,0,189
0.732508,1,0,0,0,0,0,0,0,189
0.732738,1,0,1,0,0,0,0,0,189
0.747504,1,0,0,0,0,0,0,0,189
0.747734,1,0,1,0,0,0,0,0,189
0.867456,1,0,0,0,0,0,0,0,189
0.949966,1,0,1,1,0,0,0,0,189
0.979968,1,0,1,1,0,0,0,0,189
0.980198,1,0,0,1,0,0,0,0,189
0.987474,1,0,0,0,0,0,0,0,189
0.987703,1,0,1,0,0,0,0,0,189
1.002476,1,0,0,0,0,0,0,0,189
1.002706,1,0,1,0,0,0,0,0,189
1.137468,1,0,0,0,0,0,0,0,189
1.137697,1,0,1,0,0,0,0,0,189
1.28742,1,0,0,0,0,0,0,0,189
1.28765,1,0,1,0,0,0,0,0,189
1.302416,1,0,0,0,0,0,0,0,189
1.392393,1,0,0,0,0,0,0,0,189
1.392624,1,0,1,0,0,0,0,0,189
1.400118,1,0,0,1,0,0,0,0,189
1.444873,1,0,1,1,0,0,0,0,189
1.445103,1,0,0,1,0,0,0,0,189
1.489869,1,0,1,1,0,0,0,0,189
1.490099,1,0,0,1,0,0,0,0,189
1.714842,1,0,1,1,0,0,0,0,189
1.715073,1,0,0,1,0,0,0,0,189
1.797324,1,0,0,0,0,0,0,0,189
1.797554,1,0,1,0,0,0,0,0,189
1.962311,1,0,0,0,0,0,0,0,189
1.962541,1,0,1,0,0,0,0,0,189
2.194782,1,0,1,1,0,0,0,0,189
2.195012,1,0,0,1,0,0,0,0,189
2.352234,1,0,0,0,0,0,0,0,189
2.352465,1,0,1,0,0,0,0,0,189
2.607169,1,0,0,0,0,0,0,0,189
2.607398,1,0,1,0,0,0,0,0,189
2.749679,1,0,1,1,0,0,0,0,189
2.749908,1,0,0,1,0,0,0,0,189
3.019627,1,0,1,1,0,0,0,0,189
3.019856,1,0,0,1,0,0,0,0,189
3.117312,1,0,1,0,0,0,0,0,189
3.177089,1,0,0,0,0,0,0,0,189
3.177318,1,0,1,0,0,0,0,0,189
3.267072,1,0,0,0,0,0,0,0,189
3.267303,1,0,1,0,0,0,0,0,189
3.297069,1,0,0,0,0,0,0,0,189
3.297299,1,0,1,0,0,0,0,0,189
3.327057,1,0,0,0,0,0,0,0,189
3.327288,1,0,1,0,0,0,0,0,189
3.484517,1,0,1,1,0,0,0,0,189
3.484746,1,0,0,1,0,0,0,0,189
3.529722,1,0,0,1,0,0,0,0,189
3.552221,1,0,1,0,0,0,0,0,189
3.567214,1,0,1,0,0,0,0,0,189
3.6345,1,0,1,1,0,0,0,0,189
3.634729,1,0,0,1,0,0,0,0,189
3.679471,1,0,1,1,0,0,0,0,189
3.679702,1,0,0,1,0,0,0,0,189
3.74696,1,0,0,0,0,0,0,0,189
3.747191,1,0,1,0,0,0,0,0,189
3.776954,1,0,0,0,0,0,0,0,189
3.777184,1,0,1,0,0,0,0,0,189
3.881942,1,0,0,0,0,0,0,0,189
3.882172,1,0,1,0,0,0,0,0,189
3.889443,1,0,1,1,0,0,0,0,189
3.889672,1,0,0,1,0,0,0,0,189
3.956937,1,0,0,0,0,0,0,0,189
3.957166,1,0,1,0,0,0,0,0,189
4.211902,1,0,0,0,0,0,0,0,189
4.212132,1,0,1,0,0,0,0,0,189
4.294384,1,0,1,1,0,0,0,0,189
4.294614,1,0,0,1,0,0,0,0,189
4.301879,1,0,0,0,0,0,0,0,189
4.302109,1,0,1,0,0,0,0,0,189
4.309381,1,0,1,1,0,0,0,0,189
4.30961,1,0,0,1,0,0,0,0,189
4.414561,1,0,0,1,0,0,0,0,189
4.534558,1,0,0,1,0,0,0,0,189
4.631794,1,0,0,0,0,0,0,0,189
4.661793,1,0,0,0,0,0,0,0,189
4.662022,0,1,1,0,0,0,0,0,180
4.692018,1,0,1,0,0,0,0,0,189
4.766787,1,0,0,0,0,0,0,0,189
4.894272,1,0,1,1,0,0,0,0,189
4.894504,1,0,0,1,0,0,0,0,189
4.939269,1,0,1,1,0,0,0,0,189
4.939499,1,0,0,1,0,0,0,0,189
5.029235,1,0,1,1,0,0,0,0,189
5.029466,1,0,0,1,0,0,0,0,189
5.074441,1,0,0,1,0,0,0,0,189
5.186697,1,0,0,0,0,0,0,0,189
5.186928,1,0,1,0,0,0,0,0,189
5.194194,1,0,1,1,0,0,0,0,189
5.194424,1,0,0,1,0,0,0,0,189
5.246679,1,0,0,0,0,0,0,0,189
5.246908,1,0,1,0,0,0,0,0,189
5.396676,1,0,0,0,0,0,0,0,189
5.396907,1,0,1,0,0,0,0,0,189
5.434172,1,0,1,1,0,0,0,0,189
5.434402,1,0,0,1,0,0,0,0,189
5.456905,1,0,1,0,0,0,0,0,189
5.471676,1,0,0,0,0,0,0,0,189
5.471906,1,0,1,0,0,0,0,0,189
5.569154,1,0,1,1,0,0,0,0,189
5.569383,1,0,0,1,0,0,0,0,189
5.636642,1,0,0,0,0,0,0,0,189
5.636873,1,0,1,0,0,0,0,0,189
5.704115,1,0,1,1,0,0,0,0,189
5.704344,1,0,0,1,0,0,0,0,189
5.771605,1,0,0,0,0,0,0,0,189
5.771835,1,0,1,0,0,0,0,0,189
5.869337,1,0,1,0,0,0,0,0,189
5.929098,1,0,0,0,0,0,0,0,189
6.004087,1,0,0,0,0,0,0,0,189
6.004317,1,0,1,0,0,0,0,0,189
6.124076,1,0,0,0,0,0,0,0,189
6.124306,1,0,1,0,0,0,0,0,189
6.27405,1,0,0,0,0,0,0,0,189
6.27428,1,0,1,0,0,0,0,0,189
6.319041,1,0,0,0,0,0,0,0,189
6.319273,1,0,1,0,0,0,0,0,189
6.34155,1,0,1,1,0,0,0,0,189
6.341779,1,0,0,1,0,0,0,0,189
6.349049,1,0,0,0,0,0,0,0,189
6.349279,1,0,1,0,0,0,0,0,189
6.454261,1,0,1,0,0,0,0,0,189
6.506533,1,0,1,1,0,0,0,0,189
6.506763,1,0,0,1,0,0,0,0,189
6.589017,1,0,0,0,0,0,0,0,189
6.589248,1,0,1,0,0,0,0,0,189
6.686493,1,0,1,1,0,0,0,0,189
6.716486,1,0,1,1,0,0,0,0,189
6.716717,1,0,0,1,0,0,0,0,189
6.76146,1,0,1,1,0,0,0,0,189
6.761689,1,0,0,1,0,0,0,0,189
6.791442,1,0,1,1,0,0,0,0,189
6.791671,1,0,0,1,0,0,0,0,189
6.896421,1,0,1,1,0,0,0,0,189
6.911425,1,0,1,1,0,0,0,0,189
6.911655,1,0,0,1,0,0,0,0,189
7.023905,1,0,0,0,0,0,0,0,189
7.024135,1,0,1,0,0,0,0,0,189
7.091633,1,0,0,1,0,0,0,0,189
7.136391,1,0,1,1,0,0,0,0,189
7.158885,1,0,0,0,0,0,0,0,189
7.159115,1,0,1,0,0,0,0,0,189
7.264091,1,0,1,0,0,0,0,0,189
7.43636,1,0,1,1,0,0,0,0,189
7.436589,1,0,0,1,0,0,0,0,189
7.466356,1,0,1,1,0,0,0,0,189
7.466586,1,0,0,1,0,0,0,0,189
7.586314,1,0,1,1,0,0,0,0,189
7.586543,1,0,0,1,0,0,0,0,189
7.646294,1,0,1,1,0,0,0,0,189
7.646524,1,0,0,1,0,0,0,0,189
7.653795,1,0,0,0,0,0,0,0,189
7.654024,1,0,1,0,0,0,0,0,189
7.728765,1,0,0,0,0,0,0,0,189
7.728994,1,0,1,0,0,0,0,0,189
7.87147,1,0,0,1,0,0,0,0,189
7.923739,1,0,0,0,0,0,0,0,189
7.998718,1,0,0,0,0,0,0,0,189
7.99895,1,0,1,0,0,0,0,0,189
8.058696,1,0,0,0,0,0,0,0,189
8.058925,1,0,1,0,0,0,0,0,189
8.193669,1,0,0,0,0,0,0,0,189
8.193898,1,0,1,0,0,0,0,0,189
8.396134,1,0,1,1,0,0,0,0,189
8.44113,1,0,1,1,0,0,0,0,189
8.44136,1,0,0,1,0,0,0,0,189
8.516125,1,0,1,1,0,0,0,0,189
8.516355,1,0,0,1,0,0,0,0,189
8.553637,1,0,0,0,0,0,0,0,189
8.553866,1,0,1,0,0,0,0,0,189
8.613632,1,0,0,0,0,0,0,0,189
8.613863,1,0,1,0,0,0,0,0,189
8.718611,1,0,0,0,0,0,0,0,189
9.056067,1,0,1,1,0,0,0,0,189
9.056298,1,0,0,1,0,0,0,0,189
9.093564,1,0,0,0,0,0,0,0,189
9.093793,1,0,1,0,0,0,0,0,189
9.183521,1,0,0,0,0,0,0,0,189
9.18375,1,0,1,0,0,0,0,0,189
9.213514,1,0,0,0,0,0,0,0,189
9.213744,1,0,1,0,0,0,0,0,189
9.280993,1,0,1,1,0,0,0,0,189
9.281223,1,0,0,1,0,0,0,0,189
9.295994,1,0,1,1,0,0,0,0,189
9.296223,1,0,0,1,0,0,0,0,189
9.42348,1,0,0,0,0,0,0,0,189
9.42371,1,0,1,0,0,0,0,0,189
9.475975,1,0,1,1,0,0,0,0,189
9.476205,1,0,0,1,0,0,0,0,189
9.505991,1,0,1,1,0,0,0,0,189
9.565985,1,0,1,1,0,0,0,0,189
9.566214,1,0,0,1,0,0,0,0,189
9.708468,1,0,0,0,0,0,0,0,189
9.730966,1,0,1,1,0,0,0,0,189
9.731197,1,0,0,1,0,0,0,0,189
9.746193,1,0,0,1,0,0,0,0,189
9.948422,1,0,0,0,0,0,0,0,189
9.955924,1,0,1,1,0,0,0,0,189
10.083399,1,0,1,1,0,0,0,0,189
10.105888,1,0,0,0,0,0,0,0,189
10.106119,1,0,1,0,0,0,0,0,189
10.211112,1,0,1,0,0,0,0,0,189
10.330866,1,0,0,0,0,0,0,0,189
10.331096,1,0,1,0,0,0,0,0,189
10.338367,1,0,1,1,0,0,0,0,189
10.495816,1,0,0,0,0,0,0,0,189
10.496046,1,0,1,0,0,0,0,0,189
10.533311,1,0,1,1,0,0,0,0,189
10.533542,1,0,0,1,0,0,0,0,189
10.54081,1,0,0,0,0,0,0,0,189
10.54104,1,0,1,0,0,0,0,0,189
10.548536,1,0,0,1,0,0,0,0,189
10.5708,1,0,0,0,0,0,0,0,189
10.57103,1,0,1,0,0,0,0,0,189
10.668284,1,0,1,1,0,0,0,0,189
10.668514,1,0,0,1,0,0,0,0,189
10.780773,1,0,0,0,0,0,0,0,189
10.781003,1,0,1,0,0,0,0,0,189
10.825765,1,0,0,0,0,0,0,0,189
10.825995,1,0,1,0,0,0,0,0,189
10.863277,1,0,1,1,0,0,0,0,189
10.863508,1,0,0,1,0,0,0,0,189
10.870773,1,0,0,0,0,0,0,0,189
10.871002,1,0,1,0,0,0,0,0,189
11.035736,1,0,0,0,0,0,0,0,189
11.035965,1,0,1,0,0,0,0,0,189
11.050732,1,0,0,0,0,0,0,0,189
11.050961,1,0,1,0,0,0,0,0,189
11.125721,1,0,0,0,0,0,0,0,189
11.125951,1,0,1,0,0,0,0,0,189
11.178208,1,0,1,1,0,0,0,0,189
11.178439,1,0,0,1,0,0,0,0,189
11.440665,1,0,0,0,0,0,0,0,189
11.440895,1,0,1,0,0,0,0,0,189
11.455667,1,0,0,0,0,0,0,0,189
11.613148,1,0,1,1,0,0,0,0,189
11.67314,1,0,1,1,0,0,0,0,189
11.67337,1,0,0,1,0,0,0,0,189
11.823305,1,0,0,1,0,0,0,0,189
11.830563,1,0,0,0,0,0,0,0,189
11.830794,1,0,1,0,0,0,0,0,189
11.943028,1,0,1,1,0,0,0,0,189
11.943258,1,0,0,1,0,0,0,0,189
12.00324,1,0,0,1,0,0,0,0,189
12.13048,1,0,0,0,0,0,0,0,189
12.13071,1,0,1,0,0,0,0,0,189
12.160474,1,0,0,0,0,0,0,0,189
12.197987,1,0,1,1,0,0,0,0,189
12.212983,1,0,1,1,0,0,0,0,189
12.213213,1,0,0,1,0,0,0,0,189
12.250488,1,0,0,0,0,0,0,0,189
12.250718,1,0,1,0,0,0,0,0,189
12.317948,1,0,1,1,0,0,0,0,189
12.318178,1,0,0,1,0,0,0,0,189
12.445435,1,0,0,0,0,0,0,0,189
12.445665,1,0,1,0,0,0,0,0,189
12.572941,1,0,1,1,0,0,0,0,189
12.573171,1,0,0,1,0,0,0,0,189
12.692866,1,0,1,1,0,0,0,0,189
12.693097,1,0,0,1,0,0,0,0,189
12.700363,1,0,0,0,0,0,0,0,189
12.700593,1,0,1,0,0,0,0,0,189
12.730352,1,0,0,0,0,0,0,0,189
12.730582,1,0,1,0,0,0,0,0,189
12.752847,1,0,1,1,0,0,0,0,189
12.753076,1,0,0,1,0,0,0,0,189
13.075305,1,0,0,0,0,0,0,0,189
13.075535,1,0,1,0,0,0,0,0,189
13.090301,1,0,0,0,0,0,0,0,189
13.09053,1,0,1,0,0,0,0,0,189
13.105283,1,0,0,0,0,0,0,0,189
13.105513,1,0,1,0,0,0,0,0,189
13.218017,1,0,0,1,0,0,0,0,189
13.232795,1,0,1,1,0,0,0,0,189
13.233025,1,0,0,1,0,0,0,0,189
13.292774,1,0,1,1,0,0,0,0,189
13.293005,1,0,0,1,0,0,0,0,189
13.375497,1,0,1,0,0,0,0,0,189
13.405257,1,0,0,0,0,0,0,0,189
13.405486,1,0,1,0,0,0,0,0,189
13.51022,1,0,0,0,0,0,0,0,189
13.510451,1,0,1,0,0,0,0,0,189
13.682702,1,0,1,1,0,0,0,0,189
13.682932,1,0,0,1,0,0,0,0,189
13.705201,1,0,0,0,0,0,0,0,189
