t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.009837,1,0,1,1,0,0,0,0,189
0.010067,1,0,0,1,0,0,0,0,189
0.062344,1,0,1,1,0,0,0,0,189
0.062575,1,0,0,1,0,0,0,0,189
0.174813,1,0,0,0,0,0,0,0,189
0.175043,1,0,1,0,0,0,0,0,189
0.287311,1,0,1,1,0,0,0,0,189
0.339811,1,0,0,0,0,0,0,0,189
0.34004,1,0,1,0,0,0,0,0,189
0.452488,1,0,0,1,0,0,0,0,189
0.542209,1,0,0,0,0,0,0,0,189
0.542439,1,0,1,0,0,0,0,0,189
0.56471,1,0,1,1,0,0,0,0,189
0.564939,1,0,0,1,0,0,0,0,189
0.617199,1,0,1,1,0,0,0,0,189
0.617429,1,0,0,1,0,0,0,0,189
0.729678,1,0,0,0,0,0,0,0,189
0.729908,1,0,1,0,0,0,0,0,189
0.842135,1,0,1,1,0,0,0,0,189
0.842365,1,0,0,1,0,0,0,0,189
0.894635,1,0,1,1,0,0,0,0,189
0.894865,1,0,0,1,0,0,0,0,189
1.007151,1,0,0,0,0,0,0,0,189
1.007381,1,0,1,0,0,0,0,0,189
1.097387,1,0,0,1,0,0,0,0,189
1.119651,1,0,0,0,0,0,0,0,189
1.119881,1,0,1,0,0,0,0,0,189
1.284595,1,0,1,1,0,0,0,0,189
1.374568,1,0,0,0,0,0,0,0,189
1.374798,1,0,1,0,0,0,0,0,189
1.397065,1,0,0,0,0,0,0,0,189
1.44955,1,0,1,1,0,0,0,0,189
1.44978,1,0,0,1,0,0,0,0,189
1.562035,1,0,1,1,0,0,0,0,189
1.652,1,0,0,0,0,0,0,0,189
1.65223,1,0,1,0,0,0,0,0,189
1.72701,1,0,1,1,0,0,0,0,189
1.72724,1,0,0,1,0,0,0,0,189
1.839508,1,0,1,1,0,0,0,0,189
1.929485,1,0,0,0,0,0,0,0,189
1.95199,1,0,0,0,0,0,0,0,189
2.116967,1,0,0,0,0,0,0,0,189
2.206948,1,0,1,1,0,0,0,0,189
2.207178,1,0,0,1,0,0,0,0,189
2.229449,1,0,0,0,0,0,0,0,189
2.281928,1,0,0,0,0,0,0,0,189
2.282158,1,0,1,0,0,0,0,0,189
2.394372,1,0,1,1,0,0,0,0,189
2.394602,1,0,0,1,0,0,0,0,189
2.484373,1,0,1,1,0,0,0,0,189
2.484603,1,0,0,1,0,0,0,0,189
2.506865,1,0,0,0,0,0,0,0,189
2.507095,1,0,1,0,0,0,0,0,189
2.559584,1,0,1,0,0,0,0,0,189
2.671851,1,0,1,1,0,0,0,0,189
2.761844,1,0,0,0,0,0,0,0,189
2.762074,1,0,1,0,0,0,0,0,189
2.784333,1,0,1,1,0,0,0,0,189
2.784563,1,0,0,1,0,0,0,0,189
2.836816,1,0,0,0,0,0,0,0,189
2.837047,1,0,1,0,0,0,0,0,189
2.949312,1,0,0,0,0,0,0,0,189
2.949542,1,0,1,0,0,0,0,0,189
3.039291,1,0,0,0,0,0,0,0,189
3.039521,0,1,1,0,0,0,0,0,180
3.061783,1,0,1,1,0,0,0,0,189
3.114258,1,0,1,1,0,0,0,0,189
3.114488,1,0,0,1,0,0,0,0,189
3.226755,1,0,0,0,0,0,0,0,189
3.226985,1,0,1,0,0,0,0,0,189
3.391725,1,0,0,0,0,0,0,0,189
3.391955,1,0,1,0,0,0,0,0,189
3.504189,1,0,1,1,0,0,0,0,189
3.504419,1,0,0,1,0,0,0,0,189
3.594161,1,0,0,0,0,0,0,0,189
3.616672,1,0,1,1,0,0,0,0,189
3.669156,1,0,0,0,0,0,0,0,189
3.669386,1,0,1,0,0,0,0,0,189
3.781629,1,0,1,1,0,0,0,0,189
3.781859,1,0,0,1,0,0,0,0,189
3.871621,1,0,1,1,0,0,0,0,189
3.894114,1,0,1,1,0,0,0,0,189
3.894344,1,0,0,1,0,0,0,0,189
3.946604,1,0,0,0,0,0,0,0,189
3.946834,1,0,1,0,0,0,0,0,189
4.059081,1,0,0,0,0,0,0,0,189
4.059311,1,0,1,0,0,0,0,0,189
4.149071,1,0,0,0,0,0,0,0,189
4.149301,1,0,1,0,0,0,0,0,189
4.336533,1,0,0,0,0,0,0,0,189
4.426498,1,0,1,1,0,0,0,0,189
4.426728,1,0,0,1,0,0,0,0,189
4.448982,1,0,0,0,0,0,0,0,189
4.501483,1,0,0,0,0,0,0,0,189
4.501713,1,0,1,0,0,0,0,0,189
4.614211,1,0,0,1,0,0,0,0,189
4.70397,1,0,0,0,0,0,0,0,189
4.704199,1,0,1,0,0,0,0,0,189
4.72645,1,0,1,1,0,0,0,0,189
4.726679,1,0,0,1,0,0,0,0,189
4.778957,1,0,1,1,0,0,0,0,189
4.779186,1,0,0,1,0,0,0,0,189
5.003913,1,0,0,0,0,0,0,0,189
5.004144,1,0,1,0,0,0,0,0,189
5.056391,1,0,0,0,0,0,0,0,189
5.056621,1,0,1,0,0,0,0,0,189
5.168864,1,0,0,0,0,0,0,0,189
5.169094,1,0,1,0,0,0,0,0,189
5.25908,1,0,1,0,0,0,0,0,189
5.281582,1,0,1,0,0,0,0,0,189
5.333857,1,0,0,0,0,0,0,0,189
5.334087,1,0,1,0,0,0,0,0,189
5.44635,1,0,0,0,0,0,0,0,189
5.44658,1,0,1,0,0,0,0,0,189
5.536318,1,0,0,0,0,0,0,0,189
5.558826,1,0,1,1,0,0,0,0,189
5.611543,1,0,1,0,0,0,0,0,189
5.723783,1,0,0,0,0,0,0,0,189
5.724013,1,0,1,0,0,0,0,0,189
5.813792,1,0,0,0,0,0,0,0,189
5.814021,1,0,1,0,0,0,0,0,189
5.836284,1,0,0,0,0,0,0,0,189
5.836514,1,0,1,0,0,0,0,0,189
5.888787,1,0,0,0,0,0,0,0,189
6.001487,1,0,1,0,0,0,0,0,189
6.091257,1,0,0,0,0,0,0,0,189
6.11375,1,0,1,1,0,0,0,0,189
6.113979,1,0,0,1,0,0,0,0,189
6.166238,1,0,0,0,0,0,0,0,189
6.166467,1,0,1,0,0,0,0,0,189
6.368943,1,0,0,1,0,0,0,0,189
6.3912,1,0,1,1,0,0,0,0,189
6.39143,1,0,0,1,0,0,0,0,189
6.556182,1,0,0,0,0,0,0,0,189
6.556412,1,0,1,0,0,0,0,0,189
6.646187,1,0,0,0,0,0,0,0,189
6.66867,1,0,0,0,0,0,0,0,189
6.6689,1,0,1,0,0,0,0,0,189
6.721159,1,0,1,1,0,0,0,0,189
6.833597,1,0,1,1,0,0,0,0,189
6.833827,1,0,0,1,0,0,0,0,189
6.923593,1,0,0,0,0,0,0,0,189
6.923823,1,0,1,0,0,0,0,0,189
6.946084,1,0,1,1,0,0,0,0,189
6.946314,1,0,0,1,0,0,0,0,189
6.998562,1,0,0,0,0,0,0,0,189
6.998792,1,0,1,0,0,0,0,0,189
7.111058,1,0,0,0,0,0,0,0,189
7.111288,1,0,1,0,0,0,0,0,189
7.201034,1,0,1,1,0,0,0,0,189
7.201263,1,0,0,1,0,0,0,0,189
7.223535,1,0,0,0,0,0,0,0,189
7.276026,1,0,0,0,0,0,0,0,189
7.276256,1,0,1,0,0,0,0,0,189
7.388539,1,0,0,0,0,0,0,0,189
7.388769,1,0,1,0,0,0,0,0,189
7.478521,1,0,0,0,0,0,0,0,189
7.50123,1,0,1,0,0,0,0,0,189
7.553486,1,0,1,1,0,0,0,0,189
7.553716,1,0,0,1,0,0,0,0,189
7.665956,1,0,0,0,0,0,0,0,189
7.666186,1,0,1,0,0,0,0,0,189
7.778438,1,0,1,1,0,0,0,0,189
7.778667,1,0,0,1,0,0,0,0,189
7.943412,1,0,0,0,0,0,0,0,189
7.943641,1,0,1,0,0,0,0,0,189
8.033378,1,0,1,1,0,0,0,0,189
8.033608,0,1,0,1,0,0,0,0,175
8.055865,1,0,0,0,0,0,0,0,189
8.056095,1,0,1,0,0,0,0,0,189
8.108348,1,0,0,0,0,0,0,0,189
8.220839,1,0,0,0,0,0,0,0,189
8.221069,1,0,1,0,0,0,0,0,189
8.311047,1,0,1,0,0,0,0,0,189
8.333309,1,0,1,1,0,0,0,0,189
8.33354,1,0,0,1,0,0,0,0,189
8.386034,1,0,1,0,0,0,0,0,189
8.588318,1,0,1,1,0,0,0,0,189
8.588548,1,0,0,1,0,0,0,0,189
8.610798,1,0,1,1,0,0,0,0,189
8.663299,1,0,0,0,0,0,0,0,189
8.663529,1,0,1,0,0,0,0,0,189
8.77576,1,0,1,1,0,0,0,0,189
8.775991,1,0,0,1,0,0,0,0,189
8.865982,1,0,1,0,0,0,0,0,189
8.888483,1,0,0,1,0,0,0,0,189
8.940751,1,0,1,1,0,0,0,0,189
9.053463,1,0,0,1,0,0,0,0,189
9.143197,1,0,0,0,0,0,0,0,189
9.143427,1,0,1,0,0,0,0,0,189
9.165693,1,0,1,1,0,0,0,0,189
9.218186,1,0,1,1,0,0,0,0,189
9.218416,1,0,0,1,0,0,0,0,189
9.420646,1,0,1,1,0,0,0,0,189
9.443148,1,0,1,1,0,0,0,0,189
9.495654,1,0,1,1,0,0,0,0,189
9.495884,1,0,0,1,0,0,0,0,189
9.60815,1,0,1,1,0,0,0,0,189
9.60838,1,0,0,1,0,0,0,0,189
9.698127,1,0,1,1,0,0,0,0,189
9.720634,1,0,1,1,0,0,0,0,189
9.720865,1,0,0,1,0,0,0,0,189
9.773357,1,0,0,1,0,0,0,0,189
9.885605,1,0,0,0,0,0,0,0,189
9.885836,1,0,1,0,0,0,0,0,189
9.97558,1,0,0,0,0,0,0,0,189
9.97581,1,0,1,0,0,0,0,0,189
9.998091,1,0,0,0,0,0,0,0,189
9.998322,1,0,1,0,0,0,0,0,189
10.05058,1,0,1,1,0,0,0,0,189
10.050809,1,0,0,1,0,0,0,0,189
10.163285,1,0,0,1,0,0,0,0,189
10.275536,1,0,0,0,0,0,0,0,189
10.275767,1,0,1,0,0,0,0,0,189
10.328036,1,0,0,0,0,0,0,0,189
10.440492,1,0,1,1,0,0,0,0,189
10.440723,1,0,0,1,0,0,0,0,189
10.553201,1,0,0,1,0,0,0,0,189
10.605462,1,0,1,1,0,0,0,0,189
10.605691,1,0,0,1,0,0,0,0,189
10.717937,1,0,0,0,0,0,0,0,189
10.718167,1,0,1,0,0,0,0,0,189
10.807941,1,0,0,0,0,0,0,0,189
10.808171,1,0,1,0,0,0,0,0,189
