t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.116827,1,0,1,1,0,0,0,0,189
0.39429,1,0,0,0,0,0,0,0,189
0.39452,1,0,1,0,0,0,0,0,189
0.671742,1,0,1,1,0,0,0,0,189
0.671972,1,0,0,1,0,0,0,0,189
0.949163,1,0,0,0,0,0,0,0,189
0.949393,1,0,1,0,0,0,0,0,189
1.226594,1,0,0,0,0,0,0,0,189
1.504302,1,0,0,1,0,0,0,0,189
1.781528,1,0,1,1,0,0,0,0,189
1.781757,1,0,0,1,0,0,0,0,189
2.059185,1,0,1,0,0,0,0,0,189
2.336391,1,0,1,1,0,0,0,0,189
2.336621,1,0,0,1,0,0,0,0,189
2.61385,1,0,1,1,0,0,0,0,189
2.61408,1,0,0,1,0,0,0,0,189
2.891274,1,0,0,0,0,0,0,0,189
2.891503,1,0,1,0,0,0,0,0,189
3.168748,1,0,0,0,0,0,0,0,189
3.168978,1,0,1,0,0,0,0,0,189
3.446399,1,0,1,0,0,0,0,0,189
3.723628,1,0,1,1,0,0,0,0,189
3.723858,1,0,0,1,0,0,0,0,189
4.001265,1,0,1,0,0,0,0,0,189
4.278486,1,0,0,0,0,0,0,0,189
4.278715,1,0,1,0,0,0,0,0,189
4.555934,1,0,0,0,0,0,0,0,189
4.556164,1,0,1,0,0,0,0,0,189
4.8334,1,0,1,1,0,0,0,0,189
4.83363,1,0,0,1,0,0,0,0,189
5.110857,1,0,0,0,0,0,0,0,189
5.111088,1,0,1,0,0,0,0,0,189
5.388328,1,0,1,1,0,0,0,0,189
5.388558,1,0,0,1,0,0,0,0,189
5.665778,1,0,0,0,0,0,0,0,189
5.666009,1,0,1,0,0,0,0,0,189
5.943171,1,0,1,1,0,0,0,0,189
5.943401,1,0,0,1,0,0,0,0,189
6.498283,1,0,1,0,0,0,0,0,189
6.775458,1,0,1,1,0,0,0,0,189
6.775688,1,0,0,1,0,0,0,0,189
7.052932,1,0,1,1,0,0,0,0,189
7.053163,1,0,0,1,0,0,0,0,189
7.330364,1,0,0,0,0,0,0,0,189
7.330594,1,0,1,0,0,0,0,0,189
7.607775,1,0,0,0,0,0,0,0,189
7.608005,1,0,1,0,0,0,0,0,189
7.885217,1,0,0,0,0,0,0,0,189
8.162651,1,0,1,1,0,0,0,0,189
8.162881,1,0,0,1,0,0,0,0,189
8.440064,1,0,0,0,0,0,0,0,189
8.440294,1,0,1,0,0,0,0,0,189
8.717518,1,0,1,1,0,0,0,0,189
8.717748,1,0,0,1,0,0,0,0,189
8.994967,1,0,1,1,0,0,0,0,189
8.995197,1,0,0,1,0,0,0,0,189
9.272736,1,0,0,1,0,0,0,0,189
9.54995,1,0,1,1,0,0,0,0,189
9.55018,1,0,0,1,0,0,0,0,189
9.82736,1,0,0,0,0,0,0,0,189
9.82759,1,0,1,0,0,0,0,0,189
10.104824,1,0,1,1,0,0,0,0,189
10.105054,1,0,0,1,0,0,0,0,189
10.382253,1,0,0,0,0,0,0,0,189
10.382483,1,0,1,0,0,0,0,0,189
10.659735,1,0,1,1,0,0,0,0,189
10.659964,1,0,0,1,0,0,0,0,189
10.937187,1,0,0,0,0,0,0,0,189
10.937417,1,0,1,0,0,0,0,0,189
11.214626,1,0,1,1,0,0,0,0,189
11.214856,1,0,0,1,0,0,0,0,189
11.492025,1,0,1,1,0,0,0,0,189
