t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.433484,1,0,0,0,0,0,0,0,189
0.433715,1,0,1,0,0,0,0,0,189
0.665944,1,0,1,1,0,0,0,0,189
0.666174,1,0,0,1,0,0,0,0,189
1.25827,1,0,1,1,0,0,0,0,189
1.2585,1,0,0,1,0,0,0,0,189
1.28076,1,0,0,0,0,0,0,0,189
1.280989,1,0,1,0,0,0,0,0,189
1.580763,1,0,0,0,0,0,0,0,189
1.580994,1,0,1,0,0,0,0,0,189
1.775736,1,0,1,1,0,0,0,0,189
1.775965,1,0,0,1,0,0,0,0,189
2.038167,1,0,0,0,0,0,0,0,189
2.038397,1,0,1,0,0,0,0,0,189
2.098376,1,0,0,1,0,0,0,0,189
2.165628,1,0,0,0,0,0,0,0,189
2.165858,1,0,1,0,0,0,0,0,189
2.368093,1,0,1,1,0,0,0,0,189
2.368324,1,0,0,1,0,0,0,0,189
2.413092,1,0,1,1,0,0,0,0,189
2.413323,1,0,0,1,0,0,0,0,189
2.690524,1,0,1,1,0,0,0,0,189
2.690755,1,0,0,1,0,0,0,0,189
3.23045,1,0,1,1,0,0,0,0,189
3.23068,1,0,0,1,0,0,0,0,189
3.920276,1,0,0,0,0,0,0,0,189
3.920506,1,0,1,0,0,0,0,0,189
4.017722,1,0,1,1,0,0,0,0,189
4.017951,1,0,0,1,0,0,0,0,189
4.137704,1,0,0,0,0,0,0,0,189
4.137934,1,0,1,0,0,0,0,0,189
4.205185,1,0,1,1,0,0,0,0,189
4.205415,1,0,0,1,0,0,0,0,189
4.767606,1,0,1,1,0,0,0,0,189
4.767838,1,0,0,1,0,0,0,0,189
4.977555,1,0,0,0,0,0,0,0,189
4.977785,1,0,1,0,0,0,0,0,189
5.000049,1,0,1,1,0,0,0,0,189
5.000279,1,0,0,1,0,0,0,0,189
5.067571,1,0,0,0,0,0,0,0,189
5.0678,1,0,1,0,0,0,0,0,189
5.367554,1,0,1,1,0,0,0,0,189
5.367783,1,0,0,1,0,0,0,0,189
6.597223,1,0,0,0,0,0,0,0,189
6.852168,1,0,1,1,0,0,0,0,189
6.852399,1,0,0,1,0,0,0,0,189
7.234596,1,0,0,0,0,0,0,0,189
7.234826,1,0,1,0,0,0,0,0,189
7.564508,1,0,0,0,0,0,0,0,189
7.564738,1,0,1,0,0,0,0,0,189
7.886932,1,0,1,1,0,0,0,0,189
7.887163,1,0,0,1,0,0,0,0,189
9.049436,1,0,0,1,0,0,0,0,189
9.394195,1,0,0,0,0,0,0,0,189
9.394425,1,0,1,0,0,0,0,0,189
9.566669,1,0,0,0,0,0,0,0,189
9.566898,1,0,1,0,0,0,0,0,189
9.574172,1,0,1,1,0,0,0,0,189
9.574402,1,0,0,1,0,0,0,0,189
10.10677,1,0,1,0,0,0,0,0,189
10.713938,1,0,1,1,0,0,0,0,189
10.714167,1,0,0,1,0,0,0,0,189
10.743928,1,0,0,0,0,0,0,0,189
10.744157,0,1,1,0,0,0,0,0,180
11.45626,1,0,0,0,0,0,0,0,189
11.45649,1,0,1,0,0,0,0,0,189
11.463755,1,0,1,1,0,0,0,0,189
11.763899,1,0,0,1,0,0,0,0,189
11.913608,1,0,0,0,0,0,0,0,189
11.913838,1,0,1,0,0,0,0,0,189
12.378493,1,0,0,0,0,0,0,0,189
12.378723,1,0,1,0,0,0,0,0,189
12.685925,1,0,0,0,0,0,0,0,189
12.978393,1,0,0,0,0,0,0,0,189
12.978623,1,0,1,0,0,0,0,0,189
12.993396,1,0,0,0,0,0,0,0,189
12.993626,1,0,1,0,0,0,0,0,189
13.165859,1,0,1,1,0,0,0,0,189
13.166088,1,0,0,1,0,0,0,0,189
13.383287,1,0,1,1,0,0,0,0,189
13.390792,1,0,0,0,0,0,0,0,189
13.391022,1,0,1,0,0,0,0,0,189
13.690759,1,0,1,1,0,0,0,0,189
14.133462,1,0,1,0,0,0,0,0,189
14.613115,1,0,0,0,0,0,0,0,189
14.613344,1,0,1,0,0,0,0,0,189
14.665603,1,0,1,1,0,0,0,0,189
14.665834,1,0,0,1,0,0,0,0,189
14.763086,1,0,0,0,0,0,0,0,189
