t_a,LLID1,LLID0,NESN,SN,MD,CP,RFU1,RFU0,Length
0.071152,1,0,1,1,0,0,0,0,189
0.0899,1,0,0,0,0,0,0,0,189
0.09013,1,0,1,0,0,0,0,0,189
0.521316,1,0,0,1,0,0,0,0,189
0.558564,1,0,1,1,0,0,0,0,189
0.558795,1,0,0,1,0,0,0,0,189
0.633555,1,0,1,1,0,0,0,0,189
0.633786,1,0,0,1,0,0,0,0,189
0.727288,1,0,0,0,0,0,0,0,189
0.727518,1,0,1,0,0,0,0,0,189
0.764783,1,0,0,0,0,0,0,0,189
0.765013,1,0,1,0,0,0,0,0,189
0.877239,1,0,0,0,0,0,0,0,189
0.877468,1,0,1,0,0,0,0,0,189
1.027223,1,0,0,0,0,0,0,0,189
1.027453,1,0,1,0,0,0,0,0,189
1.2334,0,1,1,1,0,0,0,0,183
1.233709,1,0,0,1,0,0,0,0,189
1.739592,1,0,0,0,0,0,0,0,189
1.739822,1,0,1,0,0,0,0,0,189
1.814587,1,0,0,0,0,0,0,0,189
1.814817,1,0,1,0,0,0,0,0,189
2.002042,1,0,0,0,0,0,0,0,189
2.058269,1,0,1,1,0,0,0,0,189
2.058498,1,0,0,1,0,0,0,0,189
2.301966,1,0,0,0,0,0,0,0,189
2.302196,1,0,1,0,0,0,0,0,189
2.376957,1,0,0,0,0,0,0,0,189
2.377186,1,0,1,0,0,0,0,0,189
2.714386,1,0,0,0,0,0,0,0,189
2.714617,1,0,1,0,0,0,0,0,189
2.752117,1,0,1,0,0,0,0,0,189
2.789375,1,0,0,0,0,0,0,0,189
2.789605,1,0,1,0,0,0,0,0,189
2.883318,1,0,0,1,0,0,0,0,189
3.164315,1,0,0,0,0,0,0,0,189
3.164545,1,0,1,0,0,0,0,0,189
3.407971,1,0,1,1,0,0,0,0,189
3.408201,1,0,0,1,0,0,0,0,189
3.501715,1,0,0,0,0,0,0,0,189
3.651695,1,0,0,0,0,0,0,0,189
3.651924,1,0,1,0,0,0,0,0,189
3.726924,1,0,1,0,0,0,0,0,189
3.970367,1,0,1,1,0,0,0,0,189
3.970597,1,0,0,1,0,0,0,0,189
4.082824,1,0,1,1,0,0,0,0,189
4.083054,1,0,0,1,0,0,0,0,189
4.157809,1,0,1,1,0,0,0,0,189
4.251541,1,0,0,0,0,0,0,0,189
4.25177,1,0,1,0,0,0,0,0,189
4.307793,1,0,1,1,0,0,0,0,189
4.308022,1,0,0,1,0,0,0,0,189
4.420253,1,0,1,1,0,0,0,0,189
4.420483,1,0,0,1,0,0,0,0,189
4.851466,1,0,0,0,0,0,0,0,189
4.851696,1,0,1,0,0,0,0,0,189
4.907696,1,0,1,1,0,0,0,0,189
4.907926,1,0,0,1,0,0,0,0,189
5.076424,1,0,0,0,0,0,0,0,189
5.413884,1,0,0,0,0,0,0,0,189
5.414114,1,0,1,0,0,0,0,0,189
5.470132,1,0,1,1,0,0,0,0,189
5.470362,1,0,0,1,0,0,0,0,189
5.957487,1,0,1,1,0,0,0,0,189
5.957719,1,0,0,1,0,0,0,0,189
6.707299,1,0,1,1,0,0,0,0,189
6.78228,1,0,1,1,0,0,0,0,189
6.78251,1,0,0,1,0,0,0,0,189
7.119718,1,0,1,1,0,0,0,0,189
7.175958,1,0,0,0,0,0,0,0,189
7.176188,1,0,1,0,0,0,0,0,189
7.288661,1,0,1,0,0,0,0,0,189
7.73831,1,0,0,0,0,0,0,0,189
7.738539,1,0,1,0,0,0,0,0,189
7.794538,1,0,1,1,0,0,0,0,189
7.794768,1,0,0,1,0,0,0,0,189
7.851006,1,0,1,0,0,0,0,0,189
7.86953,1,0,1,1,0,0,0,0,189
7.869759,1,0,0,1,0,0,0,0,189
7.907024,1,0,1,1,0,0,0,0,189
7.907254,1,0,0,1,0,0,0,0,189
8.544589,1,0,0,1,0,0,0,0,189
8.769313,1,0,1,1,0,0,0,0,189
8.769542,1,0,0,1,0,0,0,0,189
8.938029,1,0,0,0,0,0,0,0,189
8.938259,1,0,1,0,0,0,0,0,189
9.106823,1,0,1,1,0,0,0,0,189
9.107053,1,0,0,1,0,0,0,0,189
9.294322,1,0,1,1,0,0,0,0,189
9.294553,1,0,0,1,0,0,0,0,189
9.613008,1,0,0,0,0,0,0,0,189
9.613239,1,0,1,0,0,0,0,0,189
9.781937,1,0,0,1,0,0,0,0,189
10.100397,1,0,0,0,0,0,0,0,189
10.100627,1,0,1,0,0,0,0,0,189
10.438038,1,0,1,0,0,0,0,0,189
10.981484,1,0,1,1,0,0,0,0,189
10.981714,1,0,0,1,0,0,0,0,189
11.037727,1,0,0,0,0,0,0,0,189
11.037958,1,0,1,0,0,0,0,0,189
11.281429,1,0,1,1,0,0,0,0,189
11.28166,1,0,0,1,0,0,0,0,189
11.506346,1,0,0,0,0,0,0,0,189
11.506575,1,0,1,0,0,0,0,0,189
11.600055,1,0,1,1,0,0,0,0,189
11.600286,1,0,0,1,0,0,0,0,189
11.881235,1,0,0,0,0,0,0,0,189
11.881464,1,0,1,0,0,0,0,0,189
11.918713,1,0,0,0,0,0,0,0,189
11.918942,1,0,1,0,0,0,0,0,189
12.031191,1,0,0,0,0,0,0,0,189
12.031422,1,0,1,0,0,0,0,0,189
12.049926,1,0,1,1,0,0,0,0,189
12.050155,1,0,0,1,0,0,0,0,189
12.312371,1,0,1,1,0,0,0,0,189
12.3126,1,0,0,1,0,0,0,0,189
12.331349,1,0,1,0,0,0,0,0,189
12.481304,1,0,1,0,0,0,0,0,189
12.556028,1,0,0,0,0,0,0,0,189
12.556259,1,0,1,0,0,0,0,0,189
12.799734,1,0,1,1,0,0,0,0,189
12.799965,1,0,0,1,0,0,0,0,189
12.893491,1,0,0,0,0,0,0,0,189
12.968492,1,0,0,0,0,0,0,0,189
12.968721,1,0,1,0,0,0,0,0,189
13.024733,1,0,1,1,0,0,0,0,189
13.024962,1,0,0,1,0,0,0,0,189
13.249703,1,0,1,1,0,0,0,0,189
13.249933,1,0,0,1,0,0,0,0,189
13.324669,1,0,1,1,0,0,0,0,189
13.324899,1,0,0,1,0,0,0,0,189
13.343416,1,0,0,0,0,0,0,0,189
13.343646,1,0,1,0,0,0,0,0,189
13.41838,1,0,0,0,0,0,0,0,189
13.41861,1,0,1,0,0,0,0,0,189
13.549613,1,0,1,1,0,0,0,0,189
13.549842,1,0,0,1,0,0,0,0,189
13.587116,1,0,1,1,0,0,0,0,189
13.587347,1,0,0,1,0,0,0,0,189
13.755847,1,0,0,0,0,0,0,0,189
13.756077,1,0,1,0,0,0,0,0,189
13.812105,1,0,1,1,0,0,0,0,189
14.3183,1,0,0,0,0,0,0,0,189
14.31853,1,0,1,0,0,0,0,0,189
14.693193,1,0,0,0,0,0,0,0,189
14.693422,1,0,1,0,0,0,0,0,189
15.161881,1,0,1,1,0,0,0,0,189
15.218104,1,0,0,0,0,0,0,0,189
15.218334,1,0,1,0,0,0,0,0,189
15.499296,1,0,1,1,0,0,0,0,189
15.83691,1,0,0,1,0,0,0,0,189
15.874176,1,0,1,1,0,0,0,0,189
15.874405,1,0,0,1,0,0,0,0,189
15.96791,1,0,0,0,0,0,0,0,189
15.96814,1,0,1,0,0,0,0,0,189
16.174104,1,0,1,1,0,0,0,0,189
16.286591,1,0,1,1,0,0,0,0,189
16.286819,1,0,0,1,0,0,0,0,189
16.455271,1,0,0,0,0,0,0,0,189
16.474025,1,0,1,1,0,0,0,0,189
16.474255,1,0,0,1,0,0,0,0,189
16.811406,1,0,1,1,0,0,0,0,189
16.811635,1,0,0,1,0,0,0,0,189
16.905183,1,0,0,0,0,0,0,0,189
16.905413,1,0,1,0,0,0,0,0,189
16.99891,1,0,1,1,0,0,0,0,189
16.99914,0,1,0,1,0,0,0,0,180
17.036404,1,0,1,1,0,0,0,0,189
17.036633,1,0,0,1,0,0,0,0,189
17.130127,1,0,0,0,0,0,0,0,189
17.561301,1,0,1,1,0,0,0,0,189
17.617542,1,0,0,0,0,0,0,0,189
17.617772,1,0,1,0,0,0,0,0,189
17.842474,1,0,0,0,0,0,0,0,189
17.842705,1,0,1,0,0,0,0,0,189
17.955172,1,0,1,0,0,0,0,0,189
17.973689,1,0,1,1,0,0,0,0,189
17.973919,1,0,0,1,0,0,0,0,189
18.161147,1,0,1,1,0,0,0,0,189
18.161378,1,0,0,1,0,0,0,0,189
